"NAME [String]","METHOD [String]","C [Double]","offset [Double]","featuresColumn [String]","degree [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"NR-ER","Smile SVC Tanimoto classification","0.01","3.0","rdkit_fp","2","0.7579546314705401","0.7604875024373634","0.758336270363408","0.7550401216108488"
"NR-ER","Smile SVC Tanimoto classification","0.1","3.0","rdkit_fp","2","0.7667073742101579","0.7672603161255744","0.7652431860902232","0.7676186204146764"
"NR-ER","Smile SVC Tanimoto classification","1.0","3.0","rdkit_fp","2","0.764756962818184","0.7566989312177085","0.7780975877192998","0.7594743695175435"
"NR-ER","Smile SVC Tanimoto classification","10.0","3.0","rdkit_fp","2","0.7611048479268652","0.7541244698742346","0.7702312421679258","0.7589588317384349"
"NR-ER","Smile SVC Tanimoto classification","0.001","0.0","cdk_fp","2","0.7639166635161886","0.7703572864872775","0.7636939027255655","0.7576988013357226"
"NR-ER","Smile SVC Tanimoto classification","0.01","0.0","cdk_fp","2","0.7654111501757979","0.7702034281466311","0.7709712105785336","0.7550588118022289"
"NR-ER","Smile SVC Tanimoto classification","0.1","0.0","cdk_fp","2","0.7651181526518446","0.7659258616067095","0.7674092457706782","0.762019350578146"
"NR-ER","Smile SVC Tanimoto classification","1.0","0.0","cdk_fp","2","0.7685102046732712","0.7597182107341339","0.7793743799603194","0.7664380233253602"
"NR-ER","Smile SVC Tanimoto classification","10.0","0.0","cdk_fp","2","0.7641868468593017","0.7561322450521587","0.7776937460839615","0.7587345494417851"
"NR-ER","Smile SVC Tanimoto classification","0.001","1.0","cdk_fp","2","0.7644794199795575","0.7593190930584005","0.7689022360589007","0.765216930821371"
"NR-ER","Smile SVC Tanimoto classification","0.01","1.0","cdk_fp","2","0.7602564403398814","0.7644923893438635","0.7651134672619007","0.7511634644138796"
"NR-ER","Smile SVC Tanimoto classification","0.1","1.0","cdk_fp","2","0.7618132550353612","0.7638586757823931","0.7618419420948201","0.7597391472288704"
"NR-ER","Smile SVC Tanimoto classification","1.0","1.0","cdk_fp","2","0.7712789563208431","0.76865570464074","0.7848127806495371","0.7603683836722522"
"NR-ER","Smile SVC Tanimoto classification","10.0","1.0","cdk_fp","2","0.7600003102814559","0.7491690126255268","0.7776203203320781","0.7532115978867626"
"NR-ER","Smile SVC Tanimoto classification","0.001","2.0","cdk_fp","2","0.7634197622028204","0.7659167215072661","0.762492983761488","0.7618495813397074"
"NR-ER","Smile SVC Tanimoto classification","0.01","2.0","cdk_fp","2","0.7630514045505626","0.7633529236131441","0.7707019828216368","0.7550993072169069"
"NR-ER","Smile SVC Tanimoto classification","0.1","2.0","cdk_fp","2","0.7583179924350246","0.7605880435312479","0.7597697042084361","0.7545962295653897"
"NR-ER","Smile SVC Tanimoto classification","1.0","2.0","cdk_fp","2","0.7682834803470481","0.7594363910012693","0.7829461348684227","0.7624679151714521"
"NR-ER","Smile SVC Tanimoto classification","10.0","2.0","cdk_fp","2","0.760911727511414","0.760144748708203","0.7782909421992475","0.7442994916267915"
"NR-ER","Smile SVC Tanimoto classification","0.001","3.0","cdk_fp","2","0.7619412142149214","0.7616833321146559","0.7683572538116091","0.7557830567184993"
