"NAME [String]","METHOD [String]","C [Double]","offset [Double]","featuresColumn [String]","degree [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-p53","Smile SVC Tanimoto classification","0.001","2.0","cdk_fp","2","0.8738163972972858","0.8978363682058036","0.870783223123552","0.8528296005625018"
"SR-p53","Smile SVC Tanimoto classification","0.01","2.0","cdk_fp","2","0.87274658154508","0.8913751742100572","0.8659403864679439","0.860924183957239"
"SR-p53","Smile SVC Tanimoto classification","0.1","2.0","cdk_fp","2","0.8767069178577991","0.8960702780506762","0.8724134849680142","0.8616369905547071"
"SR-p53","Smile SVC Tanimoto classification","1.0","2.0","cdk_fp","2","0.8800541575833473","0.9012109026936888","0.8762864465958452","0.8626651234605078"
"SR-p53","Smile SVC Tanimoto classification","10.0","2.0","cdk_fp","2","0.8852365908977268","0.9040371038863166","0.8813188992681149","0.870353769538749"
"SR-p53","Smile SVC Tanimoto classification","0.001","3.0","cdk_fp","2","0.8713006068803718","0.8922068130411913","0.8699092458513142","0.8517857617486096"
"SR-p53","Smile SVC Tanimoto classification","0.01","3.0","cdk_fp","2","0.8778917426008142","0.8971669446411917","0.8749002881291532","0.8616079950320973"
"SR-p53","Smile SVC Tanimoto classification","0.1","3.0","cdk_fp","2","0.8739775171623032","0.8960063058328968","0.8665593628901708","0.8593668827638423"
"SR-p53","Smile SVC Tanimoto classification","1.0","3.0","cdk_fp","2","0.8828360567215392","0.9040348191642534","0.8769708078514076","0.8675025431489566"
"SR-p53","Smile SVC Tanimoto classification","10.0","3.0","cdk_fp","2","0.8816438694162129","0.8999086111174606","0.8794510725292034","0.8655719246019744"
"SR-p53","Smile SVC Tanimoto classification","0.001","0.0","rdkit_fp","3","0.8790862484806681","0.9112019922776423","0.8633010186957046","0.8627557344686573"
"SR-p53","Smile SVC Tanimoto classification","0.01","0.0","rdkit_fp","3","0.8820747224882824","0.9154607142041223","0.8637924946929293","0.8669709585677957"
"SR-p53","Smile SVC Tanimoto classification","0.1","0.0","rdkit_fp","3","0.8812707182572187","0.9114418880943077","0.8638371743290398","0.8685330923483084"
"SR-p53","Smile SVC Tanimoto classification","1.0","0.0","rdkit_fp","3","0.8839369806072228","0.9173867349037119","0.8648593572235067","0.8695648496944499"
"SR-p53","Smile SVC Tanimoto classification","10.0","0.0","rdkit_fp","3","0.8866947231250517","0.9142520962324938","0.8754625976958275","0.8703694754468341"
"SR-p53","Smile SVC Tanimoto classification","0.001","1.0","rdkit_fp","3","0.8830837336261195","0.9059654093079631","0.8719775860791211","0.8713082054912743"
"SR-p53","Smile SVC Tanimoto classification","0.01","1.0","rdkit_fp","3","0.8845243915390709","0.9084854577440566","0.8733288726346903","0.8717588442384663"
"SR-p53","Smile SVC Tanimoto classification","0.1","1.0","rdkit_fp","3","0.8832035985086457","0.9114190408736825","0.8693578337568695","0.8688339208953854"
"SR-p53","Smile SVC Tanimoto classification","1.0","1.0","rdkit_fp","3","0.890667835485373","0.9188306792478665","0.883446085845912","0.8697267413623403"
"SR-p53","Smile SVC Tanimoto classification","10.0","1.0","rdkit_fp","3","0.8906262162378907","0.9198976444515469","0.8840519853014845","0.8679290189606408"
"SR-p53","Smile SVC Tanimoto classification","0.001","2.0","rdkit_fp","3","0.882144502157369","0.9071717425575242","0.8720080990013459","0.8672536649132367"
"SR-p53","Smile SVC Tanimoto classification","0.01","2.0","rdkit_fp","3","0.8811935988595083","0.9059791176403373","0.8715307897180048","0.8660708892201827"
"SR-p53","Smile SVC Tanimoto classification","0.1","2.0","rdkit_fp","3","0.8891050547793541","0.9113173707418539","0.8786838904847506","0.8773139031114575"
"SR-p53","Smile SVC Tanimoto classification","1.0","2.0","rdkit_fp","3","0.8917072243242922","0.9182320820672133","0.8819291577125706","0.8749604331930922"
"SR-p53","Smile SVC Tanimoto classification","10.0","2.0","rdkit_fp","3","0.8920657285510583","0.9212753318558865","0.881425694495896","0.8734961593013921"
"SR-p53","Smile SVC Tanimoto classification","0.001","3.0","rdkit_fp","3","0.8824800758630106","0.9075418675318042","0.8702743111707752","0.869624048886452"
"SR-p53","Smile SVC Tanimoto classification","0.01","3.0","rdkit_fp","3","0.8839364731354328","0.9122232630400576","0.8763169595180585","0.8632691968481818"
"SR-p53","Smile SVC Tanimoto classification","0.1","3.0","rdkit_fp","3","0.8893396302313348","0.9145651031552013","0.875789521862499","0.8776642656763037"
"SR-p53","Smile SVC Tanimoto classification","1.0","3.0","rdkit_fp","3","0.8881686179987901","0.9118439991775065","0.8913293172515516","0.8613325375673119"
"SR-p53","Smile SVC Tanimoto classification","10.0","3.0","rdkit_fp","3","0.8929401131959572","0.9211062624231733","0.8832586493236968","0.8744554278410017"
"SR-p53","Smile SVC Tanimoto classification","0.001","0.0","cdk_fp","3","0.8674792168808144","0.8947474239758604","0.8623028102401359","0.8453874164264469"
"SR-p53","Smile SVC Tanimoto classification","0.01","0.0","cdk_fp","3","0.8726334474584254","0.9025474651008878","0.8632203774012569","0.8521324998731317"
"SR-p53","Smile SVC Tanimoto classification","0.1","0.0","cdk_fp","3","0.8675762669926357","0.8951015558957349","0.8518739293233507","0.8557533157588214"
"SR-p53","Smile SVC Tanimoto classification","1.0","0.0","cdk_fp","3","0.8698702366655352","0.8994173958737985","0.8572006137456253","0.8529927003771813"
"SR-p53","Smile SVC Tanimoto classification","10.0","0.0","cdk_fp","3","0.8773723180551314","0.893193812972655","0.8751247760569486","0.8637983651357904"
"SR-p53","Smile SVC Tanimoto classification","0.001","1.0","cdk_fp","3","0.8712148130316842","0.8894331604560244","0.8645411510345917","0.8596701276044363"
"SR-p53","Smile SVC Tanimoto classification","0.01","1.0","cdk_fp","3","0.8711507293375521","0.893237222691854","0.865083845151281","0.8551311201695212"
"SR-p53","Smile SVC Tanimoto classification","0.1","1.0","cdk_fp","3","0.8754208866714513","0.896945326601025","0.8678953929846288","0.8614219404287001"
"SR-p53","Smile SVC Tanimoto classification","1.0","1.0","cdk_fp","3","0.8849291941671359","0.9069546939614826","0.8811881296014489","0.866644758938476"
"SR-p53","Smile SVC Tanimoto classification","10.0","1.0","cdk_fp","3","0.8781438889509149","0.8949827503484158","0.8710861728513396","0.8683627436529894"
"SR-p53","Smile SVC Tanimoto classification","0.001","2.0","cdk_fp","3","0.876467670688177","0.8976238890538927","0.8659643609068247","0.8658147621038136"
"SR-p53","Smile SVC Tanimoto classification","0.01","2.0","cdk_fp","3","0.8777979092999227","0.9014165276794006","0.8712801478568896","0.8606970523634779"
"SR-p53","Smile SVC Tanimoto classification","0.1","2.0","cdk_fp","3","0.8777381617721473","0.897233201581017","0.8712997633068894","0.8646815204285355"
"SR-p53","Smile SVC Tanimoto classification","1.0","2.0","cdk_fp","3","0.8809942397840893","0.8958006808471668","0.883086469262583","0.864095569242518"
"SR-p53","Smile SVC Tanimoto classification","10.0","2.0","cdk_fp","3","0.8785336886084881","0.8989604514610843","0.8699571947291052","0.8666834196352751"
"SR-p53","Smile SVC Tanimoto classification","0.001","3.0","cdk_fp","3","0.8768096238134454","0.8979254723662908","0.8688500115513118","0.8636533875227335"
"SR-p53","Smile SVC Tanimoto classification","0.01","3.0","cdk_fp","3","0.8763940837979001","0.9020356873586366","0.8681264193957478","0.8590201446393159"
