"NAME [String]","METHOD [String]","degree [Int]","C [Double]","featuresColumn [String]","scalerType [String]","offset [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-HSE","Smile SVC Poly classification","4","0.01","cdk_desc","MaxMin","0.0","0.7619657457916174","0.7493950402779975","0.7725159270130207","0.7639862700838339"
"SR-HSE","Smile SVC Poly classification","2","0.1","cdk_desc","MaxMin","0.0","0.7559187952760252","0.7635223503395948","0.7541491390621136","0.7500848964263671"
"SR-HSE","Smile SVC Poly classification","3","0.1","cdk_desc","MaxMin","0.0","0.7536064957890605","0.7635381456326013","0.7584893346498834","0.7387920070846968"
"SR-HSE","Smile SVC Poly classification","4","0.1","cdk_desc","MaxMin","0.0","0.7273892599117223","0.7519475596272351","0.7116601966698579","0.7185600234380739"
"SR-HSE","Smile SVC Poly classification","2","1.0","cdk_desc","MaxMin","0.0","0.7663311698824943","0.7793144842836801","0.7875721956959957","0.7321068296678068"
"SR-HSE","Smile SVC Poly classification","3","1.0","cdk_desc","MaxMin","0.0","0.7286699408843456","0.7507850260622393","0.7069649402821616","0.7282598563086355"
"SR-HSE","Smile SVC Poly classification","4","1.0","cdk_desc","MaxMin","0.0","0.6977453451205952","0.7161459485073449","0.6621156889532115","0.7149743979012292"
"SR-HSE","Smile SVC Poly classification","2","1.0E-4","rdkit_fp","Standard","0.0","0.7446101727857032","0.7563639235507847","0.75425058500495","0.7232160098013747"
"SR-HSE","Smile SVC Poly classification","3","1.0E-4","rdkit_fp","Standard","0.0","0.7324585162061271","0.7783320170589222","0.7026991383857938","0.7163443931736656"
"SR-HSE","Smile SVC Poly classification","4","1.0E-4","rdkit_fp","Standard","0.0","0.7156798232020204","0.738297267414308","0.7086945936075502","0.7000476085842031"
"SR-HSE","Smile SVC Poly classification","2","0.001","rdkit_fp","Standard","0.0","0.725938780339721","0.7510314326330809","0.7098612219501952","0.7169236864358868"
"SR-HSE","Smile SVC Poly classification","3","0.001","rdkit_fp","Standard","0.0","0.6836605884629052","0.6647133154319982","0.6724276690427613","0.7138407809139561"
"SR-HSE","Smile SVC Poly classification","4","0.001","rdkit_fp","Standard","0.0","0.7098237450383392","0.7293160638129809","0.7107945246243124","0.6893606466777246"
"SR-HSE","Smile SVC Poly classification","2","0.01","rdkit_fp","Standard","0.0","0.7235310749508889","0.737959248144058","0.7444069470181657","0.688227029690443"
"SR-HSE","Smile SVC Poly classification","3","0.01","rdkit_fp","Standard","0.0","0.7316780435333502","0.7446406570841939","0.7222934222450665","0.7281000512707902"
"SR-HSE","Smile SVC Poly classification","4","0.01","rdkit_fp","Standard","0.0","0.6953289519140563","0.6822492497235767","0.7090800881903374","0.6946575178282547"
"SR-HSE","Smile SVC Poly classification","2","0.1","rdkit_fp","Standard","0.0","0.7153064442506554","0.7542978992260182","0.6648564201755695","0.7267650133503785"
"SR-HSE","Smile SVC Poly classification","3","0.1","rdkit_fp","Standard","0.0","0.7008001557500282","0.6735713157479083","0.7152513830463554","0.7135777684558211"
"SR-HSE","Smile SVC Poly classification","4","0.1","rdkit_fp","Standard","0.0","0.6656054710374044","0.6036329173906206","0.702381274431566","0.6908022212900267"
"SR-HSE","Smile SVC Poly classification","2","1.0","rdkit_fp","Standard","0.0","0.7378568835205633","0.7187079450323807","0.7629106869919238","0.7319520185373856"
"SR-HSE","Smile SVC Poly classification","3","1.0","rdkit_fp","Standard","0.0","0.709439736747524","0.7149834149423424","0.6995948925349331","0.7137409027652968"
"SR-HSE","Smile SVC Poly classification","4","1.0","rdkit_fp","Standard","0.0","0.5849848549689354","0.3532648870636553","0.7144381247379346","0.6872515531052164"
"SR-HSE","Smile SVC Poly classification","2","1.0E-4","cdk_fp","Standard","0.0","0.7329870855794959","0.7336913599747387","0.740469153670319","0.7248007430934301"
"SR-HSE","Smile SVC Poly classification","3","1.0E-4","cdk_fp","Standard","0.0","0.7115888398600464","0.7066972042331404","0.7129401063153475","0.7151292090316512"
"SR-HSE","Smile SVC Poly classification","4","1.0E-4","cdk_fp","Standard","0.0","0.6738780043212095","0.6873448112462511","0.6353102893238277","0.6989789123935498"
