"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","featuresColumn [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"SR-ARE","Smile SVC RBF classification","0.1","Standard","rdkit_desc","0.001","0.8464508851075906","0.8442772552794909","0.8399123120888108","0.85516308795447"
"SR-ARE","Smile SVC RBF classification","1.0","Standard","rdkit_desc","0.001","0.8225603586938427","0.8230998753409552","0.8152908379332009","0.8292903628073719"
"SR-ARE","Smile SVC RBF classification","1.0E-4","MaxMin","cdk_desc","0.001","0.5678531623864999","0.5","0.5","0.7035594871594998"
"SR-ARE","Smile SVC RBF classification","0.001","MaxMin","cdk_desc","0.001","0.6453941727656324","0.7434908850791758","0.5","0.6926916332177215"
"SR-ARE","Smile SVC RBF classification","0.01","MaxMin","cdk_desc","0.001","0.7303763259817648","0.6642398267115953","0.735403238759517","0.7914859124741823"
"SR-ARE","Smile SVC RBF classification","0.1","MaxMin","cdk_desc","0.001","0.7855652779919394","0.7954249515557639","0.7589186747898036","0.8023522076302507"
"SR-ARE","Smile SVC RBF classification","1.0","MaxMin","cdk_desc","0.001","0.8435490325058405","0.8458640352501202","0.832372010476747","0.8524110517906541"
"SR-ARE","Smile SVC RBF classification","1.0E-4","Standard","cdk_desc","0.001","0.70999215732054","0.6997637958060202","0.7133333651388841","0.7168793110167159"
"SR-ARE","Smile SVC RBF classification","0.001","Standard","cdk_desc","0.001","0.798716956022154","0.7906653830488408","0.7963299571738174","0.8091555278438034"
"SR-ARE","Smile SVC RBF classification","0.01","Standard","cdk_desc","0.001","0.8397042984178156","0.8419213845792959","0.8352710866844428","0.8419204239897081"
"SR-ARE","Smile SVC RBF classification","0.1","Standard","cdk_desc","0.001","0.8434525730346145","0.8408167326989273","0.839797016957123","0.8497439694477932"
"SR-ARE","Smile SVC RBF classification","1.0","Standard","cdk_desc","0.001","0.8075426085469936","0.8025882178694395","0.8060775642034809","0.8139620435680601"
"SR-ARE","Smile SVC RBF classification","1.0E-4","MaxMin","rdkit_fp","0.01","0.6130320910362185","0.5926897039039243","0.6195666175270858","0.6268399516776452"
"SR-ARE","Smile SVC RBF classification","0.001","MaxMin","rdkit_fp","0.01","0.6168761493392466","0.5950532886535591","0.6399444356979188","0.6156307236662618"
"SR-ARE","Smile SVC RBF classification","0.01","MaxMin","rdkit_fp","0.01","0.6608005306096122","0.6706378593204254","0.6596527469661501","0.6521109855422611"
"SR-ARE","Smile SVC RBF classification","0.1","MaxMin","rdkit_fp","0.01","0.7106285152305446","0.726846280593917","0.6785118499541143","0.7265274151436023"
