"NAME [String]","METHOD [String]","alpha [Double]","featuresColumn [String]","method [String]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_malaria","SMILE_NB","0.0","cdk_fp","Bernoulli","0.5294272939667339","0.580239679625866","0.500279661240535","0.5077625410338007"
"data_malaria","SMILE_NB","0.5","cdk_fp","Bernoulli","0.9529068732157538","0.9651571275596378","0.9621903279423786","0.9313731641452452"
"data_malaria","SMILE_NB","1.0","cdk_fp","Bernoulli","0.9148295409249224","0.9287804038549853","0.9239558873967749","0.8917523315230071"
"data_malaria","SMILE_NB","2.0","cdk_fp","Bernoulli","0.8266370963413477","0.8403565418824582","0.8308036303195148","0.8087511168220701"
"data_malaria","SMILE_NB","0.0","rdkit_fp","Multinomial","0.550060142972428","0.6164579645534216","0.5090507347703352","0.5246717295935271"
"data_malaria","SMILE_NB","0.5","rdkit_fp","Multinomial","0.9697708272995035","0.9785055945278588","0.9746352531461963","0.9561716342244555"
"data_malaria","SMILE_NB","1.0","rdkit_fp","Multinomial","0.9598009807035394","0.9678014161148715","0.9657837110519144","0.9458178149438323"
"data_malaria","SMILE_NB","2.0","rdkit_fp","Multinomial","0.946819620194934","0.9550812408488034","0.9537371712001658","0.9316404485358327"
"data_malaria","SMILE_NB","0.0","cdk_fp","Multinomial","0.5293561549211679","0.5801276798006949","0.5002585547318154","0.5076822302309938"
"data_malaria","SMILE_NB","0.5","cdk_fp","Multinomial","0.9660494958895867","0.9766917437006998","0.9708980819460375","0.9505586620220227"
"data_malaria","SMILE_NB","1.0","cdk_fp","Multinomial","0.9549477658118786","0.9655218099171735","0.9603514233702003","0.938970064148262"
"data_malaria","SMILE_NB","2.0","cdk_fp","Multinomial","0.9421315640529347","0.9537946087108689","0.9481901168772907","0.9244099665706447"
"data_bubonic","SMILE_NB","0.0","rdkit_fp","Bernoulli","0.44445356042992473","0.43462953360721884","0.44457836375141674","0.45415278393113856"
"data_bubonic","SMILE_NB","0.5","rdkit_fp","Bernoulli","0.708489689646906","0.6699038434986013","0.7422053340776283","0.7133598913644879"
"data_bubonic","SMILE_NB","1.0","rdkit_fp","Bernoulli","0.6516005643191863","0.609903188955202","0.6902727558037434","0.6546257481986135"
"data_bubonic","SMILE_NB","2.0","rdkit_fp","Bernoulli","0.5965798174664817","0.5653189466761013","0.6185743011916908","0.6058462045316532"
"data_bubonic","SMILE_NB","0.0","cdk_fp","Bernoulli","0.4598302797241672","0.4583470122655279","0.46040418414347706","0.4607396427634966"
"data_bubonic","SMILE_NB","0.5","cdk_fp","Bernoulli","0.7117316541621358","0.6758797471009157","0.7596978194323772","0.6996173959531141"
"data_bubonic","SMILE_NB","1.0","cdk_fp","Bernoulli","0.6520376739576345","0.619221226429902","0.6959353616144002","0.6409564338286012"
"data_bubonic","SMILE_NB","2.0","cdk_fp","Bernoulli","0.5878564439493945","0.569666034623246","0.614883171590859","0.5790201256340787"
"data_bubonic","SMILE_NB","0.0","rdkit_fp","Multinomial","0.44445304921434564","0.4346290222452676","0.4445773414666307","0.45415278393113856"
"data_bubonic","SMILE_NB","0.5","rdkit_fp","Multinomial","0.7163136930133845","0.700184397119364","0.7320276371282682","0.7167290447925218"
"data_bubonic","SMILE_NB","1.0","rdkit_fp","Multinomial","0.6822469147453779","0.672640908342256","0.6909086169405595","0.6831912189533182"
"data_bubonic","SMILE_NB","2.0","rdkit_fp","Multinomial","0.6436913432127815","0.6370094632641533","0.6454854370420025","0.648579129332189"
"data_bubonic","SMILE_NB","0.0","cdk_fp","Multinomial","0.45982898899401486","0.4583463730630889","0.4604017988123096","0.46073879510664617"
"data_bubonic","SMILE_NB","0.5","cdk_fp","Multinomial","0.7120345737699858","0.6903013046888252","0.7374321160307904","0.708370300590342"
"data_bubonic","SMILE_NB","1.0","cdk_fp","Multinomial","0.6678324688538521","0.6497858416148528","0.6856312421136372","0.6680803228330663"
"data_bubonic","SMILE_NB","2.0","cdk_fp","Multinomial","0.6259655264451347","0.6127054524479333","0.633983029391059","0.6312080974964118"
"data_kcnq","SMILE_NB","0.0","rdkit_fp","Bernoulli","0.6116146869991003","0.6145376759157414","0.6138864049866848","0.6064199800948746"
"data_kcnq","SMILE_NB","0.5","rdkit_fp","Bernoulli","0.8202062255101535","0.8192888022950341","0.8253306679506247","0.8159992062848019"
"data_kcnq","SMILE_NB","1.0","rdkit_fp","Bernoulli","0.8038282933489126","0.8029690550328978","0.8085603310601127","0.7999554939537274"
"data_kcnq","SMILE_NB","2.0","rdkit_fp","Bernoulli","0.7831385030480092","0.7828597060363839","0.7872315488154455","0.7793242542921985"
"data_kcnq","SMILE_NB","0.0","cdk_fp","Bernoulli","0.6189751547306951","0.6250508989534382","0.6203271363908193","0.611547428847828"
"data_kcnq","SMILE_NB","0.5","cdk_fp","Bernoulli","0.8221936602272147","0.8286602104301357","0.8248229399193661","0.8130978303321427"
