"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","featuresColumn [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","SVC_RBF_DESC","0.1","Standard","cdk_desc","1.0E-4","0.6602499790295598","0.6417112299465242","0.6381766381766381","0.7008620689655172"
"data_lipinski","SVC_RBF_DESC","1.0","Standard","cdk_desc","1.0E-4","0.5051730033587144","0.4598930481283422","0.5251661918328585","0.5304597701149426"
"data_lipinski","SVC_RBF_DESC","1.0E-4","MaxMin","rdkit_desc","0.001","0.5589226610750162","0.6609625668449197","0.5887939221272553","0.42701149425287355"
"data_lipinski","SVC_RBF_DESC","0.001","MaxMin","rdkit_desc","0.001","0.5968992322046187","0.6443850267379678","0.5721747388414054","0.5741379310344829"
"data_lipinski","SVC_RBF_DESC","0.01","MaxMin","rdkit_desc","0.001","0.5633026490700594","0.5101604278074867","0.5826210826210825","0.5971264367816091"
"data_lipinski","SVC_RBF_DESC","0.1","MaxMin","rdkit_desc","0.001","0.6428582385986036","0.6390374331550802","0.547008547008547","0.7425287356321838"
"data_lipinski","SVC_RBF_DESC","1.0","MaxMin","rdkit_desc","0.001","0.620435269285844","0.6454545454545454","0.5612535612535613","0.6545977011494253"
"data_lipinski","SVC_RBF_DESC","1.0E-4","Standard","rdkit_desc","0.001","0.5687961426298139","0.6657754010695186","0.3888888888888889","0.6517241379310343"
"data_lipinski","SVC_RBF_DESC","0.001","Standard","rdkit_desc","0.001","0.5574932504952789","0.5582887700534761","0.48717948717948717","0.6270114942528736"
"data_lipinski","SVC_RBF_DESC","0.01","Standard","rdkit_desc","0.001","0.662320826778794","0.667379679144385","0.617283950617284","0.7022988505747128"
"data_lipinski","SVC_RBF_DESC","0.1","Standard","rdkit_desc","0.001","0.5935386352560118","0.620855614973262","0.6011396011396011","0.5586206896551724"
"data_lipinski","SVC_RBF_DESC","1.0","Standard","rdkit_desc","0.001","0.5515352463628326","0.5454545454545454","0.5384615384615384","0.5706896551724138"
"data_lipinski","SVC_RBF_DESC","1.0E-4","MaxMin","cdk_desc","0.001","0.6795137945802808","0.6176470588235294","0.698480531813865","0.7224137931034482"
