"NAME [String]","METHOD [String]","degree [Int]","C [Double]","foldSize [Int]","featuresColumn [String]","scalerType [String]","coef0 [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","SVC_POLY_FP","3","1.0","2000","rdkit_fp","MaxMin","0.0","0.7387639798766865","0.8070436507936508","0.6893687707641195","0.7198795180722891"
"data_lipinski","SVC_POLY_FP","4","1.0","2000","rdkit_fp","MaxMin","0.0","0.7229649031711934","0.7832341269841271","0.673311184939092","0.7123493975903614"
"data_lipinski","SVC_POLY_FP","2","1.0E-4","1000","cdk_fp","MaxMin","0.0","0.7063947002480205","0.697420634920635","0.7320044296788484","0.6897590361445783"
"data_lipinski","SVC_POLY_FP","3","1.0E-4","1000","cdk_fp","MaxMin","0.0","0.6941814415283876","0.6999007936507937","0.7270210409745296","0.6556224899598393"
"data_lipinski","SVC_POLY_FP","4","1.0E-4","1000","cdk_fp","MaxMin","0.0","0.5619390630072895","0.28273809523809523","0.7469545957918052","0.6561244979919678"
"data_lipinski","SVC_POLY_FP","2","0.001","1000","cdk_fp","MaxMin","0.0","0.7042133558227003","0.6989087301587302","0.7320044296788484","0.681726907630522"
"data_lipinski","SVC_POLY_FP","3","0.001","1000","cdk_fp","MaxMin","0.0","0.7056390938430726","0.7103174603174603","0.7308970099667774","0.6757028112449799"
"data_lipinski","SVC_POLY_FP","4","0.001","1000","cdk_fp","MaxMin","0.0","0.6864047181713194","0.7420634920634922","0.6600221483942413","0.6571285140562249"
"data_lipinski","SVC_POLY_FP","2","0.01","1000","cdk_fp","MaxMin","0.0","0.7114900169152061","0.7251984126984128","0.7165005537098562","0.6927710843373492"
"data_lipinski","SVC_POLY_FP","3","0.01","1000","cdk_fp","MaxMin","0.0","0.6952980341446998","0.7445436507936508","0.6611295681063124","0.6802208835341365"
"data_lipinski","SVC_POLY_FP","4","0.01","1000","cdk_fp","MaxMin","0.0","0.6864047181713194","0.7420634920634922","0.6600221483942413","0.6571285140562249"
"data_lipinski","SVC_POLY_FP","2","0.1","1000","cdk_fp","MaxMin","0.0","0.7102828997792573","0.7450396825396827","0.691029900332226","0.6947791164658633"
"data_lipinski","SVC_POLY_FP","3","0.1","1000","cdk_fp","MaxMin","0.0","0.6952980341446998","0.7445436507936508","0.6611295681063124","0.6802208835341365"
"data_lipinski","SVC_POLY_FP","4","0.1","1000","cdk_fp","MaxMin","0.0","0.525029056795658","0.2579365079365079","0.6600221483942413","0.6571285140562249"
"data_lipinski","SVC_POLY_FP","2","1.0","1000","cdk_fp","MaxMin","0.0","0.7102828997792573","0.7450396825396827","0.691029900332226","0.6947791164658633"
"data_lipinski","SVC_POLY_FP","3","1.0","1000","cdk_fp","MaxMin","0.0","0.6952980341446998","0.7445436507936508","0.6611295681063124","0.6802208835341365"
"data_lipinski","SVC_POLY_FP","4","1.0","1000","cdk_fp","MaxMin","0.0","0.6864047181713194","0.7420634920634922","0.6600221483942413","0.6571285140562249"
"data_lipinski","SVC_POLY_FP","2","1.0E-4","1500","cdk_fp","MaxMin","0.0","0.713828968513404","0.7207341269841271","0.7480620155038761","0.6726907630522089"
"data_lipinski","SVC_POLY_FP","3","1.0E-4","1500","cdk_fp","MaxMin","0.0","0.693372141204167","0.7371031746031746","0.7004429678848285","0.6425702811244979"
