name,method,feature,nfolds,elasticNetParam,maxIter,reg,auc,f1,f2,f3
data_herg,LRC_FPS,cdk_fp,2000,0.8,50,0.1,0.8234927425420895,0.8151515151515152,0.8193396226415094,0.8359870898332437
data_herg,LRC_FPS,cdk_fp,1000,0.9,50,0.1,0.8125727380988629,0.8069444444444444,0.8069706498951783,0.8238031199569661
data_herg,LRC_FPS,cdk_fp,1500,0.9,50,0.1,0.8112944094756505,0.7956123737373737,0.8082547169811323,0.8300161377084454
data_herg,LRC_FPS,cdk_fp,2000,0.9,50,0.1,0.8151479863199746,0.8092171717171717,0.8072327044025156,0.8289940828402367
data_herg,LRC_FPS,cdk_fp,1000,0.7,50,0.03,0.8578959097600244,0.8713699494949493,0.8528825995807128,0.8494351802044111
data_herg,LRC_FPS,cdk_fp,1500,0.7,50,0.03,0.8656697694070699,0.879419191919192,0.866325995807128,0.8512641204948898
data_herg,LRC_FPS,cdk_fp,2000,0.7,50,0.03,0.8605221169399326,0.8704861111111111,0.8571802935010483,0.8538999462076385
data_herg,LRC_FPS,cdk_fp,1000,0.8,50,0.03,0.8575555231805231,0.87092803030303,0.851388888888889,0.8503496503496504
data_herg,LRC_FPS,cdk_fp,1500,0.8,50,0.03,0.8638267795742396,0.8746212121212121,0.8654874213836479,0.8513717052178591
data_herg,LRC_FPS,cdk_fp,2000,0.8,50,0.03,0.8616757723207287,0.8698547979797979,0.8590670859538783,0.8561054330285098
data_herg,LRC_FPS,cdk_fp,1000,0.9,50,0.03,0.8571322489999922,0.8711174242424241,0.8496069182389938,0.8506724045185584
data_herg,LRC_FPS,cdk_fp,1500,0.9,50,0.03,0.861255110697237,0.8681502525252526,0.8637054507337527,0.8519096288327057
data_herg,LRC_FPS,cdk_fp,2000,0.9,50,0.03,0.8622956014782936,0.8689709595959597,0.8611111111111112,0.8568047337278105
data_herg,LRC_FPS,cdk_fp,1000,0.7,50,0.01,0.8417117133055086,0.8519886363636364,0.8351153039832285,0.8380311995696612
data_herg,LRC_FPS,cdk_fp,1500,0.7,50,0.01,0.8539280934554883,0.873895202020202,0.8513102725366877,0.8365788058095752
data_herg,LRC_FPS,cdk_fp,2000,0.7,50,0.01,0.8457947945928714,0.8533143939393939,0.8472222222222223,0.8368477676169983
data_herg,LRC_FPS,cdk_fp,1000,0.8,50,0.01,0.8425177435382443,0.852493686868687,0.8360062893081761,0.8390532544378698
data_herg,LRC_FPS,cdk_fp,1500,0.8,50,0.01,0.8541498389330392,0.8740845959595961,0.8516247379454928,0.836740182894029
data_herg,LRC_FPS,cdk_fp,2000,0.8,50,0.01,0.8452892037208075,0.852683080808081,0.8461215932914046,0.8370629370629371
data_herg,LRC_FPS,cdk_fp,1000,0.9,50,0.01,0.8435058140201463,0.8549558080808082,0.8353249475890986,0.8402366863905324
data_herg,LRC_FPS,cdk_fp,1500,0.9,50,0.01,0.8538143767416263,0.8714962121212121,0.8528301886792453,0.8371167294244217
data_herg,LRC_FPS,cdk_fp,2000,0.9,50,0.01,0.8467710145912252,0.8562815656565658,0.844601677148847,0.8394298009682626
data_herg,LRC_FPS,cdk_fp,1000,0.7,100,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,1500,0.7,100,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,2000,0.7,100,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,1000,0.8,100,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,1500,0.8,100,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,2000,0.8,100,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,1000,0.9,100,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,1500,0.9,100,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,2000,0.9,100,1.0,0.5,0.5,0.5,0.5
data_herg,LRC_FPS,cdk_fp,1000,0.7,100,0.1,0.8319058105523998,0.8273989898989899,0.8315513626834381,0.8367670790747713
