name,method,feature,nfolds,elasticNetParam,maxIter,reg,auc,f1,f2,f3
data_herg,LRC,cdk_fp,1500,0.7,100,0.1,0.8331661766712564,0.8284090909090908,0.8315251572327046,0.8395642818719741
data_herg,LRC,cdk_fp,1500,0.8,10,0.1,0.8092312447537411,0.8088383838383839,0.8060796645702306,0.812775685852609
data_herg,LRC,cdk_fp,1500,0.8,50,0.1,0.8220931485127784,0.811205808080808,0.8187368972746331,0.8363367401828941
data_herg,LRC,cdk_fp,1500,0.8,100,0.1,0.8212133276402145,0.8091856060606061,0.8177410901467507,0.8367132867132868
data_herg,LRC,cdk_fp,1500,0.9,10,0.1,0.8087173075607401,0.8168876262626261,0.8097484276729562,0.799515868746638
data_herg,LRC,cdk_fp,1500,0.9,50,0.1,0.8121291543415998,0.7959911616161616,0.8092505241090147,0.8311457772996236
data_herg,LRC,cdk_fp,1500,0.9,100,0.1,0.811455326073432,0.7956123737373739,0.8083071278825996,0.8304464766003227
data_herg,LRC,cdk_fp,2000,0.7,10,0.1,0.8239081614308392,0.8185290404040403,0.8257075471698113,0.827487896718666
data_herg,LRC,cdk_fp,2000,0.7,50,0.1,0.8372633110251035,0.8304608585858587,0.8369234800838573,0.8444055944055945
data_herg,LRC,cdk_fp,2000,0.7,100,0.1,0.8375153428990513,0.8295770202020205,0.8379716981132076,0.8449973103819257
data_herg,LRC,cdk_fp,2000,0.8,10,0.1,0.820414396185441,0.8249368686868687,0.8185010482180293,0.8178052716514254
data_herg,LRC,cdk_fp,2000,0.8,50,0.1,0.8234316035386426,0.8144570707070709,0.8193396226415095,0.8364981172673479
data_herg,LRC,cdk_fp,2000,0.8,100,0.1,0.8234210193934433,0.8151515151515152,0.8193396226415095,0.8357719203873052
