"NAME [String]","METHOD [String]","C [Double]","coef0 [Double]","featuresColumn [String]","degree [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","SVC_TAN","1.0","3.0","rdkit_fp","2","0.7306697257839034","0.7936507936507937","0.6722037652270211","0.7261546184738955"
"data_lipinski","SVC_TAN","10.0","3.0","rdkit_fp","2","0.7306605065518627","0.7971230158730159","0.6589147286821705","0.7359437751004015"
"data_lipinski","SVC_TAN","0.001","0.0","cdk_fp","2","0.7045449702093721","0.7852182539682541","0.6677740863787376","0.6606425702811245"
"data_lipinski","SVC_TAN","0.01","0.0","cdk_fp","2","0.685199732114134","0.7509920634920636","0.6439645625692139","0.6606425702811245"
"data_lipinski","SVC_TAN","0.1","0.0","cdk_fp","2","0.7283913709470587","0.7415674603174603","0.6971207087486156","0.7464859437751005"
"data_lipinski","SVC_TAN","1.0","0.0","cdk_fp","2","0.7307320830016263","0.7420634920634921","0.6971207087486158","0.7530120481927711"
"data_lipinski","SVC_TAN","10.0","0.0","cdk_fp","2","0.7138204905261502","0.7311507936507936","0.6738648947951273","0.73644578313253"
"data_lipinski","SVC_TAN","0.001","1.0","cdk_fp","2","0.6673020524326913","0.795138888888889","0.6445182724252492","0.5622489959839357"
"data_lipinski","SVC_TAN","0.01","1.0","cdk_fp","2","0.7312773611982074","0.7490079365079365","0.6832779623477299","0.7615461847389557"
"data_lipinski","SVC_TAN","0.1","1.0","cdk_fp","2","0.7287319265989763","0.7529761904761905","0.6987818383167221","0.7344377510040161"
"data_lipinski","SVC_TAN","1.0","1.0","cdk_fp","2","0.7265018453288978","0.7524801587301588","0.6915836101882615","0.7354417670682732"
"data_lipinski","SVC_TAN","10.0","1.0","cdk_fp","2","0.7087111365358073","0.7435515873015873","0.6672203765227022","0.7153614457831323"
"data_lipinski","SVC_TAN","0.001","2.0","cdk_fp","2","0.7114721807125141","0.7881944444444445","0.6434108527131782","0.7028112449799196"
"data_lipinski","SVC_TAN","0.01","2.0","cdk_fp","2","0.7243516331846397","0.7242063492063492","0.7048726467331121","0.7439759036144578"
"data_lipinski","SVC_TAN","0.1","2.0","cdk_fp","2","0.7243407461518278","0.7544642857142858","0.6976744186046513","0.7208835341365463"
"data_lipinski","SVC_TAN","1.0","2.0","cdk_fp","2","0.7170623246029523","0.7529761904761905","0.6733111849390919","0.7248995983935743"
"data_lipinski","SVC_TAN","10.0","2.0","cdk_fp","2","0.7051848034441197","0.7410714285714286","0.6611295681063123","0.7133534136546182"
"data_lipinski","SVC_TAN","0.001","3.0","cdk_fp","2","0.6863035845856663","0.7683531746031746","0.6279069767441862","0.6626506024096386"
"data_lipinski","SVC_TAN","0.01","3.0","cdk_fp","2","0.7218717060934771","0.7351190476190477","0.7126245847176081","0.7178714859437751"
"data_lipinski","SVC_TAN","0.1","3.0","cdk_fp","2","0.7228069253759224","0.7485119047619048","0.6960132890365449","0.7238955823293174"
"data_lipinski","SVC_TAN","1.0","3.0","cdk_fp","2","0.7103340919973732","0.7475198412698413","0.6661129568106313","0.7173694779116466"
