"NAME [String]","METHOD [String]","layers [String]","foldSize [Int]","featuresColumn [String]","scalerType [String]","lambda [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","SVC_NNC_FP","75","2000","cdk_fp","MaxMin","0.001","0.6195273897361318","0.6130952380952381","0.6129568106312292","0.6325301204819278"
"data_lipinski","SVC_NNC_FP","100","2000","cdk_fp","MaxMin","0.001","0.6167948371559328","0.6354166666666666","0.6140642303433002","0.6009036144578314"
"data_lipinski","SVC_NNC_FP","50","1000","rdkit_fp","Standard","0.001","0.5258603628244986","0.5446428571428572","0.5301771871539314","0.5027610441767069"
"data_lipinski","SVC_NNC_FP","75","1000","rdkit_fp","Standard","0.001","0.5020508390149746","0.5178571428571428","0.5063676633444075","0.4819277108433735"
"data_lipinski","SVC_NNC_FP","100","1000","rdkit_fp","Standard","0.001","0.53282871241333","0.5595238095238094","0.5301771871539314","0.508785140562249"
"data_lipinski","SVC_NNC_FP","50","1500","rdkit_fp","Standard","0.001","0.6782042344349714","0.6636904761904762","0.6901993355481727","0.6807228915662652"
"data_lipinski","SVC_NNC_FP","75","1500","rdkit_fp","Standard","0.001","0.5580293673772239","0.673611111111111","0.5185492801771872","0.4819277108433735"
"data_lipinski","SVC_NNC_FP","100","1500","rdkit_fp","Standard","0.001","0.5451325419803985","0.6349206349206349","0.5185492801771872","0.4819277108433735"
"data_lipinski","SVC_NNC_FP","50","2000","rdkit_fp","Standard","0.001","0.6020855292710153","0.5297619047619048","0.6439645625692136","0.6325301204819276"
"data_lipinski","SVC_NNC_FP","75","2000","rdkit_fp","Standard","0.001","0.5502714067788318","0.5297619047619048","0.6270764119601329","0.4939759036144578"
"data_lipinski","SVC_NNC_FP","100","2000","rdkit_fp","Standard","0.001","0.5502714067788318","0.5297619047619048","0.6270764119601329","0.4939759036144578"
"data_lipinski","SVC_NNC_FP","50","1000","cdk_fp","Standard","0.001","0.5338652505926252","0.5148809523809523","0.5899778516057586","0.4967369477911646"
"data_lipinski","SVC_NNC_FP","75","1000","cdk_fp","Standard","0.001","0.5377873620728763","0.5208333333333333","0.5957918050941307","0.4967369477911646"
"data_lipinski","SVC_NNC_FP","100","1000","cdk_fp","Standard","0.001","0.5250289641400596","0.5208333333333333","0.5783499446290143","0.4759036144578313"
"data_lipinski","SVC_NNC_FP","50","1500","cdk_fp","Standard","0.001","0.6074402816137195","0.6607142857142857","0.6796788482834996","0.4819277108433735"
"data_lipinski","SVC_NNC_FP","75","1500","cdk_fp","Standard","0.001","0.5633672564010194","0.5029761904761905","0.6303986710963455","0.5567269076305221"
"data_lipinski","SVC_NNC_FP","100","1500","cdk_fp","Standard","0.001","0.5540303517503012","0.5029761904761905","0.67718715393134","0.4819277108433735"
"data_lipinski","SVC_NNC_FP","50","2000","cdk_fp","Standard","0.001","0.674166766734713","0.6785714285714286","0.7048726467331118","0.6390562248995983"
"data_lipinski","SVC_NNC_FP","75","2000","cdk_fp","Standard","0.001","0.6081644314430109","0.642361111111111","0.5661683277962348","0.6159638554216867"
"data_lipinski","SVC_NNC_FP","100","2000","cdk_fp","Standard","0.001","0.6427556386490961","0.6165674603174602","0.6769102990033222","0.634789156626506"
"data_lipinski","SVC_NNC_FP","50","1000","rdkit_fp","MaxMin","0.01","0.6370058028348166","0.6532738095238095","0.6528239202657807","0.6049196787148594"
"data_lipinski","SVC_NNC_FP","75","1000","rdkit_fp","MaxMin","0.01","0.6062637871530419","0.6235119047619048","0.629014396456257","0.5662650602409638"
"data_lipinski","SVC_NNC_FP","100","1000","rdkit_fp","MaxMin","0.01","0.6119907370345168","0.6294642857142857","0.6229235880398671","0.5835843373493976"
"data_lipinski","SVC_NNC_FP","50","1500","rdkit_fp","MaxMin","0.01","0.6180035757648534","0.663690476190476","0.6699889258028794","0.5203313253012049"
"data_lipinski","SVC_NNC_FP","75","1500","rdkit_fp","MaxMin","0.01","0.6605917023576032","0.6934523809523809","0.6738648947951273","0.6144578313253013"
"data_lipinski","SVC_NNC_FP","100","1500","rdkit_fp","MaxMin","0.01","0.6222498891839043","0.689484126984127","0.6135105204872646","0.5637550200803213"
"data_lipinski","SVC_NNC_FP","50","2000","rdkit_fp","MaxMin","0.01","0.6350480132045346","0.6584821428571429","0.6389811738648948","0.6076807228915663"
"data_lipinski","SVC_NNC_FP","75","2000","rdkit_fp","MaxMin","0.01","0.6503650259954546","0.6369047619047619","0.660575858250277","0.6536144578313252"
"data_lipinski","SVC_NNC_FP","100","2000","rdkit_fp","MaxMin","0.01","0.6143030038203756","0.6666666666666666","0.5971760797342193","0.579066265060241"
"data_lipinski","SVC_NNC_FP","50","1000","cdk_fp","MaxMin","0.01","0.6425922636652183","0.6470734126984127","0.6594684385382059","0.6212349397590362"
"data_lipinski","SVC_NNC_FP","75","1000","cdk_fp","MaxMin","0.01","0.6557962192068384","0.6547619047619048","0.694905869324474","0.6177208835341365"
"data_lipinski","SVC_NNC_FP","100","1000","cdk_fp","MaxMin","0.01","0.6316599222656591","0.6490575396825397","0.6901993355481727","0.5557228915662651"
