"NAME [String]","METHOD [String]","gamma [Double]","foldSize [Int]","featuresColumn [String]","scalerType [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","SVC_RBF_FP","1.0E-4","1500","rdkit_fp","Standard","0.01","0.7225286342861293","0.7966269841269842","0.7685492801771872","0.6024096385542168"
"data_lipinski","SVC_RBF_FP","0.001","1500","rdkit_fp","Standard","0.01","0.6483745521028375","0.7256944444444445","0.6672203765227023","0.5522088353413654"
"data_lipinski","SVC_RBF_FP","0.01","1500","rdkit_fp","Standard","0.01","0.46295226124134786","0.32192460317460314","0.5609080841638981","0.5060240963855422"
"data_lipinski","SVC_RBF_FP","0.1","1500","rdkit_fp","Standard","0.01","0.4979919678714859","0.5","0.5","0.4939759036144578"
"data_lipinski","SVC_RBF_FP","1.0","1500","rdkit_fp","Standard","0.01","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_RBF_FP","1.0E-4","2000","rdkit_fp","Standard","0.01","0.7129992376297364","0.7594246031746033","0.7425249169435216","0.6370481927710844"
"data_lipinski","SVC_RBF_FP","0.001","2000","rdkit_fp","Standard","0.01","0.6482733258615858","0.6994047619047619","0.6605758582502769","0.5848393574297189"
"data_lipinski","SVC_RBF_FP","0.01","2000","rdkit_fp","Standard","0.01","0.5266941010627969","0.6609623015873016","0.553156146179402","0.3659638554216868"
"data_lipinski","SVC_RBF_FP","0.1","2000","rdkit_fp","Standard","0.01","0.49600784088735894","0.49404761904761907","0.5","0.4939759036144578"
"data_lipinski","SVC_RBF_FP","1.0","2000","rdkit_fp","Standard","0.01","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_RBF_FP","1.0E-4","1000","cdk_fp","Standard","0.01","0.5106859701634149","0.28174603174603174","0.7076411960132891","0.5426706827309236"
"data_lipinski","SVC_RBF_FP","0.001","1000","cdk_fp","Standard","0.01","0.5892846024185335","0.6369047619047619","0.6389811738648948","0.49196787148594384"
"data_lipinski","SVC_RBF_FP","0.01","1000","cdk_fp","Standard","0.01","0.6069217345572767","0.7038690476190477","0.5476190476190477","0.5692771084337349"
"data_lipinski","SVC_RBF_FP","0.1","1000","cdk_fp","Standard","0.01","0.49806201550387597","0.5","0.4941860465116279","0.5"
"data_lipinski","SVC_RBF_FP","1.0","1000","cdk_fp","Standard","0.01","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_RBF_FP","1.0E-4","1500","cdk_fp","Standard","0.01","0.5092095032029187","0.2509920634920635","0.6777408637873754","0.5988955823293173"
"data_lipinski","SVC_RBF_FP","0.001","1500","cdk_fp","Standard","0.01","0.6205912613169549","0.7103174603174603","0.611295681063123","0.5401606425702812"
"data_lipinski","SVC_RBF_FP","0.01","1500","cdk_fp","Standard","0.01","0.5469201464403202","0.7093253968253969","0.5775193798449613","0.3539156626506024"
"data_lipinski","SVC_RBF_FP","0.1","1500","cdk_fp","Standard","0.01","0.5020080321285141","0.5","0.5","0.5060240963855421"
"data_lipinski","SVC_RBF_FP","1.0","1500","cdk_fp","Standard","0.01","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_RBF_FP","1.0E-4","2000","cdk_fp","Standard","0.01","0.6416542415509213","0.644345238095238","0.7203765227021042","0.5602409638554218"
"data_lipinski","SVC_RBF_FP","0.001","2000","cdk_fp","Standard","0.01","0.4887846420751296","0.3953373015873015","0.6046511627906977","0.4663654618473896"
"data_lipinski","SVC_RBF_FP","0.01","2000","cdk_fp","Standard","0.01","0.5861892105150021","0.6750992063492064","0.5498338870431894","0.5336345381526104"
"data_lipinski","SVC_RBF_FP","0.1","2000","cdk_fp","Standard","0.01","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_RBF_FP","1.0","2000","cdk_fp","Standard","0.01","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_RBF_FP","1.0E-4","1000","rdkit_fp","MaxMin","0.1","0.7519394669856984","0.746031746031746","0.7768549280177188","0.7329317269076303"
"data_lipinski","SVC_RBF_FP","0.001","1000","rdkit_fp","MaxMin","0.1","0.7412737883983332","0.7172619047619049","0.7530454042081951","0.7535140562248994"
"data_lipinski","SVC_RBF_FP","0.01","1000","rdkit_fp","MaxMin","0.1","0.7551377992590517","0.7663690476190477","0.7585825027685494","0.740461847389558"
"data_lipinski","SVC_RBF_FP","0.1","1000","rdkit_fp","MaxMin","0.1","0.6847933909873528","0.7296626984126985","0.6550387596899225","0.6696787148594376"
"data_lipinski","SVC_RBF_FP","1.0","1000","rdkit_fp","MaxMin","0.1","0.4056180193272166","0.3082837301587301","0.4670542635658916","0.4415160642570281"
"data_lipinski","SVC_RBF_FP","1.0E-4","1500","rdkit_fp","MaxMin","0.1","0.7507549578157592","0.7976190476190477","0.7508305647840532","0.7038152610441765"
"data_lipinski","SVC_RBF_FP","0.001","1500","rdkit_fp","MaxMin","0.1","0.7425838922319029","0.7881944444444445","0.7774086378737542","0.66214859437751"
