"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","foldSize [Int]","maxNodes [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","SMILE_RFC_FP","60","rdkit_fp","500","5000","0.5667464524024485","0.6106150793650794","0.5243632336655593","0.5652610441767068"
"data_lipinski","SMILE_RFC_FP","70","rdkit_fp","500","5000","0.5761287582963823","0.666170634920635","0.41362126245847175","0.6485943775100401"
"data_lipinski","SMILE_RFC_FP","30","cdk_fp","500","5000","0.5351481600080649","0.6091269841269842","0.5304540420819491","0.46586345381526106"
"data_lipinski","SMILE_RFC_FP","40","cdk_fp","500","5000","0.6031446754163201","0.6656746031746031","0.512735326688815","0.6310240963855422"
"data_lipinski","SMILE_RFC_FP","50","cdk_fp","500","5000","0.5651650993045642","0.5957341269841271","0.5415282392026578","0.5582329317269076"
"data_lipinski","SMILE_RFC_FP","60","cdk_fp","500","5000","0.5859802258128121","0.6180555555555556","0.5465116279069768","0.5933734939759036"
"data_lipinski","SMILE_RFC_FP","70","cdk_fp","500","5000","0.6014857232547762","0.6274801587301587","0.5996677740863788","0.5773092369477911"
"data_lipinski","SMILE_RFC_FP","30","rdkit_fp","1000","5000","0.5579412055753469","0.6979166666666667","0.40863787375415284","0.5672690763052209"
"data_lipinski","SMILE_RFC_FP","40","rdkit_fp","1000","5000","0.5652568746747788","0.6577380952380952","0.4557032115171651","0.5823293172690762"
"data_lipinski","SMILE_RFC_FP","50","rdkit_fp","1000","5000","0.5081714825340491","0.5912698412698413","0.4302325581395349","0.5030120481927711"
"data_lipinski","SMILE_RFC_FP","60","rdkit_fp","1000","5000","0.5195774330248272","0.601686507936508","0.43244739756367656","0.5245983935742972"
"data_lipinski","SMILE_RFC_FP","70","rdkit_fp","1000","5000","0.5587399431613497","0.6071428571428572","0.48172757475083056","0.5873493975903613"
"data_lipinski","SMILE_RFC_FP","30","cdk_fp","1000","5000","0.5131557514665528","0.6205357142857143","0.4651162790697675","0.4538152610441767"
"data_lipinski","SMILE_RFC_FP","40","cdk_fp","1000","5000","0.546459509132877","0.6145833333333334","0.4429678848283499","0.5818273092369477"
"data_lipinski","SMILE_RFC_FP","50","cdk_fp","1000","5000","0.5887233411312285","0.6612103174603174","0.5703211517165006","0.5346385542168675"
"data_lipinski","SMILE_RFC_FP","60","cdk_fp","1000","5000","0.5598733527687717","0.6770833333333334","0.4357696566998892","0.5667670682730923"
"data_lipinski","SMILE_RFC_FP","70","cdk_fp","1000","5000","0.5785556400574613","0.6547619047619049","0.5116279069767442","0.5692771084337348"
"data_lipinski","SMILE_RFC_FP","30","rdkit_fp","2000","5000","0.5592987954030963","0.5788690476190477","0.47452934662236995","0.6244979919678715"
"data_lipinski","SMILE_RFC_FP","40","rdkit_fp","2000","5000","0.6198620154297515","0.7088293650793651","0.5661683277962348","0.5845883534136546"
"data_lipinski","SMILE_RFC_FP","50","rdkit_fp","2000","5000","0.610422957981798","0.7192460317460317","0.5276854928017719","0.5843373493975903"
"data_lipinski","SMILE_RFC_FP","60","rdkit_fp","2000","5000","0.6107324276804523","0.6736111111111112","0.5747508305647842","0.5838353413654618"
"data_lipinski","SMILE_RFC_FP","70","rdkit_fp","2000","5000","0.6276524981431818","0.7038690476190477","0.6007751937984497","0.5783132530120482"
