"NAME [String]","METHOD [String]","degree [Int]","C [Double]","featuresColumn [String]","scalerType [String]","coef0 [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","SVC_POLY_DESC","4","1.0E-5","rdkit_desc","Standard","2.0","0.624091723100062","0.6315508021390374","0.631528964862298","0.6091954022988506"
"data_lipinski","SVC_POLY_DESC","2","1.0E-4","rdkit_desc","Standard","2.0","0.6019983559875378","0.5860962566844921","0.5584045584045584","0.6614942528735632"
"data_lipinski","SVC_POLY_DESC","3","1.0E-4","rdkit_desc","Standard","2.0","0.6449177021861269","0.6438502673796792","0.6552706552706552","0.635632183908046"
"data_lipinski","SVC_POLY_DESC","4","1.0E-4","rdkit_desc","Standard","2.0","0.624091723100062","0.6315508021390374","0.631528964862298","0.6091954022988506"
"data_lipinski","SVC_POLY_DESC","2","0.01","rdkit_desc","Standard","2.0","0.5855003692957267","0.5566844919786097","0.6101614434947769","0.5896551724137933"
"data_lipinski","SVC_POLY_DESC","3","0.01","rdkit_desc","Standard","2.0","0.6449177021861269","0.6438502673796792","0.6552706552706552","0.635632183908046"
"data_lipinski","SVC_POLY_DESC","4","0.01","rdkit_desc","Standard","2.0","0.624091723100062","0.6315508021390374","0.631528964862298","0.6091954022988506"
"data_lipinski","SVC_POLY_DESC","2","0.01","rdkit_desc","Standard","2.0","0.5855003692957267","0.5566844919786097","0.6101614434947769","0.5896551724137933"
"data_lipinski","SVC_POLY_DESC","3","0.01","rdkit_desc","Standard","2.0","0.6449177021861269","0.6438502673796792","0.6552706552706552","0.635632183908046"
"data_lipinski","SVC_POLY_DESC","4","0.01","rdkit_desc","Standard","2.0","0.624091723100062","0.6315508021390374","0.631528964862298","0.6091954022988506"
"data_lipinski","SVC_POLY_DESC","2","0.1","rdkit_desc","Standard","2.0","0.5855003692957267","0.5566844919786097","0.6101614434947769","0.5896551724137933"
"data_lipinski","SVC_POLY_DESC","3","0.1","rdkit_desc","Standard","2.0","0.6449177021861269","0.6438502673796792","0.6552706552706552","0.635632183908046"
"data_lipinski","SVC_POLY_DESC","4","0.1","rdkit_desc","Standard","2.0","0.624091723100062","0.6315508021390374","0.631528964862298","0.6091954022988506"
"data_lipinski","SVC_POLY_DESC","2","1.0","rdkit_desc","Standard","2.0","0.5855003692957267","0.5566844919786097","0.6101614434947769","0.5896551724137933"
"data_lipinski","SVC_POLY_DESC","3","1.0","rdkit_desc","Standard","2.0","0.6449177021861269","0.6438502673796792","0.6552706552706552","0.635632183908046"
"data_lipinski","SVC_POLY_DESC","4","1.0","rdkit_desc","Standard","2.0","0.5364057465251966","0.6315508021390374","0.3684710351377018","0.6091954022988506"
"data_lipinski","SVC_POLY_DESC","2","1.0E-5","cdk_desc","Standard","2.0","0.6324656416046995","0.6010695187165774","0.6704653371320037","0.6258620689655172"
"data_lipinski","SVC_POLY_DESC","3","1.0E-5","cdk_desc","Standard","2.0","0.701334823241517","0.6550802139037433","0.6581196581196582","0.7908045977011494"
"data_lipinski","SVC_POLY_DESC","4","1.0E-5","cdk_desc","Standard","2.0","0.6786439518127595","0.6893048128342247","0.6690408357075023","0.6775862068965517"
"data_lipinski","SVC_POLY_DESC","2","1.0E-4","cdk_desc","Standard","2.0","0.6459785408624713","0.5989304812834223","0.6642924976258309","0.674712643678161"
"data_lipinski","SVC_POLY_DESC","3","1.0E-4","cdk_desc","Standard","2.0","0.6898636276368979","0.6320855614973263","0.6604938271604938","0.7770114942528735"
"data_lipinski","SVC_POLY_DESC","4","1.0E-4","cdk_desc","Standard","2.0","0.6786439518127595","0.6893048128342247","0.6690408357075023","0.6775862068965517"
"data_lipinski","SVC_POLY_DESC","2","0.01","cdk_desc","Standard","2.0","0.7120598360061962","0.6636363636363636","0.6961063627730293","0.7764367816091955"
"data_lipinski","SVC_POLY_DESC","3","0.01","cdk_desc","Standard","2.0","0.6898636276368979","0.6320855614973263","0.6604938271604938","0.7770114942528735"
"data_lipinski","SVC_POLY_DESC","4","0.01","cdk_desc","Standard","2.0","0.6786439518127595","0.6893048128342247","0.6690408357075023","0.6775862068965517"
"data_lipinski","SVC_POLY_DESC","2","0.01","cdk_desc","Standard","2.0","0.7120598360061962","0.6636363636363636","0.6961063627730293","0.7764367816091955"
"data_lipinski","SVC_POLY_DESC","3","0.01","cdk_desc","Standard","2.0","0.6898636276368979","0.6320855614973263","0.6604938271604938","0.7770114942528735"
"data_lipinski","SVC_POLY_DESC","4","0.01","cdk_desc","Standard","2.0","0.6786439518127595","0.6893048128342247","0.6690408357075023","0.6775862068965517"
"data_lipinski","SVC_POLY_DESC","2","0.1","cdk_desc","Standard","2.0","0.7120598360061962","0.6636363636363636","0.6961063627730293","0.7764367816091955"
"data_lipinski","SVC_POLY_DESC","3","0.1","cdk_desc","Standard","2.0","0.6898636276368979","0.6320855614973263","0.6604938271604938","0.7770114942528735"
"data_lipinski","SVC_POLY_DESC","4","0.1","cdk_desc","Standard","2.0","0.6787397372533727","0.6893048128342247","0.6690408357075023","0.6778735632183908"
"data_lipinski","SVC_POLY_DESC","2","1.0","cdk_desc","Standard","2.0","0.7120598360061962","0.6636363636363636","0.6961063627730293","0.7764367816091955"
"data_lipinski","SVC_POLY_DESC","3","1.0","cdk_desc","Standard","2.0","0.6898636276368979","0.6320855614973263","0.6604938271604938","0.7770114942528735"
"data_lipinski","SVC_POLY_DESC","4","1.0","cdk_desc","Standard","2.0","0.6787397372533727","0.6893048128342247","0.6690408357075023","0.6778735632183908"
"data_lipinski","SVC_POLY_DESC","2","1.0E-5","rdkit_desc","MaxMin","4.0","0.4413432446901006","0.34010695187165774","0.5982905982905982","0.385632183908046"
"data_lipinski","SVC_POLY_DESC","3","1.0E-5","rdkit_desc","MaxMin","4.0","0.6329370839512828","0.6080213903743317","0.5683760683760684","0.7224137931034482"
"data_lipinski","SVC_POLY_DESC","4","1.0E-5","rdkit_desc","MaxMin","4.0","0.6403110699932877","0.625668449197861","0.5826210826210825","0.7126436781609197"
"data_lipinski","SVC_POLY_DESC","2","1.0E-4","rdkit_desc","MaxMin","4.0","0.6054870725481498","0.6379679144385028","0.5503323836657169","0.6281609195402299"
"data_lipinski","SVC_POLY_DESC","3","1.0E-4","rdkit_desc","MaxMin","4.0","0.6616364374196243","0.6433155080213904","0.597340930674264","0.7442528735632183"
"data_lipinski","SVC_POLY_DESC","4","1.0E-4","rdkit_desc","MaxMin","4.0","0.6811459427641533","0.6903743315508023","0.6001899335232668","0.7528735632183907"
"data_lipinski","SVC_POLY_DESC","2","0.01","rdkit_desc","MaxMin","4.0","0.6729048253727091","0.6604278074866311","0.6054131054131052","0.7528735632183908"
"data_lipinski","SVC_POLY_DESC","3","0.01","rdkit_desc","MaxMin","4.0","0.6554950433584645","0.6358288770053475","0.6438746438746438","0.6867816091954024"
"data_lipinski","SVC_POLY_DESC","4","0.01","rdkit_desc","MaxMin","4.0","0.6279779790823289","0.5935828877005348","0.6415004748338082","0.6488505747126437"
"data_lipinski","SVC_POLY_DESC","2","0.01","rdkit_desc","MaxMin","4.0","0.6729048253727091","0.6604278074866311","0.6054131054131052","0.7528735632183908"
"data_lipinski","SVC_POLY_DESC","3","0.01","rdkit_desc","MaxMin","4.0","0.6554950433584645","0.6358288770053475","0.6438746438746438","0.6867816091954024"
"data_lipinski","SVC_POLY_DESC","4","0.01","rdkit_desc","MaxMin","4.0","0.6279779790823289","0.5935828877005348","0.6415004748338082","0.6488505747126437"
"data_lipinski","SVC_POLY_DESC","2","0.1","rdkit_desc","MaxMin","4.0","0.6841191892690653","0.6695187165775401","0.6184710351377017","0.7643678160919541"
"data_lipinski","SVC_POLY_DESC","3","0.1","rdkit_desc","MaxMin","4.0","0.6315712180372987","0.5914438502673798","0.6429249762583095","0.6603448275862069"
"data_lipinski","SVC_POLY_DESC","4","0.1","rdkit_desc","MaxMin","4.0","0.6279779790823289","0.5935828877005348","0.6415004748338082","0.6488505747126437"
"data_lipinski","SVC_POLY_DESC","2","1.0","rdkit_desc","MaxMin","4.0","0.6300498935950817","0.5919786096256685","0.634377967711301","0.6637931034482759"
"data_lipinski","SVC_POLY_DESC","3","1.0","rdkit_desc","MaxMin","4.0","0.6315712180372987","0.5914438502673798","0.6429249762583095","0.6603448275862069"
"data_lipinski","SVC_POLY_DESC","4","1.0","rdkit_desc","MaxMin","4.0","0.6279779790823289","0.5935828877005348","0.6415004748338082","0.6488505747126437"
"data_lipinski","SVC_POLY_DESC","2","1.0E-5","cdk_desc","MaxMin","4.0","0.6046696690149473","0.6695187165775401","0.5835707502374168","0.560919540229885"
"data_lipinski","SVC_POLY_DESC","3","1.0E-5","cdk_desc","MaxMin","4.0","0.7008898792423697","0.6727272727272726","0.7155745489078822","0.7143678160919541"
"data_lipinski","SVC_POLY_DESC","4","1.0E-5","cdk_desc","MaxMin","4.0","0.7039758845483434","0.6524064171122995","0.6733143399810065","0.7862068965517243"
"data_lipinski","SVC_POLY_DESC","2","1.0E-4","cdk_desc","MaxMin","4.0","0.7005830395282727","0.6716577540106952","0.7094017094017092","0.7206896551724139"
"data_lipinski","SVC_POLY_DESC","3","1.0E-4","cdk_desc","MaxMin","4.0","0.7148950657853069","0.681283422459893","0.7231718898385564","0.7402298850574713"
"data_lipinski","SVC_POLY_DESC","4","1.0E-4","cdk_desc","MaxMin","4.0","0.736209158498994","0.627807486631016","0.7359924026590692","0.8448275862068967"
"data_lipinski","SVC_POLY_DESC","2","0.01","cdk_desc","MaxMin","4.0","0.7096960339804603","0.6663101604278074","0.7288698955365621","0.7339080459770115"
"data_lipinski","SVC_POLY_DESC","3","0.01","cdk_desc","MaxMin","4.0","0.7050044955837159","0.6315508021390374","0.6961063627730295","0.7873563218390806"
"data_lipinski","SVC_POLY_DESC","4","0.01","cdk_desc","MaxMin","4.0","0.7103905510261156","0.6122994652406417","0.7108262108262108","0.8080459770114944"
"data_lipinski","SVC_POLY_DESC","2","0.01","cdk_desc","MaxMin","4.0","0.7096960339804603","0.6663101604278074","0.7288698955365621","0.7339080459770115"
"data_lipinski","SVC_POLY_DESC","3","0.01","cdk_desc","MaxMin","4.0","0.7050044955837159","0.6315508021390374","0.6961063627730295","0.7873563218390806"
"data_lipinski","SVC_POLY_DESC","4","0.01","cdk_desc","MaxMin","4.0","0.7103905510261156","0.6122994652406417","0.7108262108262108","0.8080459770114944"
"data_lipinski","SVC_POLY_DESC","2","0.1","cdk_desc","MaxMin","4.0","0.7215828353984767","0.6486631016042781","0.7063152896486228","0.809770114942529"
