name,method,feature,maxIter,reg,auc,f1,f2,f3
data_lipinski,SVC_DESCS,cdk_desc,100,0.1,0.6994427244582042,0.6950800915331807,0.7241176470588234,0.6791304347826086
data_lipinski,SVC_DESCS,cdk_desc,100,0.03,0.6776174451473953,0.6716247139588101,0.7147058823529411,0.6465217391304348
data_lipinski,SVC_DESCS,cdk_desc,100,0.01,0.6676659038901601,0.6664759725400458,0.7100000000000001,0.6265217391304347
data_lipinski,SVC_DESCS,rdkit_desc,10,1.0,0.6426194642616772,0.6727688787185355,0.6211764705882353,0.6339130434782608
data_lipinski,SVC_DESCS,rdkit_desc,10,0.1,0.6562341275182841,0.694508009153318,0.6594117647058824,0.6147826086956523
data_lipinski,SVC_DESCS,rdkit_desc,10,0.03,0.6568878718535469,0.6893592677345539,0.66,0.6213043478260869
data_lipinski,SVC_DESCS,rdkit_desc,10,0.01,0.6562749584959842,0.6910755148741418,0.6647058823529411,0.6130434782608695
data_lipinski,SVC_DESCS,rdkit_desc,50,1.0,0.669467851213712,0.6779176201372997,0.6735294117647058,0.6569565217391303
data_lipinski,SVC_DESCS,rdkit_desc,50,0.1,0.6769094090725534,0.6762013729977117,0.6823529411764705,0.6721739130434782
data_lipinski,SVC_DESCS,rdkit_desc,50,0.03,0.6794175977026967,0.6905034324942793,0.6847058823529412,0.6630434782608696
data_lipinski,SVC_DESCS,rdkit_desc,50,0.01,0.6965513528065688,0.7196796338672768,0.698235294117647,0.6717391304347827
data_lipinski,SVC_DESCS,rdkit_desc,100,1.0,0.6719379010185309,0.6899313501144164,0.6758823529411765,0.6499999999999999
data_lipinski,SVC_DESCS,rdkit_desc,100,0.1,0.6798151388701933,0.6790617848970251,0.686470588235294,0.6739130434782608
data_lipinski,SVC_DESCS,rdkit_desc,100,0.03,0.697245479427469,0.7156750572082381,0.7082352941176471,0.6678260869565218
data_lipinski,SVC_DESCS,rdkit_desc,100,0.01,0.7060124736393414,0.7271167048054921,0.7135294117647059,0.677391304347826
data_malaria,SVC_DESCS,cdk_desc,10,1.0,0.9361702427934155,0.9249643948177917,0.9536204217536064,0.929925911808849
data_malaria,SVC_DESCS,cdk_desc,10,0.1,0.9658966448215631,0.9624914626979464,0.9695434702182751,0.9656550015484678
data_malaria,SVC_DESCS,cdk_desc,10,0.03,0.9663965085083338,0.9641300952471715,0.9718224195338504,0.9632370107439796
data_malaria,SVC_DESCS,cdk_desc,10,0.01,0.9669570558031496,0.9652392827077941,0.9720947095819457,0.963537175119709
data_malaria,SVC_DESCS,cdk_desc,50,1.0,0.9525086339201048,0.9525723089629761,0.959788383277839,0.9451652095194993
data_malaria,SVC_DESCS,cdk_desc,50,0.1,0.9557016660248584,0.9579038210052048,0.9613392526822054,0.9478619243871651
data_malaria,SVC_DESCS,cdk_desc,50,0.03,0.9565557811730183,0.9593545005479759,0.960797632260451,0.9495152107106284
data_malaria,SVC_DESCS,cdk_desc,50,0.01,0.9510437359338544,0.9548701006475117,0.9599067702552726,0.938354336898779
data_malaria,SVC_DESCS,cdk_desc,100,1.0,0.9564501513306045,0.9565246165493947,0.9628842027376988,0.9499416347047203
data_malaria,SVC_DESCS,cdk_desc,100,0.1,0.954310908918167,0.9569084642386317,0.9611735109138002,0.9448507516020686
data_malaria,SVC_DESCS,cdk_desc,100,0.03,0.9561991313152662,0.9582532547636823,0.9618128005919349,0.9485313385901818
data_malaria,SVC_DESCS,cdk_desc,100,0.01,0.9516180973882362,0.9572737813497675,0.9596907140214579,0.9378897967934835
data_malaria,SVC_DESCS,rdkit_desc,10,1.0,0.9039432178628657,0.8920024672141135,0.9229789123196444,0.8968482740548396
data_malaria,SVC_DESCS,rdkit_desc,10,0.1,0.9331122852650942,0.9113457435262103,0.9473903070662222,0.9406008052028502
data_malaria,SVC_DESCS,rdkit_desc,10,0.03,0.9301428661062279,0.9077296335710539,0.9473843877173507,0.9353145770302792
data_malaria,SVC_DESCS,rdkit_desc,10,0.01,0.9315693885432449,0.9060036425822094,0.9507051424343317,0.9379993806131939
data_malaria,SVC_DESCS,rdkit_desc,50,1.0,0.9178484931293381,0.8980434356750692,0.9471712911579728,0.9083307525549725
data_malaria,SVC_DESCS,rdkit_desc,50,0.1,0.9274843507169985,0.9115998771687399,0.9446674065852754,0.9261857683969804
data_malaria,SVC_DESCS,rdkit_desc,50,0.03,0.9296280614550466,0.9155415958533866,0.9503085460599333,0.9230340424518203
data_malaria,SVC_DESCS,rdkit_desc,50,0.01,0.9310959795924845,0.9135376461930251,0.9521494635590082,0.92760082902542
data_malaria,SVC_DESCS,rdkit_desc,100,1.0,0.9347380662187389,0.9310596314003297,0.9450344062153161,0.9281201610405712
data_malaria,SVC_DESCS,rdkit_desc,100,0.1,0.9276746033526626,0.9216408032740887,0.9417698853126156,0.9196131214712835
