"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","maxNodes [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_solubility","SMILE_RFC_DESC","70","rdkit_desc","1000","0.98235351409177","0.984141380826737","0.9814376799670917","0.9814814814814815"
"data_solubility","SMILE_RFC_DESC","30","cdk_desc","1000","0.977791915471565","0.9763632365875109","0.9757301522007403","0.9812823576264437"
"data_solubility","SMILE_RFC_DESC","40","cdk_desc","1000","0.9758836647171464","0.9736147757255936","0.9823118058412177","0.9717244125846276"
"data_solubility","SMILE_RFC_DESC","50","cdk_desc","1000","0.9750707969874307","0.9694371152154793","0.9822089675030852","0.9735663082437276"
"data_solubility","SMILE_RFC_DESC","60","cdk_desc","1000","0.9773858805680523","0.9716908531222515","0.9810263266145619","0.9794404619673437"
"data_solubility","SMILE_RFC_DESC","70","cdk_desc","1000","0.9771756042827923","0.973834652594547","0.9814376799670917","0.9762544802867383"
"data_solubility","SMILE_RFC_DESC","30","rdkit_desc","5000","0.9825398692161516","0.9844986807387862","0.9830830933772111","0.9800378335324571"
"data_solubility","SMILE_RFC_DESC","40","rdkit_desc","5000","0.9816659768484168","0.98271218117854","0.9803064582476347","0.981979291119076"
"data_solubility","SMILE_RFC_DESC","50","rdkit_desc","5000","0.9821734174843839","0.9854331574318381","0.9817461949814891","0.9793409000398247"
"data_solubility","SMILE_RFC_DESC","60","rdkit_desc","5000","0.982269411137436","0.9815303430079154","0.9835972850678733","0.9816806053365194"
"data_solubility","SMILE_RFC_DESC","70","rdkit_desc","5000","0.9845834719203514","0.9853232189973614","0.9840086384204032","0.9844185583432895"
"data_solubility","SMILE_RFC_DESC","30","cdk_desc","5000","0.9784796254234691","0.9758685136323658","0.9778897573015221","0.9816806053365194"
"data_solubility","SMILE_RFC_DESC","40","cdk_desc","5000","0.9776673731373742","0.9788368513632365","0.9832373508844098","0.9709279171644764"
"data_solubility","SMILE_RFC_DESC","50","cdk_desc","5000","0.9793465125589415","0.9780672823218997","0.9811291649526944","0.9788430904022302"
"data_solubility","SMILE_RFC_DESC","60","cdk_desc","5000","0.9793827926470073","0.9776275285839929","0.9827231591937474","0.9777976901632816"
"data_solubility","SMILE_RFC_DESC","70","cdk_desc","5000","0.978367990430726","0.9757585751978891","0.9802036199095022","0.9791417761847868"
"data_solubility","SMILE_RFC_DESC","30","rdkit_desc","10000","0.9799354048582148","0.9810631046613896","0.9800493624023036","0.9786937475109517"
"data_solubility","SMILE_RFC_DESC","40","rdkit_desc","10000","0.9806010410111851","0.98271218117854","0.9815919374742904","0.9774990043807248"
"data_solubility","SMILE_RFC_DESC","50","rdkit_desc","10000","0.9813071056253447","0.9828221196130168","0.9805635540929659","0.9805356431700517"
"data_solubility","SMILE_RFC_DESC","60","rdkit_desc","10000","0.9829956206925538","0.9818326737027264","0.9846770876182641","0.9824771007566707"
"data_solubility","SMILE_RFC_DESC","70","rdkit_desc","10000","0.9824611624652526","0.9813654353562004","0.9833916083916084","0.9826264436479489"
"data_solubility","SMILE_RFC_DESC","30","cdk_desc","10000","0.9762228130271343","0.9726802990325417","0.981077745783628","0.974910394265233"
"data_solubility","SMILE_RFC_DESC","40","cdk_desc","10000","0.9773757010923837","0.9742194371152154","0.9819518716577541","0.9759557945041816"
"data_solubility","SMILE_RFC_DESC","50","cdk_desc","10000","0.9800325855122202","0.9779023746701846","0.9821575483340189","0.9800378335324571"
"data_solubility","SMILE_RFC_DESC","60","cdk_desc","10000","0.9776502747476984","0.9752088830255056","0.9814376799670917","0.9763042612504979"
"data_solubility","SMILE_RFC_DESC","70","cdk_desc","10000","0.9777438104624342","0.977352682497801","0.9807692307692307","0.9751095181202708"
"data_herg","SMILE_RFC_DESC","30","rdkit_desc","1000","0.8584214361724868","0.8122285332442365","0.8856362217017953","0.8773995535714284"
"data_herg","SMILE_RFC_DESC","40","rdkit_desc","1000","0.8650166473002096","0.8221405501726261","0.8902643024422884","0.8826450892857142"
"data_herg","SMILE_RFC_DESC","50","rdkit_desc","1000","0.8689820717674396","0.8177413965920484","0.8892606222816996","0.899944196428571"
