"NAME [String]","METHOD [String]","degree [Int]","C [Double]","foldSize [Int]","featuresColumn [String]","scalerType [String]","coef0 [Double]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SVR_POLY_FP","3","0.1","1500","rdkit_fp","MaxMin","0.0","1.9937353406203304","2.938237133184738","1.2428035136380249","1.8001653750382283"
"MouseRatTox","SVR_POLY_FP","2","1.0","1500","rdkit_fp","MaxMin","0.0","1.4381433888420503","1.8015431918393212","1.2147675955558497","1.2981193791309795"
"MouseRatTox","SVR_POLY_FP","3","1.0","1500","rdkit_fp","MaxMin","0.0","2.1417765361595915","3.285067331043059","1.337844562791458","1.8024177146442575"
"MouseRatTox","SVR_POLY_FP","2","0.001","2000","rdkit_fp","MaxMin","0.0","1.295232005380399","1.3830399471574124","1.2715275217363893","1.2311285472473956"
"MouseRatTox","SVR_POLY_FP","3","0.001","2000","rdkit_fp","MaxMin","0.0","1.3184155738597017","1.3812730631017907","1.255933144535074","1.3180405139422398"
"MouseRatTox","SVR_POLY_FP","2","0.01","2000","rdkit_fp","MaxMin","0.0","1.2283060994474981","1.3266921974138441","1.1820586951656744","1.1761674057629758"
"MouseRatTox","SVR_POLY_FP","3","0.01","2000","rdkit_fp","MaxMin","0.0","1.408915782027812","1.5117951071097235","1.2104641292170084","1.5044881097567042"
"MouseRatTox","SVR_POLY_FP","2","0.1","2000","rdkit_fp","MaxMin","0.0","1.2670875815375895","1.480789340639816","1.1488351650143063","1.171638238958646"
"MouseRatTox","SVR_POLY_FP","3","0.1","2000","rdkit_fp","MaxMin","0.0","1.7474202515118336","2.2069056392805404","1.223711437528373","1.8116436777265865"
"MouseRatTox","SVR_POLY_FP","2","1.0","2000","rdkit_fp","MaxMin","0.0","1.36253861336659","1.6053121801256984","1.196925489565536","1.2853781704085354"
"MouseRatTox","SVR_POLY_FP","3","1.0","2000","rdkit_fp","MaxMin","0.0","1.8181764296512049","2.3232547037015223","1.3049207976082664","1.8263537876438256"
"MouseRatTox","SVR_POLY_FP","2","0.001","1000","cdk_fp","MaxMin","0.0","1.3077262856972192","1.3851471288928607","1.2802281301870022","1.257803598011794"
"MouseRatTox","SVR_POLY_FP","3","0.001","1000","cdk_fp","MaxMin","0.0","1.2896694590713467","1.3797821824294474","1.2572434523976794","1.2319827423869132"
"MouseRatTox","SVR_POLY_FP","2","0.01","1000","cdk_fp","MaxMin","0.0","1.2219245039820332","1.3048625535965486","1.1891258029201024","1.1717851554294492"
"MouseRatTox","SVR_POLY_FP","3","0.01","1000","cdk_fp","MaxMin","0.0","1.3168285507444129","1.379426573458984","1.241545856312078","1.3295132224621766"
"MouseRatTox","SVR_POLY_FP","2","0.1","1000","cdk_fp","MaxMin","0.0","1.2098591122227915","1.3019650998640306","1.1785053433968538","1.1491068934074902"
"MouseRatTox","SVR_POLY_FP","3","0.1","1000","cdk_fp","MaxMin","0.0","1.3174316906761332","1.3329380156532293","1.2440698102396992","1.3752872461354713"
"MouseRatTox","SVR_POLY_FP","2","1.0","1000","cdk_fp","MaxMin","0.0","1.2229851030818073","1.3435332235136992","1.2000132998911979","1.1254087858405244"
"MouseRatTox","SVR_POLY_FP","3","1.0","1000","cdk_fp","MaxMin","0.0","1.3902560823288308","1.4364428148766593","1.2886180504045448","1.4457073817052881"
"MouseRatTox","SVR_POLY_FP","2","0.001","1500","cdk_fp","MaxMin","0.0","1.3080913021788996","1.386091209136519","1.2785095843367165","1.259673113063463"
"MouseRatTox","SVR_POLY_FP","3","0.001","1500","cdk_fp","MaxMin","0.0","1.2903186719551727","1.3772639995764004","1.2626222746860518","1.2310697416030654"
"MouseRatTox","SVR_POLY_FP","2","0.01","1500","cdk_fp","MaxMin","0.0","1.2303823370524982","1.317720890786043","1.1989179524548064","1.1745081679166458"
"MouseRatTox","SVR_POLY_FP","3","0.01","1500","cdk_fp","MaxMin","0.0","1.3305723010346961","1.369639254739921","1.2323195115600667","1.389758136804101"
"MouseRatTox","SVR_POLY_FP","2","0.1","1500","cdk_fp","MaxMin","0.0","1.2315510138749626","1.3092495737220988","1.182075825144552","1.2033276427582371"
"MouseRatTox","SVR_POLY_FP","3","0.1","1500","cdk_fp","MaxMin","0.0","1.348680358596047","1.3334353991570649","1.25837332798502","1.4542323486460564"
"MouseRatTox","SVR_POLY_FP","2","1.0","1500","cdk_fp","MaxMin","0.0","1.256072672791636","1.335049320743862","1.2096056842207854","1.2235630134102604"
"MouseRatTox","SVR_POLY_FP","3","1.0","1500","cdk_fp","MaxMin","0.0","1.4256347333762063","1.4166523577547547","1.378120739384625","1.482131102989239"
"MouseRatTox","SVR_POLY_FP","2","0.001","2000","cdk_fp","MaxMin","0.0","1.2945957157526518","1.3850584173178484","1.2717760522458654","1.2269526776942408"
"MouseRatTox","SVR_POLY_FP","3","0.001","2000","cdk_fp","MaxMin","0.0","1.317133067950003","1.3786887448336054","1.2524691495486397","1.3202413094677643"
"MouseRatTox","SVR_POLY_FP","2","0.01","2000","cdk_fp","MaxMin","0.0","1.2316327092481574","1.3234587676784655","1.1921653746920493","1.1792739853739571"
"MouseRatTox","SVR_POLY_FP","3","0.01","2000","cdk_fp","MaxMin","0.0","1.37257546416664","1.3689394186258257","1.2376558380235965","1.5111311358504982"
"MouseRatTox","SVR_POLY_FP","2","0.1","2000","cdk_fp","MaxMin","0.0","1.2292781642343344","1.318504198290356","1.1732961961944408","1.1960340982182065"
"MouseRatTox","SVR_POLY_FP","3","0.1","2000","cdk_fp","MaxMin","0.0","1.3520027756781836","1.3444103824588738","1.2341322770312542","1.4774656675444224"
"MouseRatTox","SVR_POLY_FP","2","1.0","2000","cdk_fp","MaxMin","0.0","1.234899581379245","1.3426777172975222","1.169797082024241","1.1922239448159722"
"MouseRatTox","SVR_POLY_FP","3","1.0","2000","cdk_fp","MaxMin","0.0","1.388050291741845","1.4146855114432528","1.2425135887100043","1.5069517750722776"
"MouseRatTox","SVR_POLY_FP","2","0.001","1000","rdkit_fp","Standard","0.0","1.3907225905895253","1.5276039140131783","1.3423693576258644","1.3021945001295339"
"MouseRatTox","SVR_POLY_FP","3","0.001","1000","rdkit_fp","Standard","0.0","2.078263925176888","1.9694035473499136","1.7653001928043095","2.5000880353764416"
"MouseRatTox","SVR_POLY_FP","2","0.01","1000","rdkit_fp","Standard","0.0","1.4662879022214028","1.6194450867289434","1.4192728476911494","1.3601457722441157"
"MouseRatTox","SVR_POLY_FP","3","0.01","1000","rdkit_fp","Standard","0.0","2.095858105737269","1.9694035473494624","1.7653001928043084","2.552870577058035"
"MouseRatTox","SVR_POLY_FP","2","0.1","1000","rdkit_fp","Standard","0.0","1.4697239830001088","1.6194450867289365","1.4192728476911554","1.3704540145802349"
"MouseRatTox","SVR_POLY_FP","3","0.1","1000","rdkit_fp","Standard","0.0","2.0958581057382966","1.9694035473482756","1.765300192804418","2.5528705770621967"
"MouseRatTox","SVR_POLY_FP","2","1.0","1000","rdkit_fp","Standard","0.0","1.5006990874519168","1.6194450867288626","1.419272847691098","1.4633793279357898"
"MouseRatTox","SVR_POLY_FP","3","1.0","1000","rdkit_fp","Standard","0.0","2.095870233663121","1.969403547301017","1.7653365766054168","2.5528705770829285"
"MouseRatTox","SVR_POLY_FP","2","0.001","1500","rdkit_fp","Standard","0.0","1.3692847854694596","1.4714635423242728","1.4224750376916144","1.2139157763924915"
"MouseRatTox","SVR_POLY_FP","3","0.001","1500","rdkit_fp","Standard","0.0","1.7576544260845843","1.7760222380454505","2.0937579194026035","1.4031831208056995"
"MouseRatTox","SVR_POLY_FP","2","0.01","1500","rdkit_fp","Standard","0.0","1.4809031660928798","1.6060253807063474","1.6272161490929746","1.2094679684793175"
"MouseRatTox","SVR_POLY_FP","3","0.01","1500","rdkit_fp","Standard","0.0","1.7576544260842353","1.7760222380453008","2.093757919402621","1.4031831208047845"
"MouseRatTox","SVR_POLY_FP","2","0.1","1500","rdkit_fp","Standard","0.0","1.475875947542793","1.6060253807063811","1.6272161490929724","1.1943863128290255"
"MouseRatTox","SVR_POLY_FP","3","0.1","1500","rdkit_fp","Standard","0.0","1.7597304994264436","1.7761463156618709","2.0937685754132906","1.409276607204169"
"MouseRatTox","SVR_POLY_FP","2","1.0","1500","rdkit_fp","Standard","0.0","1.4941336548043782","1.606025380706089","1.627216149093008","1.2491594346140376"
"MouseRatTox","SVR_POLY_FP","3","1.0","1500","rdkit_fp","Standard","0.0","1.7509072479868315","1.7760136387030323","2.0937579194007174","1.3829501858567446"
"MouseRatTox","SVR_POLY_FP","2","0.001","2000","rdkit_fp","Standard","0.0","1.3636151715552323","1.4382447677629318","1.4520907144682924","1.200510032434472"
"MouseRatTox","SVR_POLY_FP","3","0.001","2000","rdkit_fp","Standard","0.0","1.771199085745171","1.9924940798433577","1.9152679850659755","1.4058351923261798"
"MouseRatTox","SVR_POLY_FP","2","0.01","2000","rdkit_fp","Standard","0.0","1.4663663191169825","1.6131043939911531","1.5922720973808047","1.1937224659789898"
"MouseRatTox","SVR_POLY_FP","3","0.01","2000","rdkit_fp","Standard","0.0","1.7711456775117422","1.9923338551430332","1.915267985066002","1.405835192326191"
"MouseRatTox","SVR_POLY_FP","2","0.1","2000","rdkit_fp","Standard","0.0","1.4592628049388436","1.6131043939911691","1.5922720973808044","1.1724119234445574"
"MouseRatTox","SVR_POLY_FP","3","0.1","2000","rdkit_fp","Standard","0.0","1.771145677510335","1.9923338551386158","1.9152679850661645","1.4058351923262247"
"MouseRatTox","SVR_POLY_FP","2","1.0","2000","rdkit_fp","Standard","0.0","1.4771842350680044","1.6131043939909793","1.5922720973807942","1.2261762138322398"
"MouseRatTox","SVR_POLY_FP","3","1.0","2000","rdkit_fp","Standard","0.0","1.7711581240318892","1.992371194704068","1.9152679850653063","1.405835192326293"
"MouseRatTox","SVR_POLY_FP","2","0.001","1000","cdk_fp","Standard","0.0","1.2523362301301546","1.3965419674280302","1.2408577268438525","1.119608996118581"
"MouseRatTox","SVR_POLY_FP","3","0.001","1000","cdk_fp","Standard","0.0","1.4833092397890597","1.5136474396956205","1.4811067388285406","1.4551735408430178"
"MouseRatTox","SVR_POLY_FP","2","0.01","1000","cdk_fp","Standard","0.0","1.3401131954309387","1.4812291658426389","1.3781806936991314","1.1609297267510454"
"MouseRatTox","SVR_POLY_FP","3","0.01","1000","cdk_fp","Standard","0.0","1.4833092397887355","1.5136474396955966","1.481106738828544","1.4551735408420656"
