"NAME [String]","METHOD [String]","lambda [Double]","elasticNetParam [Double]","featuresColumn [String]","scalerType [String]","maxIter [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"Caco2","LR_EL_DESC","0.1","0.75","rdkit_desc","MaxMin","10","0.5500645605789364","0.5887979037427893","0.5473252806183317","0.514070497375688"
"Caco2","LR_EL_DESC","0.05","0.75","rdkit_desc","MaxMin","10","0.5485429584568027","0.5882648077757895","0.544935822849568","0.5124282447450507"
"Caco2","LR_EL_DESC","0.01","0.75","rdkit_desc","MaxMin","10","0.6004578030068536","0.6652357913180375","0.5856835819695541","0.5504540357329691"
"Caco2","LR_EL_DESC","0.005","0.75","rdkit_desc","MaxMin","10","0.5998396668240208","0.6609166087382127","0.5713008110599314","0.5673015806739182"
"Caco2","LR_EL_DESC","1.0","1.0","rdkit_desc","MaxMin","10","0.7721247569330947","0.894686968676971","0.7004184738791464","0.7212688282431668"
"Caco2","LR_EL_DESC","0.1","1.0","rdkit_desc","MaxMin","10","0.5463219363630626","0.5873556904512337","0.539277306456058","0.5123328121818963"
"Caco2","LR_EL_DESC","0.05","1.0","rdkit_desc","MaxMin","10","0.5510535082064053","0.5785114008351687","0.5596935872242752","0.5149555365597719"
"Caco2","LR_EL_DESC","0.01","1.0","rdkit_desc","MaxMin","10","0.5671325193845331","0.6444154754740995","0.5126631972465099","0.5443188854329902"
"Caco2","LR_EL_DESC","0.005","1.0","rdkit_desc","MaxMin","10","0.5839588942211852","0.6340392384067473","0.5483846448767672","0.5694527993800415"
"Caco2","LR_EL_DESC","1.0","0.0","cdk_desc","MaxMin","10","0.5592264053061692","0.6323211019029344","0.521796738340802","0.523561375674771"
"Caco2","LR_EL_DESC","0.1","0.0","cdk_desc","MaxMin","10","0.6708917702814258","0.7111089939027442","0.7030141084663498","0.5985522084751833"
"Caco2","LR_EL_DESC","0.05","0.0","cdk_desc","MaxMin","10","0.7785318787329318","0.7912779228445473","0.8983518903185655","0.6459658230356825"
"Caco2","LR_EL_DESC","0.01","0.0","cdk_desc","MaxMin","10","1.140934412775543","0.9881874852067979","1.611854325489234","0.8227614276305971"
"Caco2","LR_EL_DESC","0.005","0.0","cdk_desc","MaxMin","10","1.310987636666563","1.0466249204820968","1.9637795889787613","0.9225584005388312"
"Caco2","LR_EL_DESC","1.0","0.25","cdk_desc","MaxMin","10","0.6514861680639892","0.7841581153897048","0.5874432819774906","0.5828571068247722"
"Caco2","LR_EL_DESC","0.1","0.25","cdk_desc","MaxMin","10","0.5748881170148367","0.6155793015784075","0.537518463864473","0.5715665856016294"
"Caco2","LR_EL_DESC","0.05","0.25","cdk_desc","MaxMin","10","0.5953968467108745","0.6399462614791361","0.5607751562720092","0.585469122381478"
"Caco2","LR_EL_DESC","0.01","0.25","cdk_desc","MaxMin","10","0.6448562587271282","0.6948231462686836","0.6083744722318658","0.6313711576808353"
"Caco2","LR_EL_DESC","0.005","0.25","cdk_desc","MaxMin","10","0.6552209634011822","0.7226958592138072","0.6243056874558824","0.6186613435338569"
"Caco2","LR_EL_DESC","1.0","0.5","cdk_desc","MaxMin","10","0.7542356773140191","0.894686968676971","0.6662898049174482","0.7017302583476381"
"Caco2","LR_EL_DESC","0.1","0.5","cdk_desc","MaxMin","10","0.573935306497532","0.5961132483170931","0.5666417474466523","0.5590509237288509"
"Caco2","LR_EL_DESC","0.05","0.5","cdk_desc","MaxMin","10","0.5776323399151803","0.6094081677446371","0.5433668656670607","0.5801219863338429"
"Caco2","LR_EL_DESC","0.01","0.5","cdk_desc","MaxMin","10","0.6399683495453178","0.6704060095659086","0.6292404843500004","0.6202585547200444"
"Caco2","LR_EL_DESC","0.005","0.5","cdk_desc","MaxMin","10","0.6444619092845235","0.6988077567603664","0.6112866689430231","0.623291302150181"
"Caco2","LR_EL_DESC","1.0","0.75","cdk_desc","MaxMin","10","0.7721247569330947","0.894686968676971","0.7004184738791464","0.7212688282431668"
"Caco2","LR_EL_DESC","0.1","0.75","cdk_desc","MaxMin","10","0.5670599995516036","0.6087866820297958","0.566777891432267","0.5256154251927477"
"Caco2","LR_EL_DESC","0.05","0.75","cdk_desc","MaxMin","10","0.5693989160201846","0.5965212639377429","0.5499260714302443","0.5617494126925664"
"Caco2","LR_EL_DESC","0.01","0.75","cdk_desc","MaxMin","10","0.6328726954608462","0.6753117073672082","0.6127290354548489","0.6105773435604813"
"Caco2","LR_EL_DESC","0.005","0.75","cdk_desc","MaxMin","10","0.6405326085790225","0.6630423431126126","0.6351934434855169","0.6233620391389382"
"Caco2","LR_EL_DESC","1.0","1.0","cdk_desc","MaxMin","10","0.7721247569330947","0.894686968676971","0.7004184738791464","0.7212688282431668"
"Caco2","LR_EL_DESC","0.1","1.0","cdk_desc","MaxMin","10","0.566988124597947","0.6140279982744412","0.5626117693727258","0.5243246061466743"
"Caco2","LR_EL_DESC","0.05","1.0","cdk_desc","MaxMin","10","0.5764628088902124","0.5936975908238488","0.5690002552867746","0.5666905805600139"
"Caco2","LR_EL_DESC","0.01","1.0","cdk_desc","MaxMin","10","0.6173869425354855","0.6648853169322801","0.5835055367458644","0.6037699739283121"
"Caco2","LR_EL_DESC","0.005","1.0","cdk_desc","MaxMin","10","0.644359532524908","0.6736054553701858","0.6305053422137649","0.6289677999907732"
"Caco2","LR_EL_DESC","1.0","0.0","rdkit_desc","Standard","10","0.559060700401836","0.633750593194511","0.5360861694986185","0.5073453385123783"
"Caco2","LR_EL_DESC","0.1","0.0","rdkit_desc","Standard","10","0.5965076180524617","0.6993726653275426","0.5599029755064067","0.530247213323436"
"Caco2","LR_EL_DESC","0.05","0.0","rdkit_desc","Standard","10","0.6385333766192982","0.756446095517303","0.6241960088817071","0.5349580254588845"
"Caco2","LR_EL_DESC","0.01","0.0","rdkit_desc","Standard","10","0.7778072400401205","0.9029877758228548","0.8355048728312809","0.594929071466226"
"Caco2","LR_EL_DESC","0.005","0.0","rdkit_desc","Standard","10","0.8584628697659485","0.9500234656319253","0.9528706718433528","0.6724944718225676"
"Caco2","LR_EL_DESC","1.0","0.25","rdkit_desc","Standard","10","0.6326928900142591","0.7506471024595605","0.5762793602861458","0.5711522072970711"
"Caco2","LR_EL_DESC","0.1","0.25","rdkit_desc","Standard","10","0.5513480712837828","0.6023527765873677","0.5276376050855447","0.524053832178436"
