"NAME [String]","METHOD [String]","lambda [Double]","maxIter [Int]","featuresColumn [String]","scalerType [String]","elasticNetParam [Double]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"Caco2","LR_EL_FP","0.01","10","rdkit_fp","Standard","0.25","0.7255214768985786","0.7174261398949409","0.6900029677945344","0.7691353230062606"
"Caco2","LR_EL_FP","0.005","10","rdkit_fp","Standard","0.25","0.7302707352583923","0.7229677141741714","0.6948187697951596","0.7730257218058457"
"Caco2","LR_EL_FP","1.0","100","rdkit_fp","Standard","0.25","0.7504936472008975","0.7609255764587495","0.6613543684460317","0.8292009966979114"
"Caco2","LR_EL_FP","0.1","100","rdkit_fp","Standard","0.25","0.6930045473469199","0.6832478503859258","0.6858496635977986","0.709916128057035"
"Caco2","LR_EL_FP","0.05","100","rdkit_fp","Standard","0.25","0.7035228471288524","0.6880744593277833","0.6962933530314773","0.7262007290272965"
"Caco2","LR_EL_FP","0.01","100","rdkit_fp","Standard","0.25","0.7204372407356225","0.7079149090514973","0.7089965796528869","0.7444002335024834"
"Caco2","LR_EL_FP","0.005","100","rdkit_fp","Standard","0.25","0.7152288113157449","0.7207466839085881","0.6753078285980716","0.7496319214405749"
"Caco2","LR_EL_FP","1.0","500","rdkit_fp","Standard","0.25","0.7504936472008975","0.7609255764587495","0.6613543684460317","0.8292009966979114"
"Caco2","LR_EL_FP","0.1","500","rdkit_fp","Standard","0.25","0.6930526831240971","0.6831170686335035","0.6857712561548701","0.7102697245839175"
"Caco2","LR_EL_FP","0.05","500","rdkit_fp","Standard","0.25","0.7050998132362504","0.6880724498088456","0.7027499380316343","0.7244770518682712"
"Caco2","LR_EL_FP","0.01","500","rdkit_fp","Standard","0.25","0.7200121703779198","0.7010810090141033","0.7153468616113752","0.7436086405082809"
"Caco2","LR_EL_FP","0.005","500","rdkit_fp","Standard","0.25","0.7208840820353402","0.7020797685225971","0.713209289803633","0.7473631877797902"
"Caco2","LR_EL_FP","1.0","10","cdk_fp","Standard","0.25","0.7405106896066626","0.7596937669130576","0.6523684210378041","0.8094698808691259"
"Caco2","LR_EL_FP","0.1","10","cdk_fp","Standard","0.25","0.6747277869741805","0.6208108707073424","0.643070236271237","0.7603022539439622"
"Caco2","LR_EL_FP","0.05","10","cdk_fp","Standard","0.25","0.7076142553184681","0.6901919848069844","0.66821443723753","0.7644363439108898"
"Caco2","LR_EL_FP","0.01","10","cdk_fp","Standard","0.25","0.7239951416078553","0.7444664425882519","0.6742188118726835","0.7533001703626303"
"Caco2","LR_EL_FP","0.005","10","cdk_fp","Standard","0.25","0.7335910786758787","0.769940570506936","0.6757789466169224","0.7550537189037775"
"Caco2","LR_EL_FP","1.0","100","cdk_fp","Standard","0.25","0.7398865158957543","0.7582140560963626","0.6519856430490398","0.8094598485418605"
"Caco2","LR_EL_FP","0.1","100","cdk_fp","Standard","0.25","0.6647087926218326","0.5987724739529441","0.655897936002444","0.7394559679101097"
"Caco2","LR_EL_FP","0.05","100","cdk_fp","Standard","0.25","0.6733640073270316","0.6028943349231723","0.6742153993633133","0.7429822876946091"
"Caco2","LR_EL_FP","0.01","100","cdk_fp","Standard","0.25","0.6788294516326049","0.6276004789429808","0.6715166749203628","0.737371201034471"
"Caco2","LR_EL_FP","0.005","100","cdk_fp","Standard","0.25","0.6979615767301883","0.6578820617847408","0.6726490720820444","0.7633535963237799"
"Caco2","LR_EL_FP","1.0","500","cdk_fp","Standard","0.25","0.7398865158957543","0.7582140560963626","0.6519856430490398","0.8094598485418605"
"Caco2","LR_EL_FP","0.1","500","cdk_fp","Standard","0.25","0.6647299579555922","0.5988553758449475","0.6559069142595516","0.7394275837622777"
"Caco2","LR_EL_FP","0.05","500","cdk_fp","Standard","0.25","0.6728762748774099","0.6031037133379468","0.6720995674668337","0.7434255438274492"
"Caco2","LR_EL_FP","0.01","500","cdk_fp","Standard","0.25","0.6847572181419191","0.6268695444157782","0.680999663662212","0.7464024463477673"
"Caco2","LR_EL_FP","0.005","500","cdk_fp","Standard","0.25","0.6879918050162891","0.632248789744756","0.6826531189749617","0.7490735063291496"
