"NAME [String]","METHOD [String]","C [Double]","coef0 [Double]","featuresColumn [String]","degree [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"Caco2","SVR_TAN","0.001","0.0","cdk_fp","4","0.8566297219808079","0.9191594018602877","0.8101346635692246","0.8405951005129114"
"Caco2","SVR_TAN","0.01","0.0","cdk_fp","4","0.8542232596986509","0.9154207599757571","0.8084069401521885","0.8388420789680072"
"Caco2","SVR_TAN","0.1","0.0","cdk_fp","4","0.8198670660396857","0.8770555829053472","0.7667992317509639","0.8157463834627465"
"Caco2","SVR_TAN","1.0","0.0","cdk_fp","4","0.6798456452502104","0.6919833325774103","0.6233516675624377","0.7242019356107834"
"Caco2","SVR_TAN","10.0","0.0","cdk_fp","4","0.6761363219617825","0.6805965149152017","0.6218611780014413","0.7259512729687047"
"Caco2","SVR_TAN","0.001","1.0","cdk_fp","4","0.8529100379339191","0.9106573295894561","0.8106080025732033","0.8374647816390975"
"Caco2","SVR_TAN","0.01","1.0","cdk_fp","4","0.7960175038490126","0.8472175456206543","0.7399362850003494","0.8008986809260339"
"Caco2","SVR_TAN","0.1","1.0","cdk_fp","4","0.63831433341304","0.6306075788593654","0.6066982988637866","0.6776371225159681"
"Caco2","SVR_TAN","1.0","1.0","cdk_fp","4","0.6360490839561798","0.6235179076146479","0.6051221903492474","0.6795071539046441"
"Caco2","SVR_TAN","10.0","1.0","cdk_fp","4","0.6360490839561798","0.6235179076146479","0.6051221903492474","0.6795071539046441"
"Caco2","SVR_TAN","0.001","2.0","cdk_fp","4","0.8304587695265923","0.8767253328482295","0.7871675479108626","0.8274834278206844"
"Caco2","SVR_TAN","0.01","2.0","cdk_fp","4","0.6999792664562312","0.7217106722959348","0.6604555004822472","0.7177716265905115"
"Caco2","SVR_TAN","0.1","2.0","cdk_fp","4","0.6258665863682032","0.6083293831030604","0.6045571002617729","0.6647132757397766"
"Caco2","SVR_TAN","1.0","2.0","cdk_fp","4","0.6258665863682032","0.6083293831030604","0.6045571002617729","0.6647132757397766"
"Caco2","SVR_TAN","10.0","2.0","cdk_fp","4","0.6258665863682032","0.6083293831030604","0.6045571002617729","0.6647132757397766"
"Caco2","SVR_TAN","0.001","3.0","cdk_fp","4","0.7864618617414019","0.8326139816059072","0.7273457648109295","0.7994258388073688"
"Caco2","SVR_TAN","0.01","3.0","cdk_fp","4","0.6268332646551303","0.6107049831770681","0.6121135408100044","0.6576812699783183"
"Caco2","SVR_TAN","0.1","3.0","cdk_fp","4","0.6218554697333124","0.6019388901857708","0.6059090685582565","0.6577184504559097"
"Caco2","SVR_TAN","1.0","3.0","cdk_fp","4","0.6218554697333124","0.6019388901857708","0.6059090685582565","0.6577184504559097"
