"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","featuresColumn [String]","C [Double]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SVR_RBF_DESC","1.0","Standard","cdk_desc","1.0E-4","1.4039815449366164","1.4573671479860928","1.423456664248744","1.3311208225750117"
"MouseRatTox","SVR_RBF_DESC","1.0E-4","MaxMin","rdkit_desc","0.001","1.403921525394716","1.4573640979100937","1.4232804933285084","1.3311199849455457"
"MouseRatTox","SVR_RBF_DESC","0.001","MaxMin","rdkit_desc","0.001","1.4039043994829188","1.4573307195614227","1.423272688351602","1.3311097905357319"
"MouseRatTox","SVR_RBF_DESC","0.01","MaxMin","rdkit_desc","0.001","1.4037553089700527","1.4570569918316596","1.4231916204219996","1.331017314656499"
"MouseRatTox","SVR_RBF_DESC","0.1","MaxMin","rdkit_desc","0.001","1.4028915972750635","1.455702766046773","1.422471825161469","1.3305002006169484"
"MouseRatTox","SVR_RBF_DESC","1.0","MaxMin","rdkit_desc","0.001","1.4023833295457775","1.455424523803853","1.4219776742505916","1.3297477905828876"
"MouseRatTox","SVR_RBF_DESC","1.0E-4","Standard","rdkit_desc","0.001","1.4038624668460475","1.4572601543997519","1.4232447265562713","1.3310825195821199"
"MouseRatTox","SVR_RBF_DESC","0.001","Standard","rdkit_desc","0.001","1.4034829330919532","1.4566625460206704","1.422931634466246","1.3308546187889432"
"MouseRatTox","SVR_RBF_DESC","0.01","Standard","rdkit_desc","0.001","1.40246823549038","1.4551404682923874","1.4223376921582946","1.3299265460204575"
"MouseRatTox","SVR_RBF_DESC","0.1","Standard","rdkit_desc","0.001","1.4035053919626943","1.4568645022016873","1.4229859018154705","1.3306657718709252"
"MouseRatTox","SVR_RBF_DESC","1.0","Standard","rdkit_desc","0.001","1.4039708239682536","1.4573520258409551","1.4234589273311715","1.3311015187326345"
"MouseRatTox","SVR_RBF_DESC","1.0E-4","MaxMin","cdk_desc","0.001","1.403921157555765","1.4573634832268885","1.4232800623363844","1.3311199271040217"
"MouseRatTox","SVR_RBF_DESC","0.001","MaxMin","cdk_desc","0.001","1.403900805413384","1.4573247697422378","1.4232684246060823","1.3311092218918317"
"MouseRatTox","SVR_RBF_DESC","0.01","MaxMin","cdk_desc","0.001","1.4037238835233141","1.4570058954287823","1.4231529181186302","1.3310128370225298"
"MouseRatTox","SVR_RBF_DESC","0.1","MaxMin","cdk_desc","0.001","1.4028780093916513","1.455262551974059","1.4222265554396845","1.3311449207612105"
"MouseRatTox","SVR_RBF_DESC","1.0","MaxMin","cdk_desc","0.001","1.4027726507870713","1.4556339805870977","1.4220201096819731","1.330663862092143"
"MouseRatTox","SVR_RBF_DESC","1.0E-4","Standard","cdk_desc","0.001","1.403866608425578","1.4572656342389871","1.4232432690244892","1.3310909220132572"
"MouseRatTox","SVR_RBF_DESC","0.001","Standard","cdk_desc","0.001","1.4035033063324347","1.456665723639788","1.4228945684019647","1.3309496269555512"
"MouseRatTox","SVR_RBF_DESC","0.01","Standard","cdk_desc","0.001","1.4027826464919537","1.4552567596588026","1.4222061276848912","1.3308850521321676"
"MouseRatTox","SVR_RBF_DESC","0.1","Standard","cdk_desc","0.001","1.4036734164370028","1.457004881990392","1.4230767706541516","1.330938596666465"
"MouseRatTox","SVR_RBF_DESC","1.0","Standard","cdk_desc","0.001","1.4039761292437538","1.4573604031895457","1.4234499230962487","1.3311180614454672"
"MouseRatTox","SVR_RBF_DESC","1.0E-4","MaxMin","rdkit_desc","0.01","1.4039041055272772","1.4573299049311659","1.4232727286447713","1.3311096830058937"
"MouseRatTox","SVR_RBF_DESC","0.001","MaxMin","rdkit_desc","0.01","1.4037330583057874","1.4569966075948972","1.4231947394412403","1.3310078278812245"
"MouseRatTox","SVR_RBF_DESC","0.01","MaxMin","rdkit_desc","0.01","1.4026311344994447","1.4546646930793097","1.423137512663224","1.3300911977557996"
"MouseRatTox","SVR_RBF_DESC","0.1","MaxMin","rdkit_desc","0.01","1.3957582592151543","1.447885771484734","1.4158197084408424","1.323569297719887"
"MouseRatTox","SVR_RBF_DESC","1.0","MaxMin","rdkit_desc","0.01","1.3856872658844424","1.4412762809838162","1.4013698382694662","1.3144156784000445"
"MouseRatTox","SVR_RBF_DESC","1.0E-4","Standard","rdkit_desc","0.01","1.4033160913749185","1.4562965950212772","1.4229157497654668","1.3307359293380119"
"MouseRatTox","SVR_RBF_DESC","0.001","Standard","rdkit_desc","0.01","1.4008452424290694","1.4525110496395566","1.4222292768731761","1.327795400774476"
"MouseRatTox","SVR_RBF_DESC","0.01","Standard","rdkit_desc","0.01","1.3890104391084794","1.444965474438315","1.4062375147196073","1.3158283281675158"
"MouseRatTox","SVR_RBF_DESC","0.1","Standard","rdkit_desc","0.01","1.398804980042284","1.4526976980024446","1.417346811868941","1.3263704302554664"
"MouseRatTox","SVR_RBF_DESC","1.0","Standard","rdkit_desc","0.01","1.4041559330049544","1.457538678612367","1.423473292138232","1.3314558282642648"
"MouseRatTox","SVR_RBF_DESC","1.0E-4","MaxMin","cdk_desc","0.01","1.4039004266696857","1.4573237559486896","1.42326841920539","1.3311091048549772"
"MouseRatTox","SVR_RBF_DESC","0.001","MaxMin","cdk_desc","0.01","1.4036970720442137","1.4569368983556221","1.4231521496459212","1.3310021681310982"
"MouseRatTox","SVR_RBF_DESC","0.01","MaxMin","cdk_desc","0.01","1.4022600951504065","1.4539659681818728","1.4222518628608685","1.330562454408478"
"MouseRatTox","SVR_RBF_DESC","0.1","MaxMin","cdk_desc","0.01","1.3931443428046688","1.4425225363591645","1.4136923536882398","1.323218138366602"
"MouseRatTox","SVR_RBF_DESC","1.0","MaxMin","cdk_desc","0.01","1.388039813543174","1.4417723244879381","1.4038738314933952","1.3184732846481884"
"MouseRatTox","SVR_RBF_DESC","1.0E-4","Standard","cdk_desc","0.01","1.4033565231857752","1.4563485809203596","1.4229011530340416","1.3308198356029248"
"MouseRatTox","SVR_RBF_DESC","0.001","Standard","cdk_desc","0.01","1.401178313299365","1.4522218717737714","1.4218213384065892","1.3294917297177344"
"MouseRatTox","SVR_RBF_DESC","0.01","Standard","cdk_desc","0.01","1.3902581244363852","1.4420382948018458","1.40953673939657","1.3191993391107402"
