"NAME [String]","METHOD [String]","gamma [Double]","foldSize [Int]","featuresColumn [String]","scalerType [String]","C [Double]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SVR_RBF_FP","1.0","2000","rdkit_fp","MaxMin","0.001","1.3723779084309384","1.4463122134174884","1.3469968186341437","1.323824693241183"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1000","cdk_fp","MaxMin","0.001","1.372461062780433","1.4463716669866333","1.3469952345244633","1.3240162868302023"
"MouseRatTox","SVR_RBF_FP","0.001","1000","cdk_fp","MaxMin","0.001","1.3724305867561686","1.446348760830126","1.3469705357127604","1.3239724637256192"
"MouseRatTox","SVR_RBF_FP","0.01","1000","cdk_fp","MaxMin","0.001","1.3721653251675232","1.4461633962474172","1.3467924378359966","1.323540141419156"
"MouseRatTox","SVR_RBF_FP","0.1","1000","cdk_fp","MaxMin","0.001","1.3713966434026832","1.4457124258925291","1.3464841975842803","1.3219933067312406"
"MouseRatTox","SVR_RBF_FP","1.0","1000","cdk_fp","MaxMin","0.001","1.3722968476520865","1.4462624041468428","1.3469997751632667","1.3236283636461499"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1500","cdk_fp","MaxMin","0.001","1.3724609814328277","1.4463716567576155","1.346995154837685","1.3240161327031825"
"MouseRatTox","SVR_RBF_FP","0.001","1500","cdk_fp","MaxMin","0.001","1.3724298626598097","1.4463486365892537","1.3469699007556377","1.3239710506345375"
"MouseRatTox","SVR_RBF_FP","0.01","1500","cdk_fp","MaxMin","0.001","1.3721639777663155","1.446160080715372","1.3467945031172093","1.3235373494663651"
"MouseRatTox","SVR_RBF_FP","0.1","1500","cdk_fp","MaxMin","0.001","1.3714333977638786","1.44567986970421","1.3464521389295447","1.3221681846578817"
"MouseRatTox","SVR_RBF_FP","1.0","1500","cdk_fp","MaxMin","0.001","1.3723468732949262","1.4462389390412034","1.3469791030892606","1.3238225777543147"
"MouseRatTox","SVR_RBF_FP","1.0E-4","2000","cdk_fp","MaxMin","0.001","1.3724598890885387","1.4463714717071299","1.346994942063949","1.3240132534945366"
"MouseRatTox","SVR_RBF_FP","0.001","2000","cdk_fp","MaxMin","0.001","1.372419115799299","1.44634690963886","1.3469679740674465","1.323942463691591"
"MouseRatTox","SVR_RBF_FP","0.01","2000","cdk_fp","MaxMin","0.001","1.3720722311204658","1.446151371582686","1.3467885241421274","1.3232767976365842"
"MouseRatTox","SVR_RBF_FP","0.1","2000","cdk_fp","MaxMin","0.001","1.3712909162546332","1.4457065803788511","1.346520821723517","1.3216453466615319"
"MouseRatTox","SVR_RBF_FP","1.0","2000","cdk_fp","MaxMin","0.001","1.3723464586451541","1.4462548002651807","1.3470095719109711","1.3237750037593101"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1000","rdkit_fp","Standard","0.001","1.3723618460602918","1.4462794093690992","1.3469408207218092","1.3238653080899672"
"MouseRatTox","SVR_RBF_FP","0.001","1000","rdkit_fp","Standard","0.001","1.3720850128144022","1.4460764726264457","1.346777042775279","1.3234015230414817"
"MouseRatTox","SVR_RBF_FP","0.01","1000","rdkit_fp","Standard","0.001","1.3722806481252148","1.4462533833856737","1.347004273268845","1.3235842877211257"
"MouseRatTox","SVR_RBF_FP","0.1","1000","rdkit_fp","Standard","0.001","1.372459340546585","1.4463442407298817","1.3470265844029854","1.3240071965068883"
"MouseRatTox","SVR_RBF_FP","1.0","1000","rdkit_fp","Standard","0.001","1.3724690497370702","1.4463564109280558","1.3470357995829962","1.3240149387001585"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1500","rdkit_fp","Standard","0.001","1.3723459181182018","1.446255852453167","1.3469418613567474","1.323840040544691"
"MouseRatTox","SVR_RBF_FP","0.001","1500","rdkit_fp","Standard","0.001","1.3721809922663084","1.4461144168049256","1.346715642329048","1.323712917664952"
"MouseRatTox","SVR_RBF_FP","0.01","1500","rdkit_fp","Standard","0.001","1.3723433565695131","1.4462733817887796","1.3470130842075416","1.3237436037122183"
"MouseRatTox","SVR_RBF_FP","0.1","1500","rdkit_fp","Standard","0.001","1.372458877672514","1.446342849884598","1.3470271859871794","1.3240065971457644"
"MouseRatTox","SVR_RBF_FP","1.0","1500","rdkit_fp","Standard","0.001","1.3724689844979256","1.4463561146238735","1.347035896652794","1.32401494221711"
"MouseRatTox","SVR_RBF_FP","1.0E-4","2000","rdkit_fp","Standard","0.001","1.372320164028455","1.4462271276463212","1.346938318418217","1.3237950460208265"
"MouseRatTox","SVR_RBF_FP","0.001","2000","rdkit_fp","Standard","0.001","1.3722284877236781","1.446170032424939","1.346699195384926","1.323816235361169"
"MouseRatTox","SVR_RBF_FP","0.01","2000","rdkit_fp","Standard","0.001","1.3723571523609024","1.4463051622351788","1.347003582621388","1.32376271222614"
"MouseRatTox","SVR_RBF_FP","0.1","2000","rdkit_fp","Standard","0.001","1.3724599377104838","1.4463437948417082","1.3470268759415536","1.3240091423481903"
"MouseRatTox","SVR_RBF_FP","1.0","2000","rdkit_fp","Standard","0.001","1.372468949305402","1.4463561002045031","1.3470358045122917","1.324014943199412"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1000","cdk_fp","Standard","0.001","1.3723624003444204","1.4462748537423427","1.3469340831006142","1.3238782641903042"
"MouseRatTox","SVR_RBF_FP","0.001","1000","cdk_fp","Standard","0.001","1.3720428657448445","1.4460267941993405","1.3468149339629163","1.3232868690722772"
"MouseRatTox","SVR_RBF_FP","0.01","1000","cdk_fp","Standard","0.001","1.3723073121163842","1.4462584679677186","1.3470157474178959","1.3236477209635378"
"MouseRatTox","SVR_RBF_FP","0.1","1000","cdk_fp","Standard","0.001","1.3724420365479737","1.446315936421959","1.3470283889025214","1.3239817843194408"
"MouseRatTox","SVR_RBF_FP","1.0","1000","cdk_fp","Standard","0.001","1.3724625270928783","1.4463417413930706","1.3470309739870148","1.3240148658985496"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1500","cdk_fp","Standard","0.001","1.3723560588713128","1.4462579412144294","1.3469597478459605","1.3238504875535482"
"MouseRatTox","SVR_RBF_FP","0.001","1500","cdk_fp","Standard","0.001","1.3721629762146","1.4460969008452416","1.346768065386915","1.323623962411643"
"MouseRatTox","SVR_RBF_FP","0.01","1500","cdk_fp","Standard","0.001","1.3723655456135146","1.44626989853136","1.3470211626992301","1.3238055756099536"
"MouseRatTox","SVR_RBF_FP","0.1","1500","cdk_fp","Standard","0.001","1.3724420928552314","1.4463181507985232","1.3470238748369858","1.3239842529301857"
"MouseRatTox","SVR_RBF_FP","1.0","1500","cdk_fp","Standard","0.001","1.3724625557871708","1.4463418401574517","1.3470309816431059","1.3240148455609553"
"MouseRatTox","SVR_RBF_FP","1.0E-4","2000","cdk_fp","Standard","0.001","1.3723308333271973","1.4462401781110672","1.3469539103411126","1.3237984115294128"
"MouseRatTox","SVR_RBF_FP","0.001","2000","cdk_fp","Standard","0.001","1.3721587880721913","1.446118058147496","1.3467901123365746","1.3235681937325032"
"MouseRatTox","SVR_RBF_FP","0.01","2000","cdk_fp","Standard","0.001","1.3723790289719695","1.44628649217049","1.347038833246008","1.323811761499411"
"MouseRatTox","SVR_RBF_FP","0.1","2000","cdk_fp","Standard","0.001","1.3724452710695403","1.4463195357617975","1.3470298946300678","1.3239863828167555"
"MouseRatTox","SVR_RBF_FP","1.0","2000","cdk_fp","Standard","0.001","1.3724625578679135","1.4463418187105614","1.3470309810843755","1.3240148738088038"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1000","rdkit_fp","MaxMin","0.01","1.3724266947762074","1.4463490353196609","1.3469715015682344","1.323959547440727"
"MouseRatTox","SVR_RBF_FP","0.001","1000","rdkit_fp","MaxMin","0.01","1.372092270314327","1.4461271761437005","1.3467408191156323","1.3234088156836483"
"MouseRatTox","SVR_RBF_FP","0.01","1000","rdkit_fp","MaxMin","0.01","1.3698810071799876","1.4443289137398594","1.3450766015750493","1.3202375062250546"
"MouseRatTox","SVR_RBF_FP","0.1","1000","rdkit_fp","MaxMin","0.01","1.3635494633258747","1.4401031888889064","1.3416615827927931","1.3088836182959245"
"MouseRatTox","SVR_RBF_FP","1.0","1000","rdkit_fp","MaxMin","0.01","1.3714012150901655","1.4455063888690547","1.3467036629324856","1.3219935934689564"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1500","rdkit_fp","MaxMin","0.01","1.372422343093966","1.4463468179902215","1.3469666750159208","1.3239535362757557"
"MouseRatTox","SVR_RBF_FP","0.001","1500","rdkit_fp","MaxMin","0.01","1.3720496995107607","1.4461057211408384","1.346694397479342","1.3233489799121017"
"MouseRatTox","SVR_RBF_FP","0.01","1500","rdkit_fp","MaxMin","0.01","1.3696030184226167","1.4441733471571658","1.3447388103084934","1.3198968978021908"
"MouseRatTox","SVR_RBF_FP","0.1","1500","rdkit_fp","MaxMin","0.01","1.3634925403082319","1.4404657829434235","1.3415637005924839","1.3084481373887884"
"MouseRatTox","SVR_RBF_FP","1.0","1500","rdkit_fp","MaxMin","0.01","1.3716847036677038","1.4456739649912083","1.3469876377763486","1.3223925082355552"
"MouseRatTox","SVR_RBF_FP","1.0E-4","2000","rdkit_fp","MaxMin","0.01","1.3724197792540995","1.4463472764970926","1.3469646723307451","1.3239473889344613"
"MouseRatTox","SVR_RBF_FP","0.001","2000","rdkit_fp","MaxMin","0.01","1.372026284202218","1.4461093064787993","1.3466767413871996","1.3232928047406554"
