"NAME [String]","METHOD [String]","C [Double]","featuresColumn [String]","scalerType [String]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"Xanthine-Bostaurus","SVR_LIN_DESC","0.1","cdk_desc","Standard","6.817447289933999","6.826900020306918","6.768507953937264","6.856933895557816"
"Xanthine-Bostaurus","SVR_LIN_DESC","1.0","cdk_desc","Standard","6.830629163242501","6.823558048453447","6.805877490602174","6.862451950671882"
"TB_MDR","SVR_LIN_DESC","1.0E-4","rdkit_desc","MaxMin","1.7837634746031263","1.7539647710207922","1.8452091214818704","1.7521165313067169"
"TB_MDR","SVR_LIN_DESC","0.001","rdkit_desc","MaxMin","1.1385585085818064","1.112469380658835","1.1589510318150547","1.1442551132715295"
"TB_MDR","SVR_LIN_DESC","0.01","rdkit_desc","MaxMin","0.7624156463747408","0.7627619775751422","0.7873131415489497","0.7371718200001304"
"TB_MDR","SVR_LIN_DESC","0.1","rdkit_desc","MaxMin","0.6767916033830419","0.6882350824227452","0.7065036761795026","0.6356360515468777"
"TB_MDR","SVR_LIN_DESC","1.0","rdkit_desc","MaxMin","0.6727167076669364","0.6799930796369398","0.7075743717565414","0.6305826716073277"
"TB_MDR","SVR_LIN_DESC","1.0E-4","cdk_desc","MaxMin","1.5435881864244545","1.5254961427657607","1.5952528196970033","1.5100155968105997"
"TB_MDR","SVR_LIN_DESC","0.001","cdk_desc","MaxMin","0.9524473066724908","0.938140282699213","0.9798054299986697","0.9393962073195897"
"TB_MDR","SVR_LIN_DESC","0.01","cdk_desc","MaxMin","0.7205694457764356","0.7179660367325675","0.7538250035889736","0.6899172970077652"
"TB_MDR","SVR_LIN_DESC","0.1","cdk_desc","MaxMin","0.6647744659251962","0.673967204085021","0.6872941771566464","0.6330620165339211"
"TB_MDR","SVR_LIN_DESC","1.0","cdk_desc","MaxMin","0.6588190347104612","0.6830246953773557","0.6665772706637758","0.6268551380902523"
"TB_MDR","SVR_LIN_DESC","1.0E-4","rdkit_desc","Standard","4.906045052505156","4.904171365685569","4.9518685182378945","4.862095273592006"
"TB_MDR","SVR_LIN_DESC","0.001","rdkit_desc","Standard","4.90368940364317","4.901462553002932","4.9465163152111025","4.863089342715477"
"TB_MDR","SVR_LIN_DESC","0.01","rdkit_desc","Standard","4.903262993944459","4.901415315488565","4.9440521298980835","4.8643215364467265"
"TB_MDR","SVR_LIN_DESC","0.1","rdkit_desc","Standard","4.903468505171282","4.899782131733154","4.93937376055272","4.871249623227972"
"TB_MDR","SVR_LIN_DESC","1.0","rdkit_desc","Standard","4.905446714382848","4.8995273267091894","4.9349482467423","4.881864569697057"
"TB_MDR","SVR_LIN_DESC","1.0E-4","cdk_desc","Standard","4.9049649275062","4.90658051753717","4.955269323362208","4.853044941619224"
"TB_MDR","SVR_LIN_DESC","0.001","cdk_desc","Standard","4.902249671382424","4.896816741038913","4.956198326521113","4.853733946587244"
"TB_MDR","SVR_LIN_DESC","0.01","cdk_desc","Standard","4.902211238000457","4.894601936912348","4.955531477469791","4.856500299619232"
"TB_MDR","SVR_LIN_DESC","0.1","cdk_desc","Standard","4.902344563245011","4.889355934524782","4.956195006511799","4.861482748698451"
"TB_MDR","SVR_LIN_DESC","1.0","cdk_desc","Standard","4.9015625042936115","4.885451244155483","4.95889042392033","4.860345844805022"
"Caco2","SVR_LIN_DESC","1.0E-4","rdkit_desc","MaxMin","4.725358390466812","4.993510402954416","4.480424445962355","4.702140322483662"
"Caco2","SVR_LIN_DESC","0.001","rdkit_desc","MaxMin","2.8422674278756275","3.1456787873619882","2.4354960028749204","2.945627493389973"
"Caco2","SVR_LIN_DESC","0.01","rdkit_desc","MaxMin","1.4624656320429341","1.402069437904623","1.7163408203777817","1.268986637846397"
"Caco2","SVR_LIN_DESC","0.1","rdkit_desc","MaxMin","0.803424261909314","0.8124966465888029","0.9101813946681847","0.6875947444709547"
"Caco2","SVR_LIN_DESC","1.0","rdkit_desc","MaxMin","0.6075764939351538","0.7244429683237077","0.5591249212094832","0.5391615922722706"
"Caco2","SVR_LIN_DESC","1.0E-4","cdk_desc","MaxMin","4.523181143196955","4.769173173478899","4.333148137851763","4.467222118260202"
"Caco2","SVR_LIN_DESC","0.001","cdk_desc","MaxMin","2.274860240301883","2.530115179680902","2.054123068791596","2.2403424724331504"
"Caco2","SVR_LIN_DESC","0.01","cdk_desc","MaxMin","0.9988103107621095","1.0136086356053378","1.18252871894784","0.8002935777331507"
"Caco2","SVR_LIN_DESC","0.1","cdk_desc","MaxMin","0.6616550885489247","0.6442263418337746","0.7560413122931406","0.584697611519859"
"Caco2","SVR_LIN_DESC","1.0","cdk_desc","MaxMin","0.6510518094977092","0.6284680241559817","0.7342068932942869","0.590480511042859"
"Caco2","SVR_LIN_DESC","1.0E-4","rdkit_desc","Standard","5.210021313292386","5.382479382058148","5.113892441781616","5.133692116037396"
