"NAME [String]","METHOD [String]","degree [Int]","C [Double]","featuresColumn [String]","scalerType [String]","coef0 [Double]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SVR_POLY_DESC","4","1.0E-4","cdk_desc","MaxMin","2.0","1.7509553252389154","2.5112107445303447","1.307107243736214","1.4345479874501879"
"MouseRatTox","SVR_POLY_DESC","2","0.01","cdk_desc","MaxMin","2.0","1.2410534513022087","1.187251691472879","1.3640088368550873","1.1718998255786595"
"MouseRatTox","SVR_POLY_DESC","3","0.01","cdk_desc","MaxMin","2.0","2.3881731768913057","4.340174965736293","1.3804600275774095","1.443884537360216"
"MouseRatTox","SVR_POLY_DESC","4","0.01","cdk_desc","MaxMin","2.0","6.29899558849887","14.821846149336482","1.8999360824195766","2.17520453374055"
"MouseRatTox","SVR_POLY_DESC","2","0.01","cdk_desc","MaxMin","2.0","1.2410534513022087","1.187251691472879","1.3640088368550873","1.1718998255786595"
"MouseRatTox","SVR_POLY_DESC","3","0.01","cdk_desc","MaxMin","2.0","2.3881731768913057","4.340174965736293","1.3804600275774095","1.443884537360216"
"MouseRatTox","SVR_POLY_DESC","4","0.01","cdk_desc","MaxMin","2.0","6.29899558849887","14.821846149336482","1.8999360824195766","2.17520453374055"
"MouseRatTox","SVR_POLY_DESC","2","0.1","cdk_desc","MaxMin","2.0","1.5595359345810713","2.003711438963029","1.332382527293483","1.3425138374867018"
"MouseRatTox","SVR_POLY_DESC","3","0.1","cdk_desc","MaxMin","2.0","4.44918770503551","9.721648994910531","1.659326893550352","1.9665872266456477"
"MouseRatTox","SVR_POLY_DESC","4","0.1","cdk_desc","MaxMin","2.0","4.994712990639829","10.06498625910218","1.953469120692192","2.965683592125111"
"MouseRatTox","SVR_POLY_DESC","2","1.0","cdk_desc","MaxMin","2.0","3.0482594735190762","6.111612690433615","1.3834174142530276","1.649748315870586"
"MouseRatTox","SVR_POLY_DESC","3","1.0","cdk_desc","MaxMin","2.0","3.667794377773737","6.704256906526755","1.7336343111883057","2.5654919156061506"
"MouseRatTox","SVR_POLY_DESC","4","1.0","cdk_desc","MaxMin","2.0","6.212723461161285","13.138011551188718","2.355150093844739","3.145008738450396"
"MouseRatTox","SVR_POLY_DESC","2","1.0E-5","rdkit_desc","Standard","2.0","1.3416747933936675","1.364250654073078","1.3432468831551538","1.3175268429527707"
"MouseRatTox","SVR_POLY_DESC","3","1.0E-5","rdkit_desc","Standard","2.0","4.249818728816935","7.534844662914264","2.76496410267114","2.4496474208654018"
"MouseRatTox","SVR_POLY_DESC","4","1.0E-5","rdkit_desc","Standard","2.0","26.87912008747919","53.9634988045253","15.626559453124397","11.047302004787863"
"MouseRatTox","SVR_POLY_DESC","2","1.0E-4","rdkit_desc","Standard","2.0","1.3123118812761323","1.4173276282924803","1.2374089915624171","1.2821990239734993"
"MouseRatTox","SVR_POLY_DESC","3","1.0E-4","rdkit_desc","Standard","2.0","6.892682145028527","12.779486507565814","4.424846700906664","3.473713226613103"
"MouseRatTox","SVR_POLY_DESC","4","1.0E-4","rdkit_desc","Standard","2.0","25.741849680328944","49.46499279381665","15.985084699704753","11.775471547465425"
"MouseRatTox","SVR_POLY_DESC","2","0.01","rdkit_desc","Standard","2.0","2.7481566858023108","4.18115602931099","1.923345271235033","2.13996875686091"
"MouseRatTox","SVR_POLY_DESC","3","0.01","rdkit_desc","Standard","2.0","6.1127602450429634","8.517665697919888","4.646908026936912","5.173707010272089"
"MouseRatTox","SVR_POLY_DESC","4","0.01","rdkit_desc","Standard","2.0","25.741849680328063","49.46499279381665","15.985084699702108","11.775471547465425"
"MouseRatTox","SVR_POLY_DESC","2","0.01","rdkit_desc","Standard","2.0","2.7481566858023108","4.18115602931099","1.923345271235033","2.13996875686091"
"MouseRatTox","SVR_POLY_DESC","3","0.01","rdkit_desc","Standard","2.0","6.1127602450429634","8.517665697919888","4.646908026936912","5.173707010272089"
