"NAME [String]","METHOD [String]","foldSize [Int]","elasticNetParam [Double]","scalerType [String]","featuresColumn [String]","maxIter [Int]","lambda [Double]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.0","MaxMin","cdk_fp","10","1.0","0.6378464871426597","0.6148639873783397","0.695135255260721","0.6035402187889182"
"ADMECaco2","LR_EL_FOLD_FP","500","0.25","MaxMin","cdk_fp","10","1.0","0.7737739673367093","0.7386913655041908","0.8270297747196081","0.7556007617863293"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.25","MaxMin","cdk_fp","10","1.0","0.7679051831795446","0.732147782025751","0.8265658257013554","0.7450019418115271"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.25","MaxMin","cdk_fp","10","1.0","0.7646660487670358","0.7303733462475193","0.8209194662749969","0.7427053337785913"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.25","MaxMin","cdk_fp","10","1.0","0.7669823035452313","0.7333065341199513","0.8240643669216252","0.7435760095941174"
"ADMECaco2","LR_EL_FOLD_FP","500","0.5","MaxMin","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.5","MaxMin","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.5","MaxMin","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.5","MaxMin","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","500","0.75","MaxMin","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.75","MaxMin","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.75","MaxMin","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.75","MaxMin","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","500","1.0","MaxMin","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","1.0","MaxMin","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1500","1.0","MaxMin","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","2000","1.0","MaxMin","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","500","0.0","Standard","cdk_fp","10","1.0","0.6285951184953245","0.5998498646801352","0.6704256372362493","0.6155098535695888"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.0","Standard","cdk_fp","10","1.0","0.626037042542849","0.6072071382726312","0.6738871992817377","0.5970167900741781"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.0","Standard","cdk_fp","10","1.0","0.6362338390504231","0.6106431307724476","0.6863002702131658","0.611758116165656"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.0","Standard","cdk_fp","10","1.0","0.6378464871426596","0.6148639873783397","0.6951352552607208","0.6035402187889181"
"ADMECaco2","LR_EL_FOLD_FP","500","0.25","Standard","cdk_fp","10","1.0","0.7737739673367093","0.7386913655041909","0.8270297747196083","0.7556007617863291"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.25","Standard","cdk_fp","10","1.0","0.7679051831795446","0.7321477820257509","0.8265658257013554","0.7450019418115271"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.25","Standard","cdk_fp","10","1.0","0.7646660487670358","0.7303733462475192","0.8209194662749968","0.7427053337785913"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.25","Standard","cdk_fp","10","1.0","0.7669823035452312","0.7333065341199512","0.8240643669216251","0.7435760095941174"
"ADMECaco2","LR_EL_FOLD_FP","500","0.5","Standard","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.5","Standard","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.5","Standard","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.5","Standard","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
