"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","maxDepth [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","WEKA_RFR","60","cdk_desc","15","1.2196149416061646","1.2512832407800378","1.2749383440545305","1.1326232399839253"
"MouseRatTox","WEKA_RFR","70","cdk_desc","15","1.220003630209514","1.2573208482608074","1.2756110671829146","1.1270789751848198"
"MouseRatTox","WEKA_RFR","30","rdkit_fp","20","1.2718534769770744","1.2936348628197676","1.30353206067697","1.2183935074344858"
"MouseRatTox","WEKA_RFR","40","rdkit_fp","20","1.2736115140579665","1.2977564615344168","1.3018769559812464","1.2212011246582362"
"MouseRatTox","WEKA_RFR","50","rdkit_fp","20","1.2787252020077773","1.2900451807161382","1.3042298383068265","1.241900587000367"
"MouseRatTox","WEKA_RFR","60","rdkit_fp","20","1.2769524871652407","1.2901664874877372","1.3057046514173225","1.2349863225906623"
"MouseRatTox","WEKA_RFR","70","rdkit_fp","20","1.2780688979067825","1.2957380354898111","1.3064088236661613","1.232059834564375"
"MouseRatTox","WEKA_RFR","30","cdk_fp","20","1.267798224207792","1.2836721150268147","1.3209927017817775","1.1987298558147848"
"MouseRatTox","WEKA_RFR","40","cdk_fp","20","1.2637727050186485","1.2786971205701125","1.3119228991428813","1.2006980953429518"
"MouseRatTox","WEKA_RFR","50","cdk_fp","20","1.2675563179594362","1.2881800759343471","1.3110492840644925","1.2034395938794686"
"MouseRatTox","WEKA_RFR","60","cdk_fp","20","1.2629330083884405","1.289178164032005","1.3036275052359187","1.1959933558973972"
"MouseRatTox","WEKA_RFR","70","cdk_fp","20","1.2621700393113968","1.2903447859148522","1.3030493046730598","1.1931160273462784"
"MouseRatTox","WEKA_RFR","30","rdkit_desc","20","1.2160023012408183","1.236551293900364","1.2917506605242397","1.1197049492978508"
"MouseRatTox","WEKA_RFR","40","rdkit_desc","20","1.205878902279008","1.2208710690422762","1.2685266212785973","1.12823901651615"
"MouseRatTox","WEKA_RFR","50","rdkit_desc","20","1.1987591577111745","1.2084773695076172","1.266920739859842","1.1208793637660637"
"MouseRatTox","WEKA_RFR","60","rdkit_desc","20","1.2006438549885499","1.2225860535115611","1.260057908027828","1.1192876034262607"
"MouseRatTox","WEKA_RFR","70","rdkit_desc","20","1.1974507159664431","1.22025695374743","1.2595356805155538","1.1125595136363453"
"MouseRatTox","WEKA_RFR","30","cdk_desc","20","1.2259270179460373","1.255470175927814","1.2853888463377035","1.1369220315725943"
"MouseRatTox","WEKA_RFR","40","cdk_desc","20","1.2206140808577313","1.2626295801082796","1.2657848576209911","1.1334278048439228"
"MouseRatTox","WEKA_RFR","50","cdk_desc","20","1.214375275563123","1.2518562145321204","1.254827772740497","1.1364418394167515"
"MouseRatTox","WEKA_RFR","60","cdk_desc","20","1.2165134614477526","1.247397328054904","1.2614892777186422","1.1406537785697113"
"MouseRatTox","WEKA_RFR","70","cdk_desc","20","1.2160973007039926","1.2524008247554226","1.256034102439566","1.139856974916989"
"MouseRatTox","WEKA_RFR","30","rdkit_fp","30","1.2598359255111926","1.2542260892628563","1.3093413051443041","1.2159403821264176"
"MouseRatTox","WEKA_RFR","40","rdkit_fp","30","1.2612327931433083","1.2645519250464607","1.3009536300468936","1.2181928243365703"
