name,method,feature,depth,trees,rmse,f1,f2,f3
Xanthine-Bostaurus,RandomForest,cdk_fp,20,60,0.6678035891868346,0.771339589838691,0.6271570932287747,0.6049140844930381
Xanthine-Bostaurus,RandomForest,cdk_fp,20,70,0.6684240709127434,0.7710051879236073,0.6288514529327582,0.6054155718818647
Xanthine-Bostaurus,RandomForest,cdk_fp,30,5,0.7020380702311448,0.8588129593202267,0.6412644115543243,0.6060368398188832
Xanthine-Bostaurus,RandomForest,cdk_fp,30,10,0.6843235306754308,0.7911476473901644,0.6502114479594364,0.6116114966766917
Xanthine-Bostaurus,RandomForest,cdk_fp,30,20,0.6891274169072099,0.8239284619413335,0.6316359171396067,0.6118178716406898
Xanthine-Bostaurus,RandomForest,cdk_fp,30,30,0.675241332140458,0.7992946658336612,0.6242853981623536,0.6021439324253594
Xanthine-Bostaurus,RandomForest,cdk_fp,30,40,0.6701323526346448,0.77287723706201,0.6243318589545852,0.613187961887339
Xanthine-Bostaurus,RandomForest,cdk_fp,30,50,0.6676668708244616,0.7814702142677195,0.6320841157985615,0.5894462824071042
Xanthine-Bostaurus,RandomForest,cdk_fp,30,60,0.667782538182277,0.7713425598944869,0.6260558229866443,0.6059492316656996
Xanthine-Bostaurus,RandomForest,cdk_fp,30,70,0.6680211733458554,0.7697458233828963,0.6286805270195731,0.6056371696350971
Xanthine-Bostaurus,RandomForest,rdkit_fp,2,5,0.8985931575891716,0.9484465233578968,0.878532231832047,0.8688007175775709
Xanthine-Bostaurus,RandomForest,rdkit_fp,2,10,0.877330418262671,0.9325971487601257,0.8626029933997944,0.8367911126280928
Xanthine-Bostaurus,RandomForest,rdkit_fp,2,20,0.8863501252209814,0.9433454106806086,0.8763605949299467,0.8393443700523894
Xanthine-Bostaurus,RandomForest,rdkit_fp,2,30,0.8660991565355955,0.9377885784417382,0.8321326520293103,0.8283762391357384
Xanthine-Bostaurus,RandomForest,rdkit_fp,2,40,0.8632812554597088,0.9247747684012138,0.8399797003758865,0.8250892976020265
Xanthine-Bostaurus,RandomForest,rdkit_fp,2,50,0.866325397349443,0.9124917690733946,0.8608924560470577,0.8255919669278772
Xanthine-Bostaurus,RandomForest,rdkit_fp,2,60,0.8622523057146874,0.9226078845962813,0.8334729845275495,0.8306760480202316
Xanthine-Bostaurus,RandomForest,rdkit_fp,2,70,0.862562697001124,0.9281723600638135,0.8283890063643502,0.8311267245752083
Xanthine-Bostaurus,RandomForest,rdkit_fp,5,5,0.7159973205311732,0.7935155880509855,0.6969843394360055,0.6574920341065288
Xanthine-Bostaurus,RandomForest,rdkit_fp,5,10,0.6982003249702534,0.7933319314910604,0.67842519269618,0.62284385072352
Xanthine-Bostaurus,RandomForest,rdkit_fp,5,20,0.6895240143440287,0.8120748526314211,0.6326158643355232,0.6238813260651417
Xanthine-Bostaurus,RandomForest,rdkit_fp,5,30,0.6892211390997403,0.7961396850125779,0.6515876136668901,0.6199361186197531
Xanthine-Bostaurus,RandomForest,rdkit_fp,5,40,0.6873001423590808,0.7942262131548837,0.6384424813012128,0.629231732621146
Xanthine-Bostaurus,RandomForest,rdkit_fp,5,50,0.6918893953022465,0.799942398689829,0.638542274520789,0.6371835126961217
Xanthine-Bostaurus,RandomForest,rdkit_fp,5,60,0.6877540771215022,0.8055419546382678,0.6388424627022381,0.6188778140240004
Xanthine-Bostaurus,RandomForest,rdkit_fp,5,70,0.6882980383516513,0.7927268612840622,0.6446587394774214,0.6275085142934704
Xanthine-Bostaurus,RandomForest,rdkit_fp,10,5,0.692247949583308,0.8061462224689492,0.6795600291795499,0.5910375971014252
Xanthine-Bostaurus,RandomForest,rdkit_fp,10,10,0.6771181249172507,0.7773214151232017,0.6733567127359859,0.5806762468925647
