"NAME [String]","METHOD [String]","C [Double]","offset [Double]","featuresColumn [String]","degree [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SMILE_SVR_TAN","0.1","0.0","cdk_fp","2","1.2878994924121403","1.3576531146727377","1.2882500350653903","1.2177953274982927"
"MouseRatTox","SMILE_SVR_TAN","1.0","0.0","cdk_fp","2","1.2270116723119007","1.2817994525998329","1.2473544556303056","1.1518811087055638"
"MouseRatTox","SMILE_SVR_TAN","10.0","0.0","cdk_fp","2","1.1914226559214864","1.312151655449533","1.162623430665989","1.0994928816489378"
"MouseRatTox","SMILE_SVR_TAN","0.001","1.0","cdk_fp","2","1.3650645508364467","1.4388189946730305","1.3387825701120952","1.3175920877242138"
"MouseRatTox","SMILE_SVR_TAN","0.01","1.0","cdk_fp","2","1.3225229899009434","1.3958120960066533","1.306496970805348","1.2652599028908291"
"MouseRatTox","SMILE_SVR_TAN","0.1","1.0","cdk_fp","2","1.2616271729337527","1.3120944300328194","1.2857935684633508","1.1869935203050879"
"MouseRatTox","SMILE_SVR_TAN","1.0","1.0","cdk_fp","2","1.2046467374467527","1.2938525103376382","1.2037263832039073","1.1163613187987125"
"MouseRatTox","SMILE_SVR_TAN","10.0","1.0","cdk_fp","2","1.19627154689305","1.3289746078556663","1.166116370002835","1.0937236628206486"
"MouseRatTox","SMILE_SVR_TAN","0.001","2.0","cdk_fp","2","1.3588987539434243","1.434207687730601","1.3327359873255746","1.3097525867740973"
"MouseRatTox","SMILE_SVR_TAN","0.01","2.0","cdk_fp","2","1.3065962613059785","1.3790777057076022","1.2997676700857344","1.240943408124599"
"MouseRatTox","SMILE_SVR_TAN","0.1","2.0","cdk_fp","2","1.2569883267441473","1.2995364824038664","1.2883357488883096","1.183092748940266"
"MouseRatTox","SMILE_SVR_TAN","1.0","2.0","cdk_fp","2","1.199023510890198","1.3078371181881492","1.1847916217713375","1.104441792711108"
"MouseRatTox","SMILE_SVR_TAN","10.0","2.0","cdk_fp","2","1.1991445762065782","1.335969865368579","1.1678111001069227","1.0936527631442328"
"MouseRatTox","SMILE_SVR_TAN","0.001","3.0","cdk_fp","2","1.3531212272778923","1.4295265829673252","1.32858411316413","1.3012529857022224"
"MouseRatTox","SMILE_SVR_TAN","0.01","3.0","cdk_fp","2","1.2968977849698613","1.3670459608540242","1.294755221365693","1.228892172689867"
"MouseRatTox","SMILE_SVR_TAN","0.1","3.0","cdk_fp","2","1.2521014172673404","1.2939848436822425","1.2860178912137528","1.1763015169060262"
