"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","foldSize [Int]","maxNodes [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SMILE_RFR_FP","60","cdk_fp","1000","5000","1.2156583890272377","1.2998493754204945","1.2099943564666293","1.1371314351945891"
"MouseRatTox","SMILE_RFR_FP","70","cdk_fp","1000","5000","1.2091983078304753","1.295544127631137","1.1935121982908563","1.138538597569433"
"MouseRatTox","SMILE_RFR_FP","30","rdkit_fp","2000","5000","1.1944129575780038","1.285813001244494","1.1556849910198577","1.1417408804696598"
"MouseRatTox","SMILE_RFR_FP","40","rdkit_fp","2000","5000","1.1846648390354688","1.2901508069363887","1.1396690429266012","1.1241746672434165"
"MouseRatTox","SMILE_RFR_FP","50","rdkit_fp","2000","5000","1.1977493826380907","1.2912456189483326","1.1586136541373906","1.1433888748285488"
"MouseRatTox","SMILE_RFR_FP","60","rdkit_fp","2000","5000","1.1907548312011826","1.2789644897089907","1.1664937004851117","1.126806303409445"
"MouseRatTox","SMILE_RFR_FP","70","rdkit_fp","2000","5000","1.198357881204639","1.2931840651590472","1.1634719036032755","1.1384176748515944"
"MouseRatTox","SMILE_RFR_FP","30","cdk_fp","2000","5000","1.2229191017757073","1.307112184767911","1.210437267064977","1.1512078534942338"
"MouseRatTox","SMILE_RFR_FP","40","cdk_fp","2000","5000","1.2178724094166757","1.3109047937126463","1.208599604375406","1.1341128301619754"
"MouseRatTox","SMILE_RFR_FP","50","cdk_fp","2000","5000","1.227455519506403","1.3156821042159608","1.2342519664163127","1.1324324878869347"
"MouseRatTox","SMILE_RFR_FP","60","cdk_fp","2000","5000","1.2305176976545538","1.3237935130984244","1.2259624085675849","1.1417971712976522"
"MouseRatTox","SMILE_RFR_FP","70","cdk_fp","2000","5000","1.2185284796368832","1.3115974911352175","1.1976943825628188","1.1462935652126134"
"MouseRatTox","SMILE_RFR_FP","30","rdkit_fp","500","10000","1.2099257824144332","1.29879305059543","1.169626293231398","1.1613580034164714"
"MouseRatTox","SMILE_RFR_FP","40","rdkit_fp","500","10000","1.1818365600305232","1.2912936237611028","1.1490169864203286","1.1051990699101386"
"MouseRatTox","SMILE_RFR_FP","50","rdkit_fp","500","10000","1.189187379601617","1.2947615977269296","1.1587209514941914","1.1140795895837297"
"MouseRatTox","SMILE_RFR_FP","60","rdkit_fp","500","10000","1.2042872425111093","1.3025166289131782","1.1735080242987612","1.1368370743213885"
"MouseRatTox","SMILE_RFR_FP","70","rdkit_fp","500","10000","1.1937482500998486","1.2964682190358896","1.1701341851710112","1.1146423460926453"
"MouseRatTox","SMILE_RFR_FP","30","cdk_fp","500","10000","1.2131330160751508","1.3044941511187054","1.211468636477747","1.1234362606290003"
"MouseRatTox","SMILE_RFR_FP","40","cdk_fp","500","10000","1.2022635276278442","1.3101066467264562","1.179287840825885","1.1173960953311914"
"MouseRatTox","SMILE_RFR_FP","50","cdk_fp","500","10000","1.2042747821702464","1.2936842070824068","1.1895363589660992","1.1296037804622332"
"MouseRatTox","SMILE_RFR_FP","60","cdk_fp","500","10000","1.2086989469850613","1.307229558754822","1.2030540466796509","1.1158132355207115"
"MouseRatTox","SMILE_RFR_FP","70","cdk_fp","500","10000","1.2153346192975423","1.2950342163181692","1.2060879688661248","1.1448816727083329"
"MouseRatTox","SMILE_RFR_FP","30","rdkit_fp","1000","10000","1.1939039344713123","1.2810255715032666","1.1557406686411373","1.1449455632695327"
"MouseRatTox","SMILE_RFR_FP","40","rdkit_fp","1000","10000","1.1954263865461268","1.2814566876947253","1.1443232633727103","1.1604992085709445"
"MouseRatTox","SMILE_RFR_FP","50","rdkit_fp","1000","10000","1.196080339010522","1.285922405594697","1.1583501978589634","1.1439684135779051"
"MouseRatTox","SMILE_RFR_FP","60","rdkit_fp","1000","10000","1.1905096492281009","1.2942130642783523","1.140841753317162","1.1364741300887888"
"MouseRatTox","SMILE_RFR_FP","70","rdkit_fp","1000","10000","1.1922293063409926","1.29987521981286","1.1463248226004823","1.1304878766096353"
"MouseRatTox","SMILE_RFR_FP","30","cdk_fp","1000","10000","1.2215223461142342","1.3074298948680272","1.219512572560884","1.1376245709137909"
"MouseRatTox","SMILE_RFR_FP","40","cdk_fp","1000","10000","1.1965042459994961","1.2939990794533351","1.1835797028441053","1.1119339557010477"
"MouseRatTox","SMILE_RFR_FP","50","cdk_fp","1000","10000","1.2256733297353708","1.3130049250811215","1.2224840324255608","1.14153103169943"
"MouseRatTox","SMILE_RFR_FP","60","cdk_fp","1000","10000","1.2195751117443203","1.3021732268116308","1.213342532600611","1.1432095758207186"
"MouseRatTox","SMILE_RFR_FP","70","cdk_fp","1000","10000","1.2151297645102834","1.2981601301956875","1.212204110914466","1.1350250524206968"
"MouseRatTox","SMILE_RFR_FP","30","rdkit_fp","2000","10000","1.202992282158936","1.2921559235985023","1.1694118562832692","1.1474090665950367"
"MouseRatTox","SMILE_RFR_FP","40","rdkit_fp","2000","10000","1.1979546170924849","1.2655462846986958","1.168403121901457","1.1599144446773018"
"MouseRatTox","SMILE_RFR_FP","50","rdkit_fp","2000","10000","1.1841463834315855","1.2746242634988256","1.1574625475663736","1.1203523392295576"
"MouseRatTox","SMILE_RFR_FP","60","rdkit_fp","2000","10000","1.1992395976989723","1.2934645336657626","1.1683681976832703","1.1358860617478832"
"MouseRatTox","SMILE_RFR_FP","70","rdkit_fp","2000","10000","1.2022259163503748","1.2961337419038301","1.1732823434810629","1.1372616636662316"
"MouseRatTox","SMILE_RFR_FP","30","cdk_fp","2000","10000","1.215679568095415","1.298913428149599","1.205909018282812","1.1422162578538344"
"MouseRatTox","SMILE_RFR_FP","40","cdk_fp","2000","10000","1.232404982070432","1.3132197138864","1.22490185383975","1.159093378485146"
"MouseRatTox","SMILE_RFR_FP","50","cdk_fp","2000","10000","1.2330684223446349","1.3239310755629785","1.217366525833681","1.1579076656372445"
"MouseRatTox","SMILE_RFR_FP","60","cdk_fp","2000","10000","1.211069148891001","1.3096824424186213","1.20049833774371","1.1230266665106716"
"MouseRatTox","SMILE_RFR_FP","70","cdk_fp","2000","10000","1.219998803865302","1.3096963290707972","1.208245449112382","1.1420546334127266"
"Caco2","SMILE_RFR_FP","30","rdkit_fp","500","1000","0.6983440963836962","0.7289314884490355","0.6381606714034078","0.7279401292986453"
"Caco2","SMILE_RFR_FP","40","rdkit_fp","500","1000","0.7157355986386419","0.7126935462182007","0.6804487939147166","0.7540644557830085"
"Caco2","SMILE_RFR_FP","50","rdkit_fp","500","1000","0.7171151275647923","0.7332378924325643","0.6713333944976428","0.74677409576417"
"Caco2","SMILE_RFR_FP","60","rdkit_fp","500","1000","0.7113640107067155","0.7428261503292416","0.6462382922006866","0.7450275895902183"
"Caco2","SMILE_RFR_FP","70","rdkit_fp","500","1000","0.7062918626776412","0.743750187123928","0.6524485568303624","0.7226768440786332"
"Caco2","SMILE_RFR_FP","30","cdk_fp","500","1000","0.6907491823102375","0.6946287322602548","0.6235475118585385","0.7540713028119194"
"Caco2","SMILE_RFR_FP","40","cdk_fp","500","1000","0.6843537672308725","0.6795996682797497","0.5939082223550429","0.7795534110578249"
"Caco2","SMILE_RFR_FP","50","cdk_fp","500","1000","0.6762862179443103","0.6801207417169068","0.6119658296138601","0.7367720825021639"
"Caco2","SMILE_RFR_FP","60","cdk_fp","500","1000","0.6864011622910713","0.7004605252889247","0.5977815815603756","0.7609613800239136"
"Caco2","SMILE_RFR_FP","70","cdk_fp","500","1000","0.6950078833584836","0.6998951918474453","0.6233196244383737","0.7618088337896318"
"Caco2","SMILE_RFR_FP","30","rdkit_fp","1000","1000","0.6987735392728419","0.7433917296717243","0.6551679045666838","0.6977609835801174"
"Caco2","SMILE_RFR_FP","40","rdkit_fp","1000","1000","0.715467243138069","0.738488089304498","0.6899582845717983","0.7179553555379107"
"Caco2","SMILE_RFR_FP","50","rdkit_fp","1000","1000","0.7199883199887117","0.7405752965842877","0.6669616094443793","0.752428053937468"
"Caco2","SMILE_RFR_FP","60","rdkit_fp","1000","1000","0.6923428355563925","0.7075406604275577","0.6405762138712796","0.7289116323703401"
"Caco2","SMILE_RFR_FP","70","rdkit_fp","1000","1000","0.705032358050114","0.7216521998205717","0.667508728106156","0.725936146223614"
"Caco2","SMILE_RFR_FP","30","cdk_fp","1000","1000","0.6842224814348244","0.6428254909348718","0.6643686368134882","0.745473316556113"
