"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","foldSize [Int]","maxDepth [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","WEKA_FOLD_RFR","60","cdk_fp","1000","15","1.2402366724804073","1.3213841404968414","1.2115523184477393","1.1877735584966413"
"MouseRatTox","WEKA_FOLD_RFR","70","cdk_fp","1000","15","1.2398538520952542","1.3264168510078451","1.2054980497735108","1.187646655504407"
"MouseRatTox","WEKA_FOLD_RFR","30","rdkit_fp","2000","15","1.2558703616382603","1.3301787800616243","1.2159942847291239","1.221438020124032"
"MouseRatTox","WEKA_FOLD_RFR","40","rdkit_fp","2000","15","1.2532896357059309","1.3291095039052756","1.2137380263986466","1.21702137681387"
"MouseRatTox","WEKA_FOLD_RFR","50","rdkit_fp","2000","15","1.2481355812992716","1.3213142409242287","1.2141581620478672","1.2089343409257185"
"MouseRatTox","WEKA_FOLD_RFR","60","rdkit_fp","2000","15","1.2451264492337424","1.3238974591920423","1.2067048175770234","1.2047770709321617"
"MouseRatTox","WEKA_FOLD_RFR","70","rdkit_fp","2000","15","1.2475434907744878","1.3272622452586178","1.2113515416739558","1.20401668539089"
"MouseRatTox","WEKA_FOLD_RFR","30","cdk_fp","2000","15","1.2355463224302428","1.3126389231899338","1.2267091409887907","1.1672909031120038"
"MouseRatTox","WEKA_FOLD_RFR","40","cdk_fp","2000","15","1.2400811422412528","1.3113093506076479","1.2362438270779417","1.1726902490381692"
"MouseRatTox","WEKA_FOLD_RFR","50","cdk_fp","2000","15","1.2448758693769826","1.3112339384079865","1.240370276178906","1.1830233935440557"
"MouseRatTox","WEKA_FOLD_RFR","60","cdk_fp","2000","15","1.2443116186913514","1.3139283092550629","1.227822258253879","1.191184288565113"
"MouseRatTox","WEKA_FOLD_RFR","70","cdk_fp","2000","15","1.242974908414438","1.31443011105818","1.2224896523993933","1.1920049617857404"
"MouseRatTox","WEKA_FOLD_RFR","30","rdkit_fp","500","20","1.1890542263824726","1.311212863236207","1.1186494102298556","1.1373004056813552"
"MouseRatTox","WEKA_FOLD_RFR","40","rdkit_fp","500","20","1.1929312884676702","1.3138416089581513","1.1269534867308493","1.13799876971401"
"MouseRatTox","WEKA_FOLD_RFR","50","rdkit_fp","500","20","1.1912971275697328","1.316246189850356","1.1211548042697739","1.1364903885890691"
"MouseRatTox","WEKA_FOLD_RFR","60","rdkit_fp","500","20","1.1886031161320203","1.3124717685111995","1.1263478797941266","1.1269897000907343"
"MouseRatTox","WEKA_FOLD_RFR","70","rdkit_fp","500","20","1.1887588057041283","1.3137525207058454","1.1270081544434905","1.1255157419630493"
"MouseRatTox","WEKA_FOLD_RFR","30","cdk_fp","500","20","1.2041855885786583","1.3257061614859247","1.1514697131752238","1.1353808910748264"
"MouseRatTox","WEKA_FOLD_RFR","40","cdk_fp","500","20","1.2029534364247467","1.3236084011915272","1.1641547837308361","1.1210971243518764"
"MouseRatTox","WEKA_FOLD_RFR","50","cdk_fp","500","20","1.204952493922766","1.3174351672984532","1.168816490390128","1.1286058240797172"
"MouseRatTox","WEKA_FOLD_RFR","60","cdk_fp","500","20","1.2039783021330592","1.3104859989560584","1.1666648553071677","1.1347840521359516"
"MouseRatTox","WEKA_FOLD_RFR","70","cdk_fp","500","20","1.2044401400029996","1.3124952221825599","1.1609284206574941","1.1398967771689446"
"MouseRatTox","WEKA_FOLD_RFR","30","rdkit_fp","1000","20","1.222142545616123","1.3121707201102881","1.1672211514668642","1.1870357652712171"
"MouseRatTox","WEKA_FOLD_RFR","40","rdkit_fp","1000","20","1.2221396411803378","1.3229987076750565","1.1739665956533396","1.1694536202126173"
"MouseRatTox","WEKA_FOLD_RFR","50","rdkit_fp","1000","20","1.214299672789614","1.314163311096509","1.170027775797973","1.1587079314743602"
"MouseRatTox","WEKA_FOLD_RFR","60","rdkit_fp","1000","20","1.2123623132536296","1.3180274936387948","1.1644040382308078","1.1546554078912858"
"MouseRatTox","WEKA_FOLD_RFR","70","rdkit_fp","1000","20","1.210967194442121","1.3175433686623212","1.1600885226917608","1.1552696919722811"
"MouseRatTox","WEKA_FOLD_RFR","30","cdk_fp","1000","20","1.236066568485372","1.3352261598975497","1.2119916138022406","1.1609819317563261"
"MouseRatTox","WEKA_FOLD_RFR","40","cdk_fp","1000","20","1.2318636357480144","1.3343022924824877","1.2092592906024908","1.1520293241590647"
"MouseRatTox","WEKA_FOLD_RFR","50","cdk_fp","1000","20","1.228871523326718","1.3281897520015502","1.2038097643358685","1.154615053642735"
"MouseRatTox","WEKA_FOLD_RFR","60","cdk_fp","1000","20","1.2244815593797582","1.3207023150248647","1.2035132059647573","1.1492291571496525"
"MouseRatTox","WEKA_FOLD_RFR","70","cdk_fp","1000","20","1.2210830692420587","1.320273676815127","1.1916330849391166","1.1513424459719328"
"MouseRatTox","WEKA_FOLD_RFR","30","rdkit_fp","2000","20","1.2421022956812842","1.3097582661737113","1.220424574313719","1.1961240465564225"
"MouseRatTox","WEKA_FOLD_RFR","40","rdkit_fp","2000","20","1.2314452755627325","1.3137763934480375","1.2014426406730503","1.1791167925671096"
"MouseRatTox","WEKA_FOLD_RFR","50","rdkit_fp","2000","20","1.2278623269537967","1.306709557853053","1.1981052474763094","1.1787721755320275"
