"NAME [String]","METHOD [String]","C [Double]","scalerType [String]","featuresColumn [String]","foldSize [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SVR_LIN_FP","10.0","Standard","cdk_fp","1000","1.6630059963808284","1.8146482350733766","1.6316254086213422","1.5427443454477665"
"MouseRatTox","SVR_LIN_FP","0.001","MaxMin","rdkit_fp","1500","1.6120890063987272","1.6842085103763254","1.5005341523963345","1.6515243564235222"
"MouseRatTox","SVR_LIN_FP","0.01","MaxMin","rdkit_fp","1500","1.4216858552473504","1.5144501923646483","1.2756346093796342","1.4749727639977683"
"MouseRatTox","SVR_LIN_FP","0.1","MaxMin","rdkit_fp","1500","1.3246992286017234","1.4879293231235022","1.15387787115195","1.3322904915297185"
"MouseRatTox","SVR_LIN_FP","1.0","MaxMin","rdkit_fp","1500","1.3802210474720802","1.6270530296678747","1.2034451558245278","1.3101649569238387"
"MouseRatTox","SVR_LIN_FP","10.0","MaxMin","rdkit_fp","1500","1.511304416735058","1.739326718240954","1.4044481418690098","1.39013839009521"
"MouseRatTox","SVR_LIN_FP","0.001","Standard","rdkit_fp","1500","1.5405841882157685","1.647328667218932","1.3375115941506999","1.6369123032776736"
"MouseRatTox","SVR_LIN_FP","0.01","Standard","rdkit_fp","1500","1.5272979624153074","1.651015074055566","1.2860415719195781","1.6448372412707781"
"MouseRatTox","SVR_LIN_FP","0.1","Standard","rdkit_fp","1500","1.5150229417849754","1.6364478394483366","1.2795081796150767","1.6291128062915123"
"MouseRatTox","SVR_LIN_FP","1.0","Standard","rdkit_fp","1500","1.5465042586143074","1.6483215637717068","1.3603453848316616","1.6308458272395538"
"MouseRatTox","SVR_LIN_FP","10.0","Standard","rdkit_fp","1500","1.6105711320170555","1.6514240589199807","1.5471574020432697","1.6331319350879163"
"MouseRatTox","SVR_LIN_FP","0.001","MaxMin","cdk_fp","1500","1.611028406539418","1.6770265620606288","1.5006624280483138","1.6553962295093114"
"MouseRatTox","SVR_LIN_FP","0.01","MaxMin","cdk_fp","1500","1.428552862009884","1.501831487294587","1.2941073475146943","1.4897197512203706"
"MouseRatTox","SVR_LIN_FP","0.1","MaxMin","cdk_fp","1500","1.3465649357965495","1.4574336278093263","1.2274052989747821","1.3548558806055404"
"MouseRatTox","SVR_LIN_FP","1.0","MaxMin","cdk_fp","1500","1.3912256569422004","1.5989075230809118","1.2810199553140542","1.2937494924316353"
