"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","featuresColumn [String]","C [Double]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SMILE_SVR_RBF","0.01","Standard","cdk_fp","0.001","1.4039127012178512","1.4572958302501766","1.4234574524992825","1.3309848209040949"
"MouseRatTox","SMILE_SVR_RBF","0.1","Standard","cdk_fp","0.001","1.40395022739218","1.4573306830415031","1.4234417654162188","1.331078233718818"
"MouseRatTox","SMILE_SVR_RBF","1.0","Standard","cdk_fp","0.001","1.4039635277321902","1.457350805424834","1.4234283912825714","1.3311113864891655"
"MouseRatTox","SMILE_SVR_RBF","1.0E-4","MaxMin","rdkit_desc","0.001","1.403921525387113","1.457364097927862","1.4232804933183902","1.3311199849150868"
"MouseRatTox","SMILE_SVR_RBF","0.001","MaxMin","rdkit_desc","0.001","1.4039043995353102","1.4573307196087646","1.4232726884274525","1.3311097905697133"
"MouseRatTox","SMILE_SVR_RBF","0.01","MaxMin","rdkit_desc","0.001","1.4037553089958161","1.457056991843874","1.4231916204616921","1.3310173146818827"
"MouseRatTox","SMILE_SVR_RBF","0.1","MaxMin","rdkit_desc","0.001","1.4029154798733117","1.4557744137719226","1.4224718252162063","1.3305002006318059"
"MouseRatTox","SMILE_SVR_RBF","1.0","MaxMin","rdkit_desc","0.001","1.4023574394078502","1.455424523804514","1.4219776742586365","1.3296701201604004"
"MouseRatTox","SMILE_SVR_RBF","1.0E-4","Standard","rdkit_desc","0.001","1.4038624668048445","1.4572601543707562","1.4232447265274115","1.3310825195163654"
"MouseRatTox","SMILE_SVR_RBF","0.001","Standard","rdkit_desc","0.001","1.4034829331151475","1.456662546030401","1.4229316345037277","1.3308546188113137"
"MouseRatTox","SMILE_SVR_RBF","0.01","Standard","rdkit_desc","0.001","1.402468235484621","1.4551404682888522","1.4223376921616726","1.3299265460033385"
"MouseRatTox","SMILE_SVR_RBF","0.1","Standard","rdkit_desc","0.001","1.4035053919626836","1.4568645022016906","1.4229859018154956","1.330665771870865"
"MouseRatTox","SMILE_SVR_RBF","1.0","Standard","rdkit_desc","0.001","1.4039536463244346","1.4573520258409551","1.4234073943997143","1.3311015187326345"
"MouseRatTox","SMILE_SVR_RBF","1.0E-4","MaxMin","cdk_desc","0.001","1.4039211575783865","1.457363483222143","1.4232800624203141","1.3311199270927025"
"MouseRatTox","SMILE_SVR_RBF","0.001","MaxMin","cdk_desc","0.001","1.403900805387117","1.4573247697359648","1.4232684245399316","1.331109221885454"
"MouseRatTox","SMILE_SVR_RBF","0.01","MaxMin","cdk_desc","0.001","1.4037238835263963","1.4570058954072167","1.423152918192016","1.3310128369799563"
"MouseRatTox","SMILE_SVR_RBF","0.1","MaxMin","cdk_desc","0.001","1.402711563754868","1.4553333777337045","1.422226555481791","1.330574758049108"
"MouseRatTox","SMILE_SVR_RBF","1.0","MaxMin","cdk_desc","0.001","1.4027726507882445","1.455633980588078","1.42202010968473","1.3306638620919253"
"MouseRatTox","SMILE_SVR_RBF","1.0E-4","Standard","cdk_desc","0.001","1.4038666084539217","1.4572656342399781","1.4232432690799683","1.3310909220418186"
"MouseRatTox","SMILE_SVR_RBF","0.001","Standard","cdk_desc","0.001","1.40350330633881","1.4566657236520533","1.422894568404051","1.330949626960326"
