name,method,feature,nfolds,elasticNetParam,maxIter,reg,rmse,f1,f2,f3
Xanthine-Bostaurus,LR_FPS,cdk_fp,1000,0.7,10,0.03,0.7131220031458232,0.7161974803066063,0.680414475972256,0.7427540531586075
Xanthine-Bostaurus,LR_FPS,rdkit_fp,1000,0.7,10,0.03,0.7110951722420561,0.7200144122342379,0.689411695621551,0.7238594088703793
Xanthine-Bostaurus,LR_FPS,cdk_fp,1500,0.7,10,0.03,0.7066685083283405,0.7475554571972173,0.6450773427584732,0.7273727250293309
Xanthine-Bostaurus,LR_FPS,rdkit_fp,1500,0.7,10,0.03,0.6967754819029872,0.7302462969450693,0.6472175685019045,0.712862580261988
Xanthine-Bostaurus,LR_FPS,cdk_fp,2000,0.7,10,0.03,0.6969382574761513,0.7214479359335693,0.6471260173810603,0.7222408191138244
Xanthine-Bostaurus,LR_FPS,rdkit_fp,2000,0.7,10,0.03,0.6905531185533383,0.719760647962692,0.6482601819000702,0.703638525797253
Xanthine-Bostaurus,LR_FPS,cdk_fp,1000,0.7,10,0.01,0.721535469876034,0.7237525855581046,0.7037938363201095,0.7370599877498882
Xanthine-Bostaurus,LR_FPS,rdkit_fp,1000,0.7,10,0.01,0.7254426714347143,0.7398829757128429,0.7019627812027452,0.7344822573885549
Xanthine-Bostaurus,LR_FPS,cdk_fp,1500,0.7,10,0.01,0.7306535533903902,0.7719593709389571,0.6824832861583753,0.7375180030738383
Xanthine-Bostaurus,LR_FPS,rdkit_fp,1500,0.7,10,0.01,0.7269263116555337,0.7780968661860963,0.6818888284077597,0.7207932403727451
Xanthine-Bostaurus,LR_FPS,cdk_fp,2000,0.7,10,0.01,0.7313807902095439,0.7774896078861551,0.6862660539620096,0.7303867087804676
Xanthine-Bostaurus,LR_FPS,rdkit_fp,2000,0.7,10,0.01,0.7232504459380438,0.7766416523611737,0.6862053440660928,0.7069043413868651
Xanthine-Bostaurus,LR_FPS,cdk_fp,1000,0.8,10,3.0,1.5598336762729708,1.5942987111068458,1.5476663692175836,1.5375359484944828
Xanthine-Bostaurus,LR_FPS,rdkit_fp,1000,0.8,10,3.0,1.5598336762729705,1.5942987111068456,1.5476663692175836,1.5375359484944828
Xanthine-Bostaurus,LR_FPS,cdk_fp,1500,0.8,10,3.0,1.5598336762729705,1.5942987111068456,1.5476663692175836,1.537535948494483
Xanthine-Bostaurus,LR_FPS,rdkit_fp,1500,0.8,10,3.0,1.5598336762729708,1.5942987111068458,1.5476663692175836,1.537535948494483
Xanthine-Bostaurus,LR_FPS,cdk_fp,2000,0.8,10,3.0,1.5598336762729705,1.5942987111068456,1.5476663692175836,1.5375359484944828
Xanthine-Bostaurus,LR_FPS,rdkit_fp,2000,0.8,10,3.0,1.5598336762729705,1.5942987111068456,1.5476663692175836,1.5375359484944828
Xanthine-Bostaurus,LR_FPS,cdk_fp,1000,0.8,10,1.0,1.3552957870352025,1.3812957337486593,1.3645979844553102,1.3199936429016375
Xanthine-Bostaurus,LR_FPS,rdkit_fp,1000,0.8,10,1.0,1.3236979569342626,1.3665822464553823,1.3081509603775523,1.2963606639698535
Xanthine-Bostaurus,LR_FPS,cdk_fp,1500,0.8,10,1.0,1.338655741729096,1.3735859076812793,1.3381596933979396,1.3042216241080693
Xanthine-Bostaurus,LR_FPS,rdkit_fp,1500,0.8,10,1.0,1.3197233513638242,1.356285531808419,1.2998703144749035,1.3030142078081501
Xanthine-Bostaurus,LR_FPS,cdk_fp,2000,0.8,10,1.0,1.3386648643542405,1.3642677977606685,1.3368133701139366,1.3149134251881167
Xanthine-Bostaurus,LR_FPS,rdkit_fp,2000,0.8,10,1.0,1.3086416418459752,1.3613129865541318,1.2861922796991254,1.2784196592846686
Xanthine-Bostaurus,LR_FPS,cdk_fp,1000,0.8,10,0.1,0.7616534561260528,0.7469091183292932,0.7352344121235541,0.8028168379253114
Xanthine-Bostaurus,LR_FPS,rdkit_fp,1000,0.8,10,0.1,0.7635316861057682,0.7505582652347234,0.7347235311872173,0.805313261895364
Xanthine-Bostaurus,LR_FPS,cdk_fp,1500,0.8,10,0.1,0.7569086364722752,0.762898051009759,0.7166697846098075,0.7911580737972592
