"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","maxNodes [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"Chagas","SMILE_RFR_DESC","70","cdk_desc","1000","0.5443865576921565","0.5279579641812105","0.5317058099273175","0.5734958989679415"
"Chagas","SMILE_RFR_DESC","30","rdkit_desc","5000","0.5614035637700421","0.5375807204496775","0.5359456253495868","0.6106843455108619"
"Chagas","SMILE_RFR_DESC","40","rdkit_desc","5000","0.5530655036524864","0.5336508172728995","0.5274811150448367","0.5980645786397226"
"Chagas","SMILE_RFR_DESC","50","rdkit_desc","5000","0.5542876653568904","0.5303085325234842","0.5277503992669983","0.6048040642801887"
"Chagas","SMILE_RFR_DESC","60","rdkit_desc","5000","0.5521227039249709","0.5345059195606637","0.5242676369244466","0.5975945552898023"
"Chagas","SMILE_RFR_DESC","70","rdkit_desc","5000","0.5485861156423448","0.5314142627432852","0.5232434229078401","0.5911006612759091"
"Chagas","SMILE_RFR_DESC","30","cdk_desc","5000","0.548963923311744","0.5314862133764153","0.5376867757002398","0.577718780858577"
"Chagas","SMILE_RFR_DESC","40","cdk_desc","5000","0.5481493258233621","0.5297918849777224","0.5234335048433988","0.5912225876489651"
"Chagas","SMILE_RFR_DESC","50","cdk_desc","5000","0.5500522125288948","0.5385495620239574","0.5320444076207866","0.5795626679419402"
"Chagas","SMILE_RFR_DESC","60","cdk_desc","5000","0.5452273428015805","0.5250843390495468","0.5298550486342413","0.5807426407209532"
"Chagas","SMILE_RFR_DESC","70","cdk_desc","5000","0.5413208640172503","0.5217769794907756","0.526354999442174","0.5758306131188016"
"Chagas","SMILE_RFR_DESC","30","rdkit_desc","10000","0.5683980577258706","0.5567586323909471","0.5376553801898772","0.6107801605967875"
"Chagas","SMILE_RFR_DESC","40","rdkit_desc","10000","0.554763935188365","0.5333210643231516","0.5360016603232235","0.5949690809187198"
"Chagas","SMILE_RFR_DESC","50","rdkit_desc","10000","0.5491829628191814","0.52439622425559","0.5252835435784357","0.5978691206235188"
"Chagas","SMILE_RFR_DESC","60","rdkit_desc","10000","0.5522439424935062","0.5341529048293668","0.5319135576419604","0.5906653650091914"
"Chagas","SMILE_RFR_DESC","70","rdkit_desc","10000","0.5523114036338127","0.5406251408348929","0.5182314754155956","0.5980775946509496"
"Chagas","SMILE_RFR_DESC","30","cdk_desc","10000","0.5435974703761423","0.5284633858401947","0.5243122663976861","0.5780167588905458"
"Chagas","SMILE_RFR_DESC","40","cdk_desc","10000","0.5409240949954541","0.5250662876090642","0.5277420925858632","0.569963904791435"
"Chagas","SMILE_RFR_DESC","50","cdk_desc","10000","0.5487652613821145","0.5326930467727435","0.5407779085692682","0.5728248288043317"
"Chagas","SMILE_RFR_DESC","60","cdk_desc","10000","0.5438990719930477","0.5195131315371128","0.532783971977555","0.5794001124644753"
"Chagas","SMILE_RFR_DESC","70","cdk_desc","10000","0.5461570735880025","0.5281903847302706","0.5279492419893077","0.5823315940444292"
"Caco2","SMILE_RFR_DESC","30","rdkit_desc","1000","0.5599836774983457","0.610592262358801","0.5733494812601082","0.49600928887612783"
"Caco2","SMILE_RFR_DESC","40","rdkit_desc","1000","0.543952084125247","0.6089225213228827","0.5273589912574783","0.4955747397953798"
