"NAME [String]","METHOD [String]","degree [Int]","C [Double]","featuresColumn [String]","scalerType [String]","offset [Double]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"LogP","SMILE_SVR_POLY","2","0.001","cdk_desc","MaxMin","0.0","0.9776308267066055","0.8892984472889369","0.9579178350660453","1.0856761977648344"
"LogP","SMILE_SVR_POLY","3","0.001","cdk_desc","MaxMin","0.0","0.6262075717231057","0.562864301764762","0.6334368220246606","0.6823215913798945"
"LogP","SMILE_SVR_POLY","2","0.01","cdk_desc","MaxMin","0.0","0.6146804300432002","0.5489939311819731","0.6413628643107563","0.6536844946368712"
"LogP","SMILE_SVR_POLY","3","0.01","cdk_desc","MaxMin","0.0","0.8314319333407599","0.6678492297754111","0.9636553841781565","0.862791186068712"
"LogP","SMILE_SVR_POLY","2","0.1","cdk_desc","MaxMin","0.0","0.5984667020877228","0.5889144774325997","0.5537833720833936","0.6527022567471753"
"LogP","SMILE_SVR_POLY","3","0.1","cdk_desc","MaxMin","0.0","1.8996074691907812","2.045559929451385","0.9082604311879585","2.7450020469330005"
"LogP","SMILE_SVR_POLY","2","1.0","cdk_desc","MaxMin","0.0","1.3617451628898867","1.4410690141303415","2.0226229284629027","0.6215435460764159"
"LogP","SMILE_SVR_POLY","3","1.0","cdk_desc","MaxMin","0.0","3.84783871446991","5.976799095010409","1.5764887194490111","3.99022832895031"
"LogP","SMILE_SVR_POLY","2","0.001","rdkit_fp","Standard","0.0","2.0067092243068116","1.868254970031631","2.439212878026848","1.7126598248619553"
"LogP","SMILE_SVR_POLY","3","0.001","rdkit_fp","Standard","0.0","6.709813321033141","6.904347425275923","8.177216692206413","5.047875845617086"
"LogP","SMILE_SVR_POLY","2","0.01","rdkit_fp","Standard","0.0","2.5112169065875367","2.7807219011842546","2.1789115215915467","2.574017296986809"
"LogP","SMILE_SVR_POLY","3","0.01","rdkit_fp","Standard","0.0","6.719211660999645","6.919081897776068","8.19067723923675","5.047875845986118"
"LogP","SMILE_SVR_POLY","2","0.1","rdkit_fp","Standard","0.0","2.807877486948993","2.4092126392460913","2.3728373989156295","3.6415824226852593"
"LogP","SMILE_SVR_POLY","3","0.1","rdkit_fp","Standard","0.0","6.242780902237271","5.6213324314972555","8.059134422277856","5.047875852936703"
"LogP","SMILE_SVR_POLY","2","1.0","rdkit_fp","Standard","0.0","2.83595222211575","2.805764220813551","2.4760044937451564","3.2260879517885432"
"LogP","SMILE_SVR_POLY","3","1.0","rdkit_fp","Standard","0.0","6.6547064398407585","6.863698189289868","8.052545215894526","5.047875914337881"
"LogP","SMILE_SVR_POLY","2","0.001","cdk_fp","Standard","0.0","2.248565783371506","2.5475771880036864","2.4006129163035967","1.7975072458072348"
"LogP","SMILE_SVR_POLY","3","0.001","cdk_fp","Standard","0.0","6.683393446330779","6.49316638122672","7.6163141608504565","5.940699796915162"
"LogP","SMILE_SVR_POLY","2","0.01","cdk_fp","Standard","0.0","2.7408518768667505","2.8736395915509974","2.7395421856578417","2.609373853391412"
"LogP","SMILE_SVR_POLY","3","0.01","cdk_fp","Standard","0.0","5.887794205931542","5.105334799454103","6.617252637994311","5.9407951803462105"
"LogP","SMILE_SVR_POLY","2","0.1","cdk_fp","Standard","0.0","3.0620075961595137","3.4419935951896634","2.7977388633707596","2.9462903299181176"
"LogP","SMILE_SVR_POLY","3","0.1","cdk_fp","Standard","0.0","6.727253409657675","6.433104733953788","7.713671358971303","6.0349841360479335"
"LogP","SMILE_SVR_POLY","2","1.0","cdk_fp","Standard","0.0","3.1541521543505717","3.6975242925434464","2.7814553486296956","2.9834768218785745"
"LogP","SMILE_SVR_POLY","3","1.0","cdk_fp","Standard","0.0","6.464393226049097","6.847015291029895","6.605368323534528","5.940796063582867"
"LogP","SMILE_SVR_POLY","2","0.001","rdkit_desc","Standard","0.0","2.053803714300393","2.342005946380728","1.535739529278537","2.2836656672419138"
"LogP","SMILE_SVR_POLY","3","0.001","rdkit_desc","Standard","0.0","7.880365152304772","3.8156150399572137","9.985184281110042","9.84029613584706"
"LogP","SMILE_SVR_POLY","2","0.01","rdkit_desc","Standard","0.0","6.906363871121038","4.9580885137819495","9.042191004423492","6.7188120951576735"
"LogP","SMILE_SVR_POLY","3","0.01","rdkit_desc","Standard","0.0","22.29981589649904","3.2297102373877484","11.219096631169068","52.450640820940315"
"LogP","SMILE_SVR_POLY","2","0.1","rdkit_desc","Standard","0.0","7.230917364486369","11.18766450022365","5.8857784903577635","4.6193091028776925"
"LogP","SMILE_SVR_POLY","3","0.1","rdkit_desc","Standard","0.0","23.244807618178637","26.242843217342045","11.219096631169068","32.27248300602479"
"LogP","SMILE_SVR_POLY","2","1.0","rdkit_desc","Standard","0.0","11.657392624331054","14.197874591966034","8.560351561241529","12.213951719785602"
"LogP","SMILE_SVR_POLY","3","1.0","rdkit_desc","Standard","0.0","23.244807618178637","26.242843217342045","11.219096631169068","32.27248300602479"
"LogP","SMILE_SVR_POLY","2","0.001","cdk_desc","Standard","0.0","2.720735437638819","3.342544516336516","2.2101315580700898","2.609530238509852"
"LogP","SMILE_SVR_POLY","3","0.001","cdk_desc","Standard","0.0","9.56289263627523","12.669495495195436","10.04803732520959","5.9711450884206645"
