"NAME [String]","METHOD [String]","lambda [Double]","l1Ratio [Double]","featuresColumn [String]","scalerType [String]","maxIter [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","MLTK_EL","0.005","0.8","rdkit_desc","MaxMin","10","1.2865539858329036","1.3318405011290702","1.172866981548764","1.3549544748208762"
"MouseRatTox","MLTK_EL","1.0","0.9","rdkit_desc","MaxMin","10","1.2865539858329036","1.3318405011290702","1.172866981548764","1.3549544748208762"
"MouseRatTox","MLTK_EL","0.1","0.9","rdkit_desc","MaxMin","10","1.2865539858329036","1.3318405011290702","1.172866981548764","1.3549544748208762"
"MouseRatTox","MLTK_EL","0.05","0.9","rdkit_desc","MaxMin","10","1.2865539858329036","1.3318405011290702","1.172866981548764","1.3549544748208762"
"MouseRatTox","MLTK_EL","0.01","0.9","rdkit_desc","MaxMin","10","1.2865539858329036","1.3318405011290702","1.172866981548764","1.3549544748208762"
"MouseRatTox","MLTK_EL","0.005","0.9","rdkit_desc","MaxMin","10","1.2865539858329036","1.3318405011290702","1.172866981548764","1.3549544748208762"
"MouseRatTox","MLTK_EL","1.0","0.5","cdk_desc","MaxMin","10","1.5387920107646653","1.8204173734036186","1.3508488406186783","1.4451098182716984"
"MouseRatTox","MLTK_EL","0.1","0.5","cdk_desc","MaxMin","10","1.5387920107646653","1.8204173734036186","1.3508488406186783","1.4451098182716984"
"MouseRatTox","MLTK_EL","0.05","0.5","cdk_desc","MaxMin","10","1.5387920107646653","1.8204173734036186","1.3508488406186783","1.4451098182716984"
"MouseRatTox","MLTK_EL","0.01","0.5","cdk_desc","MaxMin","10","1.5387920107646653","1.8204173734036186","1.3508488406186783","1.4451098182716984"
"MouseRatTox","MLTK_EL","0.005","0.5","cdk_desc","MaxMin","10","1.5387920107646653","1.8204173734036186","1.3508488406186783","1.4451098182716984"
"MouseRatTox","MLTK_EL","1.0","0.6","cdk_desc","MaxMin","10","1.5387920107646653","1.8204173734036186","1.3508488406186783","1.4451098182716984"
"MouseRatTox","MLTK_EL","0.1","0.6","cdk_desc","MaxMin","10","1.5387920107646653","1.8204173734036186","1.3508488406186783","1.4451098182716984"
"MouseRatTox","MLTK_EL","0.05","0.6","cdk_desc","MaxMin","10","1.5387920107646653","1.8204173734036186","1.3508488406186783","1.4451098182716984"
"MouseRatTox","MLTK_EL","0.01","0.6","cdk_desc","MaxMin","10","1.5387920107646653","1.8204173734036186","1.3508488406186783","1.4451098182716984"
