"ToxAssay","Method","Dataset","TP","FP","TN","FN","RocAUC","BA","f1","Precision","Recall","Specificity","Count"
"NR-AR-LBD","Smile Bernoulli NB classification","Test","2","6","222","2","0.9682017543859649","0.736842105263158","0.3333333333333333","0.25","0.5","0.9736842105263158","232"
"NR-AR-LBD","Smile Bernoulli NB classification","Score","0","7","510","7","0.5344017684443222","0.4932301740812379","0.0","0.0","0.0","0.9864603481624759","524"
"NR-ER","Weka RF on folded fp classification","Training","414","293","6051","490","0.7819136470667089","0.7058896148824336","0.5139664804469274","0.5855728429985856","0.4579646017699115","0.9538146279949559","7248"
"NR-ER","Weka RF on folded fp classification","Test","23","2","215","4","0.9661204983785638","0.9213176309950504","0.8846153846153846","0.92","0.8518518518518519","0.9907834101382489","244"
"NR-ER","Weka RF on folded fp classification","Score","23","11","407","25","0.7308114035087702","0.7264254385964912","0.5609756097560975","0.6764705882352942","0.4791666666666667","0.9736842105263158","466"
"NR-ER","Weka RF classification","Training","370","220","6124","534","0.7759968829860835","0.6873067995402248","0.4953145917001339","0.6271186440677966","0.4092920353982301","0.9653215636822194","7248"
"NR-ER","Weka RF classification","Test","27","1","216","0","1.0","0.9976958525345623","0.9818181818181818","0.9642857142857143","1.0","0.9953917050691244","244"
"NR-ER","Weka RF classification","Score","13","10","408","35","0.7916168261562994","0.6234549441786283","0.3661971830985915","0.5652173913043478","0.2708333333333333","0.9760765550239234","466"
"NR-ER","Smile SVC Tanimoto classification","Training","475","435","5909","429","0.7737498814293118","0.7284368757602473","0.5237045203969131","0.521978021978022","0.5254424778761062","0.9314312736443884","7248"
"NR-ER","Smile SVC Tanimoto classification","Test","26","7","210","1","0.9789213176309957","0.9653524492234169","0.8666666666666665","0.7878787878787878","0.9629629629629629","0.967741935483871","244"
"NR-ER","Smile SVC Tanimoto classification","Score","25","35","383","23","0.8140948963317372","0.7185506379585327","0.462962962962963","0.4166666666666667","0.5208333333333334","0.916267942583732","466"
