"NAME [String]","METHOD [String]","degree [Int]","C [Double]","scalerType [String]","offset [Double]","f1 [Double]","f1_1 [Double]","f1_2 [Double]","f1_3 [Double]"
"BothRegression","SMILE_POLY_SVM","4","0.1","Standard","2.0","0.6881773399014778","0.5714285714285714","0.7931034482758621","0.7000000000000001"
"BothRegression","SMILE_POLY_SVM","2","1.0","Standard","2.0","0.8430433153920466","0.8275862068965517","0.7924528301886792","0.9090909090909091"
"BothRegression","SMILE_POLY_SVM","3","1.0","Standard","2.0","0.7066772392374534","0.5964912280701755","0.7457627118644068","0.7777777777777778"
"BothRegression","SMILE_POLY_SVM","4","1.0","Standard","2.0","0.6071428571428571","0.5714285714285714","0.625","0.625"
"BothRegression","SMILE_POLY_SVM","2","1.0E-4","MaxMin","4.0","0.13333333333333333","0.0","0.0","0.4"
"BothRegression","SMILE_POLY_SVM","3","1.0E-4","MaxMin","4.0","0.12935323383084577","0.3880597014925373","0.0","0.0"
"BothRegression","SMILE_POLY_SVM","4","1.0E-4","MaxMin","4.0","0.7111721611721612","0.7692307692307693","0.65","0.7142857142857143"
"BothRegression","SMILE_POLY_SVM","2","0.001","MaxMin","4.0","0.35435323383084577","0.3880597014925373","0.0","0.6749999999999999"
"BothRegression","SMILE_POLY_SVM","3","0.001","MaxMin","4.0","0.5722222222222223","0.6666666666666666","0.65","0.4"
"BothRegression","SMILE_POLY_SVM","4","0.001","MaxMin","4.0","0.8402240896358543","0.8235294117647058","0.8571428571428571","0.84"
"BothRegression","SMILE_POLY_SVM","2","0.01","MaxMin","4.0","0.4485380116959064","0.2666666666666667","0.5789473684210527","0.5"
"BothRegression","SMILE_POLY_SVM","3","0.01","MaxMin","4.0","0.8136352183971232","0.8163265306122449","0.7727272727272727","0.8518518518518519"
"BothRegression","SMILE_POLY_SVM","4","0.01","MaxMin","4.0","0.8283542066219597","0.7719298245614036","0.8510638297872339","0.8620689655172414"
"BothRegression","SMILE_POLY_SVM","2","0.1","MaxMin","4.0","0.798544534092707","0.6976744186046512","0.8979591836734695","0.8"
"BothRegression","SMILE_POLY_SVM","3","0.1","MaxMin","4.0","0.8301602986385594","0.7916666666666666","0.8727272727272727","0.8260869565217391"
"BothRegression","SMILE_POLY_SVM","4","0.1","MaxMin","4.0","0.8338150074844753","0.7407407407407408","0.8979591836734695","0.8627450980392156"
"BothRegression","SMILE_POLY_SVM","2","1.0","MaxMin","4.0","0.8430335097001764","0.8148148148148148","0.8571428571428571","0.8571428571428572"
"BothRegression","SMILE_POLY_SVM","3","1.0","MaxMin","4.0","0.8725925925925927","0.888888888888889","0.8400000000000001","0.8888888888888888"
"BothRegression","SMILE_POLY_SVM","4","1.0","MaxMin","4.0","0.8274318274318274","0.7857142857142856","0.8076923076923077","0.8888888888888888"
"BothRegression","SMILE_POLY_SVM","2","1.0E-4","Standard","4.0","0.12935323383084577","0.0","0.3880597014925373","0.0"
"BothRegression","SMILE_POLY_SVM","3","1.0E-4","Standard","4.0","0.7226920366455251","0.6511627906976744","0.744186046511628","0.7727272727272727"
"BothRegression","SMILE_POLY_SVM","4","1.0E-4","Standard","4.0","0.7882572253525075","0.7659574468085107","0.7727272727272727","0.8260869565217391"
"BothRegression","SMILE_POLY_SVM","2","0.001","Standard","4.0","0.7256033866622685","0.6666666666666667","0.744186046511628","0.7659574468085106"
"BothRegression","SMILE_POLY_SVM","3","0.001","Standard","4.0","0.7967314215232809","0.7391304347826088","0.7999999999999999","0.851063829787234"
"BothRegression","SMILE_POLY_SVM","4","0.001","Standard","4.0","0.7881078357268834","0.8148148148148148","0.7346938775510203","0.8148148148148148"
"BothRegression","SMILE_POLY_SVM","2","0.01","Standard","4.0","0.8081065759637189","0.7755102040816326","0.8571428571428572","0.7916666666666667"
"BothRegression","SMILE_POLY_SVM","3","0.01","Standard","4.0","0.8078650908839586","0.7857142857142856","0.830188679245283","0.8076923076923077"
"BothRegression","SMILE_POLY_SVM","4","0.01","Standard","4.0","0.7521164021164021","0.6785714285714285","0.8","0.7777777777777778"
"BothRegression","SMILE_POLY_SVM","2","0.1","Standard","4.0","0.7851258517591434","0.7843137254901961","0.8510638297872339","0.72"
"BothRegression","SMILE_POLY_SVM","3","0.1","Standard","4.0","0.799294532627866","0.7407407407407408","0.8","0.8571428571428572"
"BothRegression","SMILE_POLY_SVM","4","0.1","Standard","4.0","0.6380979771833956","0.5263157894736842","0.721311475409836","0.6666666666666666"
"BothRegression","SMILE_POLY_SVM","2","1.0","Standard","4.0","0.82366234629445","0.8","0.8235294117647058","0.847457627118644"
"BothRegression","SMILE_POLY_SVM","3","1.0","Standard","4.0","0.7356545898590666","0.5964912280701755","0.7586206896551724","0.8518518518518519"
"BothRegression","SMILE_POLY_SVM","4","1.0","Standard","4.0","0.6304255760098757","0.5454545454545454","0.6440677966101696","0.7017543859649122"
"BothRegression","SMILE_POLY_SVM","2","1.0E-4","MaxMin","6.0","0.12935323383084577","0.0","0.3880597014925373","0.0"
"BothRegression","SMILE_POLY_SVM","3","1.0E-4","MaxMin","6.0","0.0","0.0","0.0","0.0"
"BothRegression","SMILE_POLY_SVM","4","1.0E-4","MaxMin","6.0","0.6886524822695036","0.65","0.65","0.7659574468085106"
"BothRegression","SMILE_POLY_SVM","2","0.001","MaxMin","6.0","0.39183673469387753","0.7755102040816326","0.0","0.4"
"BothRegression","SMILE_POLY_SVM","3","0.001","MaxMin","6.0","0.4761321909424725","0.6842105263157895","0.744186046511628","0.0"
"BothRegression","SMILE_POLY_SVM","4","0.001","MaxMin","6.0","0.8439506172839506","0.76","0.9199999999999999","0.8518518518518519"
"BothRegression","SMILE_POLY_SVM","2","0.01","MaxMin","6.0","0.5578544061302682","0.6666666666666666","0.20689655172413793","0.7999999999999999"
"BothRegression","SMILE_POLY_SVM","3","0.01","MaxMin","6.0","0.8148717948717947","0.7199999999999999","0.8846153846153846","0.84"
"BothRegression","SMILE_POLY_SVM","4","0.01","MaxMin","6.0","0.8467683369644153","0.8148148148148148","0.8627450980392156","0.8627450980392156"
"BothRegression","SMILE_POLY_SVM","2","0.1","MaxMin","6.0","0.8229438525934483","0.7755102040816326","0.8679245283018868","0.8253968253968254"
"BothRegression","SMILE_POLY_SVM","3","0.1","MaxMin","6.0","0.8061891423235962","0.7450980392156863","0.8163265306122449","0.8571428571428572"
"BothRegression","SMILE_POLY_SVM","4","0.1","MaxMin","6.0","0.8015888778550148","0.7368421052631579","0.8","0.8679245283018868"
"BothRegression","SMILE_POLY_SVM","2","1.0","MaxMin","6.0","0.8070517916788019","0.7924528301886792","0.7659574468085107","0.8627450980392156"
"BothRegression","SMILE_POLY_SVM","3","1.0","MaxMin","6.0","0.7991018030636519","0.7586206896551724","0.7659574468085107","0.8727272727272727"
"BothRegression","SMILE_POLY_SVM","4","1.0","MaxMin","6.0","0.8120811287477955","0.8214285714285715","0.8","0.8148148148148148"
"BothRegression","SMILE_POLY_SVM","2","1.0E-4","Standard","6.0","0.12935323383084577","0.0","0.3880597014925373","0.0"
"BothRegression","SMILE_POLY_SVM","3","1.0E-4","Standard","6.0","0.766523935002196","0.6818181818181818","0.8260869565217392","0.7916666666666667"
"BothRegression","SMILE_POLY_SVM","4","1.0E-4","Standard","6.0","0.7986091922262135","0.7659574468085107","0.7727272727272727","0.8571428571428572"
"BothRegression","SMILE_POLY_SVM","2","0.001","Standard","6.0","0.7527777777777779","0.6666666666666667","0.7999999999999999","0.7916666666666667"
"BothRegression","SMILE_POLY_SVM","3","0.001","Standard","6.0","0.8287375150729188","0.7755102040816326","0.8846153846153846","0.8260869565217391"
"BothRegression","SMILE_POLY_SVM","4","0.001","Standard","6.0","0.8193512595135313","0.8275862068965517","0.7843137254901961","0.8461538461538461"
"BothRegression","SMILE_POLY_SVM","2","0.01","Standard","6.0","0.8265499932166599","0.8076923076923077","0.8571428571428572","0.8148148148148148"
"BothRegression","SMILE_POLY_SVM","3","0.01","Standard","6.0","0.8175500969618618","0.8214285714285715","0.8076923076923077","0.823529411764706"
"BothRegression","SMILE_POLY_SVM","4","0.01","Standard","6.0","0.6841923508590174","0.6923076923076923","0.8148148148148148","0.5454545454545455"
"BothRegression","SMILE_POLY_SVM","2","0.1","Standard","6.0","0.8209124209124209","0.7692307692307693","0.8571428571428572","0.8363636363636364"
"BothRegression","SMILE_POLY_SVM","3","0.1","Standard","6.0","0.7659755449229134","0.7272727272727274","0.7636363636363636","0.8070175438596491"
"BothRegression","SMILE_POLY_SVM","4","0.1","Standard","6.0","0.6626363724917202","0.576271186440678","0.6875","0.7241379310344828"
"BothRegression","SMILE_POLY_SVM","2","1.0","Standard","6.0","0.8001236977597853","0.7931034482758621","0.8148148148148148","0.7924528301886792"
"BothRegression","SMILE_POLY_SVM","3","1.0","Standard","6.0","0.7055858035894333","0.5862068965517242","0.7586206896551724","0.7719298245614035"
"BothRegression","SMILE_POLY_SVM","4","1.0","Standard","6.0","0.6931479780690767","0.6428571428571429","0.6779661016949152","0.7586206896551724"
