"NAME [String]","METHOD [String]","numTrees [Int]","maxDepth [Int]","f1 [Double]","f1_1 [Double]","f1_2 [Double]","f1_3 [Double]"
"BothRegression","WEKA_RF","50","90","0.8518929584412382","0.830188679245283","0.9019607843137256","0.823529411764706"
"BothRegression","WEKA_RF","60","90","0.8461111585417912","0.830188679245283","0.8846153846153846","0.823529411764706"
"BothRegression","WEKA_RF","70","90","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","80","90","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","90","90","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","100","90","0.8370739064856711","0.8076923076923077","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","20","100","0.8366013071895425","0.8235294117647058","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","30","100","0.8313222724987431","0.8076923076923077","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","40","100","0.8388210630164016","0.830188679245283","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","50","100","0.8518929584412382","0.830188679245283","0.9019607843137256","0.823529411764706"
"BothRegression","WEKA_RF","60","100","0.8461111585417912","0.830188679245283","0.8846153846153846","0.823529411764706"
"BothRegression","WEKA_RF","70","100","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","80","100","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","90","100","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","100","100","0.8370739064856711","0.8076923076923077","0.8799999999999999","0.823529411764706"
