"ProtocolName","LabelName","GroupValues","Size","Estimator","ROC_AUC","Direction","Threshold","Accuracy","Precision","Recall"
"HISTAMINE H1","Ki","NA","215","Smile Bernoulli NB classification","0.6157339224349536","UP","8.744973463616295","0.33488372093023255","0.11392405063291139","0.8571428571428571"
"5-HT1B","Ki","NA","201","Smile Bernoulli NB classification","0.6436464088397793","UP","7.658612814225681","0.23383084577114427","0.10588235294117647","0.9"
"5-HT1B","Ki","NA","201","Weka RF on folded fp classification","0.6414364640883977","UP","7.658612814225681","0.9104477611940298","1.0","0.1"
"5-HT1B","Ki","NA","201","Weka RF classification","0.6044198895027624","UP","7.658612814225681","0.8905472636815921","0.0","0.0"
"5-HT1B","Ki","NA","201","Smile SVC Poly classification","0.6033149171270727","UP","7.658612814225681","0.900497512437811","NaN","0.0"
"5-HT1B","Ki","NA","201","Smile SVC Tanimoto classification","0.514640883977901","UP","7.658612814225681","0.9154228855721394","1.0","0.15"
"5-HT1B","Ki","NA","201","Smile SVC RBF classification","0.5088397790055242","UP","7.658612814225681","0.900497512437811","NaN","0.0"
"OPIATE Delta","Ki","NA","110","Smile SVC Poly classification","0.8200183654729098","UP","8.940213005230019","0.9","NaN","0.0"
"OPIATE Delta","Ki","NA","110","Smile Bernoulli NB classification","0.8135904499540851","UP","8.940213005230019","0.2818181818181818","0.11363636363636363","0.9090909090909091"
"OPIATE Delta","Ki","NA","110","Smile SVC Tanimoto classification","0.8062442607897148","UP","8.940213005230019","0.9090909090909091","0.6666666666666666","0.18181818181818182"
"OPIATE Delta","Ki","NA","110","Weka RF classification","0.7943067033976124","UP","8.940213005230019","0.9454545454545454","0.8571428571428571","0.5454545454545454"
"OPIATE Delta","Ki","NA","110","Smile SVC RBF classification","0.7851239669421491","UP","8.940213005230019","0.9090909090909091","1.0","0.09090909090909091"
"OPIATE Delta","Ki","NA","110","Weka RF on folded fp classification","0.7745638200183655","UP","8.940213005230019","0.9090909090909091","0.6666666666666666","0.18181818181818182"
"Cholinergic, muscarinic M5","Ki","NA","117","Weka RF classification","0.695540308747856","UP","7.812831125838107","0.8974358974358975","0.0","0.0"
"Cholinergic, muscarinic M5","Ki","NA","117","Smile SVC Tanimoto classification","0.6457975986277876","UP","7.812831125838107","0.8888888888888888","0.0","0.0"
"Cholinergic, muscarinic M5","Ki","NA","117","Smile SVC RBF classification","0.5703259005145798","UP","7.812831125838107","0.905982905982906","NaN","0.0"
"Cholinergic, muscarinic M5","Ki","NA","117","Smile Bernoulli NB classification","0.5531732418524871","UP","7.812831125838107","0.28205128205128205","0.11578947368421053","1.0"
"Cholinergic, muscarinic M5","Ki","NA","117","Weka RF on folded fp classification","0.524442538593482","UP","7.812831125838107","0.8888888888888888","0.0","0.0"
"Cholinergic, muscarinic M5","Ki","NA","117","Smile SVC Poly classification","0.5060034305317322","UP","7.812831125838107","0.905982905982906","NaN","0.0"
"Cholinergic, muscarinic M1","Ki","NA","134","Weka RF classification","0.8531468531468532","UP","8.744485015203583","0.8955223880597015","0.0","0.0"
"Cholinergic, muscarinic M1","Ki","NA","134","Smile SVC RBF classification","0.8452002542911635","UP","8.744485015203583","0.9029850746268657","NaN","0.0"
"Cholinergic, muscarinic M1","Ki","NA","134","Weka RF on folded fp classification","0.8328035600762873","UP","8.744485015203583","0.917910447761194","0.75","0.23076923076923078"
"Cholinergic, muscarinic M1","Ki","NA","134","Smile Bernoulli NB classification","0.8258105530832806","UP","8.744485015203583","0.373134328358209","0.13402061855670103","1.0"
"Cholinergic, muscarinic M1","Ki","NA","134","Smile SVC Poly classification","0.7088366179275262","UP","8.744485015203583","0.9029850746268657","NaN","0.0"
"Cholinergic, muscarinic M1","Ki","NA","134","Smile SVC Tanimoto classification","0.6783216783216782","UP","8.744485015203583","0.9029850746268657","0.5","0.07692307692307693"
"OPIATE Mu","Ki","NA","144","Smile SVC Poly classification","0.8005494505494508","UP","9.40677190673322","0.9027777777777778","NaN","0.0"
"OPIATE Mu","Ki","NA","144","Smile SVC Tanimoto classification","0.7950549450549452","UP","9.40677190673322","0.9027777777777778","NaN","0.0"
"OPIATE Mu","Ki","NA","144","Weka RF on folded fp classification","0.7892857142857143","UP","9.40677190673322","0.9027777777777778","NaN","0.0"
"OPIATE Mu","Ki","NA","144","Smile Bernoulli NB classification","0.7554945054945057","UP","9.40677190673322","0.3055555555555556","0.11607142857142858","0.9285714285714286"
"OPIATE Mu","Ki","NA","144","Weka RF classification","0.7266483516483516","UP","9.40677190673322","0.875","0.0","0.0"
"OPIATE Mu","Ki","NA","144","Smile SVC RBF classification","0.7258241758241758","UP","9.40677190673322","0.9027777777777778","NaN","0.0"
"adrenergic Alpha1A","Ki","NA","111","Smile SVC Tanimoto classification","0.8172727272727273","UP","8.50010699242661","0.9009009009009009","NaN","0.0"
"adrenergic Alpha1A","Ki","NA","111","Weka RF classification","0.7904545454545454","UP","8.50010699242661","0.9099099099099099","1.0","0.09090909090909091"
"adrenergic Alpha1A","Ki","NA","111","Smile Bernoulli NB classification","0.7581818181818185","UP","8.50010699242661","0.25225225225225223","0.11702127659574468","1.0"
"adrenergic Alpha1A","Ki","NA","111","Smile SVC Poly classification","0.7100000000000005","UP","8.50010699242661","0.9009009009009009","NaN","0.0"
