"name","feature","depth","trees","rmse"
"TB_MDR","cdk","10","30","0.6019095856685511"
"TB_MDR","rdkit","10","30","0.602460335752526"
"TB_MDR","cdk","10","40","0.6023585060109969"
"TB_MDR","rdkit","10","40","0.5999604699243893"
"TB_MDR","cdk","10","50","0.6024901699029228"
"TB_MDR","rdkit","10","50","0.6003246213998426"
"TB_MDR","cdk","10","60","0.6014284649043531"
"TB_MDR","rdkit","10","60","0.6027322637634256"
"TB_MDR","cdk","10","70","0.6063968246652341"
"TB_MDR","rdkit","10","70","0.5990499351164803"
"TB_MDR","cdk","15","5","0.6113648853423426"
"TB_MDR","rdkit","15","5","0.602610102272531"
"TB_MDR","cdk","15","10","0.5913445925637382"
"TB_MDR","rdkit","15","10","0.5864899564844657"
"TB_MDR","cdk","15","20","0.5836927999691183"
"TB_MDR","rdkit","15","20","0.5792800994729407"
"TB_MDR","cdk","15","30","0.5800839914931243"
"TB_MDR","rdkit","15","30","0.5802889108989318"
"TB_MDR","cdk","15","40","0.5819302509493549"
"TB_MDR","rdkit","15","40","0.5787501905941409"
"TB_MDR","cdk","15","50","0.5797870672368908"
"TB_MDR","rdkit","15","50","0.5803211155038489"
"TB_MDR","cdk","15","60","0.5786224055276381"
"TB_MDR","rdkit","15","60","0.5799018958095636"
"TB_MDR","cdk","15","70","0.5818948646643318"
"TB_MDR","rdkit","15","70","0.5734301436775685"
"TB_MDR","cdk","20","5","0.6042675678912293"
"TB_MDR","rdkit","20","5","0.6017166159429969"
"TB_MDR","cdk","20","10","0.5847605812288937"
"TB_MDR","rdkit","20","10","0.5788765777563873"
"TB_MDR","cdk","20","20","0.5727561672343171"
"TB_MDR","rdkit","20","20","0.5717162637949561"
"TB_MDR","cdk","20","30","0.5710882227592691"
"TB_MDR","rdkit","20","30","0.5714518667937987"
"TB_MDR","cdk","20","40","0.5723472940196948"
"TB_MDR","rdkit","20","40","0.56748486682851"
"TB_MDR","cdk","20","50","0.5697327693930898"
"TB_MDR","rdkit","20","50","0.5700247607493651"
"TB_MDR","cdk","20","60","0.5664719016320088"
"TB_MDR","rdkit","20","60","0.56948785694839"
"TB_MDR","cdk","20","70","0.5703943328340977"
"TB_MDR","rdkit","20","70","0.5624499838891969"
"TB_MDR","cdk","30","5","0.6010866772652832"
"TB_MDR","rdkit","30","5","0.5938848015864404"
"TB_MDR","cdk","30","10","0.5842612902301166"
"TB_MDR","rdkit","30","10","0.576787056482956"
"TB_MDR","cdk","30","20","0.5677184402786197"
"TB_MDR","rdkit","30","20","0.5612141809806173"
"TB_MDR","cdk","30","30","0.5638946660111444"
"TB_MDR","rdkit","30","30","0.5612521765164763"
"TB_MDR","cdk","30","40","0.5638378306947354"
"TB_MDR","rdkit","30","40","0.5597711448464116"
"TB_MDR","cdk","30","50","0.562632119548713"
"TB_MDR","rdkit","30","50","0.5617921004440984"
"TB_MDR","cdk","30","60","0.5597703157552294"
"TB_MDR","rdkit","30","60","0.5608573764755735"
"TB_MDR","cdk","30","70","0.5626029706557087"
"TB_MDR","rdkit","30","70","0.553291721569417"
"MouseRatTox","cdk","2","5","1101.9063409271932"
"MouseRatTox","rdkit","2","5","1099.6670919466842"
"MouseRatTox","cdk","2","10","1089.3995561987326"
"MouseRatTox","rdkit","2","10","1096.481377845556"
