activity_string,activity_value,activity_string_2,activity_value_2
ND,,45.5,45.5
248,248.0,735,735.0
0.0535,0.0535,ND,
1.65,1.65,ND,
NP,,6.09,6.09
86,86.0,29.7,29.7
13.7,13.7,409,409.0
1.09,1.09,5.36,5.36
ND,,ND,
NP,,NP,
4350,4350.0,ND,
9.82,9.82,ND,
NP,,NP,
ND,,ND,
NP,,NP,
NP,,ND,
ND,,ND,
ND,,ND,
ND,,ND,
NP,,NP,
NP,,ND,
ND,,NP,
NP,,NP,
ND,,ND,
NP,,ND,
ND,,ND,
7.68,7.68,ND,
2.99E-03,0.00299,0.343,0.343
2.1,2.1,ND,
395,395.0,288,288.0
NP,,NP,
NP,,86.3,86.3
ND,,ND,
11.9,11.9,55,55.0
32.4,32.4,NP,
ND,,ND,
NP,,NP,
5.17,5.17,24.8,24.8
ND,,NP,
NP,,NP,
NP,,26.6,26.6
NP,,NP,
NP,,NP,
101,101.0,138,138.0
139,139.0,NP,
NP,,NP,
125,125.0,NP,
1710,1710.0,NP,
NP,,NP,
11.5,11.5,8.81,8.81
NP,,NP,
149,149.0,535,535.0
18.5,18.5,ND,
13.1,13.1,23,23.0
NP,,NP,
98.5,98.5,NP,
NP,,83.5,83.5
NP,,NP,
NP,,NP,
NP,,NP,
NP,,206,206.0
839,839.0,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,259,259.0
NP,,1440,1440.0
NP,,1810,1810.0
3960,3960.0,ND,
NP,,NP,
1170,1170.0,35500,35500.0
NP,,ND,
1160,1160.0,353,353.0
0.396,0.396,2.72,2.72
ND,,ND,
424,424.0,25.1,25.1
NP,,100,100.0
1.04,1.04,NP,
3.89,3.89,ND,
4.28,4.28,34.7,34.7
54.1,54.1,310,310.0
NP,,182,182.0
NP,,NP,
NP,,NP,
NP,,NP,
NP,,1490,1490.0
ND,,NP,
201,201.0,NP,
46,46.0,477,477.0
458,458.0,NP,
NP,,100,100.0
ND,,ND,
NP,,NP,
NP,,NP,
