activity_string,activity_value,activity_string_2,activity_value_2
21.2727,21.2727,12.2581,12.2581
2.04392,2.04392,,
10.0208,10.0208,0.64878,0.64878
1.62176,1.62176,2.58333,2.58333
5.84184,5.84184,5.67976,5.67976
16.3125,16.3125,3.12621,3.12621
8.58672,8.58672,0.887006,0.887006
1.98834,1.98834,1.82625,1.82625
10.7527,10.7527,0.970968,0.970968
4.94768,4.94768,0.396277,0.396277
1.89041,1.89041,0.702128,0.702128
,,0.83427,0.83427
2.77778,2.77778,5.20261,5.20261
1.73913,1.73913,0.803612,0.803612
71.7647,71.7647,70.0637,70.0637
0.261261,0.261261,0.544444,0.544444
2.4359,2.4359,0.75641,0.75641
0.0138686,0.0138686,0.947692,0.947692
12.3016,12.3016,41.6981,41.6981
1.90741,1.90741,0.921909,0.921909
29.6919,29.6919,15.4615,15.4615
2.10856,2.10856,4.69613,4.69613
0.803653,0.803653,69.7674,69.7674
,,1.35338,1.35338
,,1.24436,1.24436
1.07,1.07,1.04839,1.04839
9.17466,9.17466,0.584951,0.584951
0.105556,0.105556,0.382353,0.382353
,,0.720588,0.720588
,,0.62701,0.62701
1.21967,1.21967,1.15909,1.15909
17.9612,17.9612,0.664634,0.664634
5.02358,5.02358,4.24723,4.24723
,,4.24723,4.24723
12.151,12.151,0.824561,0.824561
10.5993,10.5993,1.0404,1.0404
,,1.0717,1.0717
0.0621622,0.0621622,0.986111,0.986111
,,5.5516,5.5516
2.52846,2.52846,0.581967,0.581967
21.5652,21.5652,20.8403,20.8403
21.358,21.358,2.67496,2.67496
5.41613,5.41613,0.725191,0.725191
7.97495,7.97495,0.913649,0.913649
7.58213,7.58213,1.16,1.16
9.57533,9.57533,1.03086,1.03086
132.759,132.759,13.8249,13.8249
18.0311,18.0311,0.918033,0.918033
,,,
2.04265,2.04265,1.06127,1.06127
6.45327,6.45327,1.03425,1.03425
1.30483,1.30483,1.33444,1.33444
13.311,13.311,0.983651,0.983651
2.24576,2.24576,0.263001,0.263001
,,,
6.50667,6.50667,11.9021,11.9021
42.2581,42.2581,1.10638,1.10638
4.9848,4.9848,2.9898,2.9898
,,0.795918,0.795918
,,1.24161,1.24161
,,1.14706,1.14706
,,0.941748,0.941748
,,1.00971,1.00971
,,,
,,0.776398,0.776398
11.9391,11.9391,1.00712,1.00712
,,1.0831,1.0831
1.16084,1.16084,1.27273,1.27273
,,0.833846,0.833846
1.21519,1.21519,1.20225,1.20225
11.8548,11.8548,28.5246,28.5246
4.04077,4.04077,1.76398,1.76398
17.3469,17.3469,0.725322,0.725322
9.6519,9.6519,15.5435,15.5435
19.1204,19.1204,1.04135,1.04135
,,1.0,1.0
,,0.685185,0.685185
8.99691,8.99691,0.928962,0.928962
2.09333,2.09333,1.21339,1.21339
,,0.723716,0.723716
7.31897,7.31897,1.09592,1.09592
33.4036,33.4036,116.933,116.933
1.79969,1.79969,2.01354,2.01354
,,,
1.34694,1.34694,1.60417,1.60417
,,1.29752,1.29752
11.6779,11.6779,1.29752,1.29752
,,1.29101,1.29101
79.3103,79.3103,5.94286,5.94286
